"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug","pred"
28,1,0,15,84,48,10,14,8,0.768382353,839,0.294117647,6,0,0.178571429,0,0,28.35714286,6,1.6154,"1","1"
18,1,0,9,55,79,4,7,10,0.841911765,373,1,4,0,0.235294118,0,0,18.83333333,4,1.2778,"0","0"
23.0038716127165,1,0,13.422275246121,73.7447890997864,35.3782019689679,8.94818349741399,11.1075046178885,8,0.714244738880841,687.801377753261,0.47973232394241,4.42227524612099,0,0.267961918817023,0,0,28.2924477962975,4.94818349741399,1.48279223443647,"1","1"
4,1,0,1,8,1,1,0,4,2,46,0,0,0,0.5,0,0,10.5,1,0.5,"0","0"
24,1,0,12,13,40,12,0,24,0.878787879,172,1,0,0,0.75,0,0,5.916666667,1,0.8333,"0","1"
58.5152894817293,2.45960745681077,0,15.2639205062296,63.716452334309,791.288192640524,11.6894111852162,5.29803728405386,46.5996123824734,0.914987206412665,776.095028421609,0.998563726697466,0.229803728405386,0.126260895141435,0.244335719800731,1,1,10.0435420327786,3.57450932101347,1.07850095362328,"1","1"
24,1,0,12,13,40,12,0,24,0.878787879,172,1,0,0,0.75,0,0,5.916666667,1,0.8333,"0","1"
36.6357720312662,1.34543088125065,0,14.6545691187494,69.4919029874727,126.067379162647,10.3454308812506,10.2002603062429,23.1989587750286,0.816405899919139,708.081696006004,0.537951210256072,3.9274147124961,0.0127937363298229,0.207357335655744,0.34543088125065,0.34543088125065,21.1361477121173,4.96370735624805,1.40282183567835,"1","1"
3,1,0,3,26,1,0,3,2,0.833333333,197,1,0,0,0.666666667,0,0,63.66666667,8,4,"0","0"
8,2,0,7,30,0,3,6,5,0.595238095,170,1,6,0.87037037,0.25,1,1,19.5,3,1.375,"0","0"
3,1,0,3,26,1,0,3,2,0.833333333,197,1,0,0,0.666666667,0,0,63.66666667,8,4,"0","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0"
53,2,0,14,42,274,11,3,52,0.907407407,460,1,0,0.037037037,0.261904762,1,1,7.452830189,3,1,"1","1"
