"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug","pred"
1,4,0,1,5,0,1,0,1,2,24,0,0,1,1,0,0,23,0,0,"0","0"
54,1,3,13,56,1419,4,9,54,0.943396226,166,0,1,0,0.140432099,0,0,2.055555556,2,0.9815,"0","0"
2,3,0,1,12,1,1,0,1,2,55,0,0,0.978723404,0.75,0,0,26.5,1,0.5,"0","0"
2,4,0,1,10,0,1,0,2,0,45,1,0,0.983870968,0.75,0,0,21,1,0.5,"0","0"
7,2,0,4,9,1,2,2,7,0.416666667,98,0,1,0.545454545,0.571428571,1,2,12.71428571,2,0.8571,"0","0"
1,4,0,4,10,0,1,3,1,2,138,1,2,1,1,0,0,129,0,0,"1","1"
54,1,3,13,56,1411,4,9,54,0.924528302,170,0,1,0,0.140432099,0,0,2.12962963,2,0.9815,"0","0"
8,2,0,12,25,0,6,6,7,0.428571429,152,0.2,2,0.807692308,0.285714286,0,0,17.375,1,0.625,"0","0"
5,4,0,3,19,0,1,2,5,0.5,132,0,1,0.938461538,0.45,0,0,25,1,0.8,"1","0"
1,4,0,4,10,0,1,3,1,2,138,1,2,1,1,0,0,129,0,0,"1","1"
8,2,0,12,25,0,6,6,7,0.428571429,152,0.2,2,0.807692308,0.285714286,0,0,17.375,1,0.625,"0","0"
