"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug","pred"
4,3.52166307065636,0,5.26083153532818,19.7391684646718,4.73916846467182,2.73916846467182,2.52166307065636,2.63041576766409,1.08939944698761,210.627791705308,0,0.63041576766409,0.626391837057821,0.447004927395028,0,0,51.1841361005791,3.47833692934364,1.73916846467182,"1","1"
2,2,0,2,13,1,1,1,1,2,50,0,0,0.666666667,0.75,1,1,24,3,1.5,"0","0"
0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,"0","0"
6.11780279595405,1,0,2.41164790303446,29.4712111838162,14.4712111838162,2.41164790303446,0,4.64725349494256,1.3066717034534,241.596956573427,0,0,0,0.302945069898851,0,0,36.0372270504886,3.35274650505744,1.87491726464941,"1","1"
5.53417297033593,2.97266162373126,0,1.49316540593281,28.6161880991422,11.6435264754109,1,0.493165405932814,5.02733837626874,0.596539922438114,261.682384773623,0,0,0.491062355321077,0.396576732563359,0,0,49.0430296492166,1,0.772273645944195,"1","1"
2,2,0,2,8,1,1,1,1,2,29,0,0,0.666666667,0.75,1,1,13.5,1,0.5,"0","0"
2,2,0,2,8,1,1,1,1,2,29,0,0,0.666666667,0.75,1,1,13.5,1,0.5,"0","0"
6,1,0,4,8,3,3,1,5,0.7,141,0,0,0,0.305555556,0,0,22.16666667,2,1.1667,"1","0"
0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,"0","0"
4,1,0,4,21,6,4,0,2,2,123,0,0,0,0.25,0,0,29.75,6,3,"1","1"
8,1,0,1,37,22,1,0,7,0.69047619,347,0,0,0,0.35,0,0,41.625,1,0.875,"1","1"
