"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug","pred"
8,5,0,8,60,22,3,7,1,0.571428571,258,1,2,0.985232068,0.5,0,0,30.75,4,1.25,"0","1"
23,1,0,12,40,7,11,3,21,0.962566845,427,0.264705882,2,0,0.220779221,1,1,16.08695652,14,1.6087,"0","0"
12,5,0,11,67,48,4,10,5,0.775119617,1410,1,0,0.976987448,0.333333333,0,0,113.3333333,3,1.3333,"0","0"
4.35880107828416,5.37926287413575,0,6.7517051496543,28.1036856293213,26.9468118611258,1.37244227551855,5.5034102993086,3.35880107828416,0.130354796431493,219.35335712973,0.87585257482715,6.13096802379005,0.873829820457016,0.913012348361788,0,0,83.5056778648795,1.86903197620995,0.76306839394127,"1","1"
10.6006009611301,4.20120192226022,0,5.59909855830483,54.2102163392119,20.7972956749145,1.80030048056506,3.79879807773978,4.80030048056506,0.689977463957621,542.285336480476,1,0.199699519434944,0.783522692382017,0.308128551390822,0,0,48.6520493332882,5.80180288339034,1.31936333519837,"1","1"
9,1,0,8,27,28,1,7,4,0.75,315,1,1,0,0.45,0,0,33.77777778,1,0.7778,"1","1"
8.11551976297051,5.52957540284842,0,7.94084919430315,50.8733528433368,43.338213743642,2.41127379145473,6.94084919430315,1.94084919430315,0.398740849193404,656.193557625636,1,4.64787701424211,0.985084770056952,0.64606149375088,0,0,85.0655051264753,1.94084919430315,0.92338213743642,"1","1"
12,5,0,14,67,60,4,13,5,0.761363636,772,1,0,0.976987448,0.35,0,0,62,1,0.9167,"0","0"
1,3,0,6,2,0,6,0,0,2,5,0,0,1,1,0,0,4,0,0,"0","0"
22.260952842189,1,0,9.18536345707253,53,197.363015602576,5.81463654292747,4.37072691414505,17.8902259280439,0.76139756772239,793.192092168378,0.688902259280439,1,0,0.296763366364284,0,0,36.8458239624681,12.4829076565802,1.57043878655869,"1","1"
29,5,0,10,109,318,7,7,8,0.763736264,1541,1,1,0.94534413,0.214285714,0,0,51.24137931,16,3.1034,"0","1"
2,1,0,5,2,1,2,3,2,2,2,0,0,0,0.625,0,0,0,1,1,"0","0"
7.1228702319786,4.24574046395719,0,7.1228702319786,38.3515725517645,11.4215267398395,3,6.1228702319786,4.8771297680214,0.74812301010235,209.077160633635,1,2.5614351159893,0.834144224626242,0.353387268570443,0,0,26.1206310769515,3.24574046395719,1.1374294023314,"1","1"
9,1,0,8,27,28,1,7,4,0.75,315,1,1,0,0.45,0,0,33.77777778,1,0.7778,"1","1"
4,1,0,3,22,6,1,3,4,2,174,0,0,0,0.875,0,0,42.5,1,0.75,"0","0"
4,1,0,5,32,6,2,3,3,2,526,0,0,0,0.416666667,0,0,130.5,1,0.75,"0","0"
8,5,0,8,60,22,3,7,1,0.571428571,258,1,2,0.985232068,0.5,0,0,30.75,4,1.25,"0","1"
9.98586708446965,2.97173416893929,0,6.52119937329553,43.759740435984,23.5635981198866,1.49293354223482,5.02826583106071,4.49293354223482,0.713029984332388,454.99312599469,1,0.507066457765177,0.482599505506404,0.362616326738263,0,0,42.9393708853149,3.95760125340894,1.1113681280303,"1","1"
17.8774854009971,1,0,8.84547480009496,37.9911724012345,156.934907014482,2.69094960018992,6.57726259995252,12.4547480009496,0.790087167158419,602.03869463224,0.89431564998813,1,0,0.359378706810303,0,0,32.9698796381567,8.60927320085466,1.25219591033328,"1","0"
9.41385489236563,4.67609734064899,0,7.7943415956106,32.4138548923656,88.9071365809068,2.0591221274808,6,7.08995223301463,0.223693897559698,408.76530336868,0.93380486703245,5.41131680877879,0.733521501559957,0.797610283135056,0,0,76.8130834858843,5.76604957366362,0.870692744618282,"1","1"
3,1,0,4,3,3,3,1,3,2,3,0,0,0,0.666666667,0,0,0,1,1,"0","0"
