"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug","pred"
9,5,0,1,28,22,1,0,1,0.78125,558,1,0,0.983157895,1,0,0,59.66666667,2,1.6667,"0","0"
10.796647163108,4.03731773048639,0,3.44402340427041,33.3153060283512,29.0951890069991,1.5186588652432,2.68469397164881,2.44402340427041,0.681190131951597,691.903780139983,0.759329432621598,0,0.741855324568263,0.482809245290402,0,0,57.4108819083524,4.5186588652432,1.73046911496259,"1","1"
15.7743846061639,2.4837435958907,0,15.2103461215738,31.2256153938361,80.1472947688308,13.9522179195192,2.25812820205465,11.6940897174645,0.838058989509916,469.915231746621,1,1.88719230308197,0.3623997173089,0.299048968006966,0.629064101027325,0.629064101027325,33.3005574241057,11.9197051113006,1.96910103961558,"1","1"
6,5,0,8,25,9,1,8,2,0.7,214,1,5,0.98940678,0.444444444,0,0,33.66666667,3,1.5,"0","0"
5.76760857738554,1.88380428869277,0,8.23239142261446,10.849483237369,13.0704343095422,6.67429356696084,1.77904892782681,3.33714678348042,1.73296822287599,195.343628501985,0.220951072173193,0,0.215866424135352,0.564920743725884,0,0,15.4849876407348,1.88380428869277,1.20254584786117,"1","1"
40.4208306763321,5.09552478976548,0,10.8209915906191,82.1790084093809,629.219543362036,5.24784285202622,7.33734705671668,2.33734705671668,0.921973914554388,1794.06741959229,1,2.71342563070357,0.922161937853604,0.477312862430699,0,0,40.7030121581348,12.7581777330488,1.64606587969773,"1","1"
6,1,0,3,14,0,0,3,6,0.2,43,0,0,0,0.555555556,0,0,6,1,0.8333,"0","0"
16.9015007868875,1,0,21.5020465275738,28.9001364351716,94.6141892578453,18.9028651386034,3.49931782414205,16.9015007868875,0.812397542056287,223.614189257845,0.900136435171589,2.70040930551477,0,0.20532330521181,0.900136435171589,0.900136435171589,12.192063435803,14.7017736572307,1.91440693858557,"1","1"
5,2,0,4,14,0,1,3,5,0.75,70,1,0,0.8,0.533333333,1,1,12.4,3,1.2,"0","0"
16.0738943973556,1,0,18.184735993389,22.2586303907447,90.5542079801671,16.6662623940501,2.03694719867781,16.0738943973556,0.887075355826627,154.066617490258,1,2.03694719867781,0,0.231192260754992,0.518473599338904,0.518473599338904,7.67100222914148,8.77710399008356,1.4840926143317,"1","1"
5,2,0,4,13,0,1,3,5,0.75,64,1,0,0.8,0.533333333,1,1,11.2,2,1,"0","0"
9.98742885445245,2.45911678019911,0,13,16.8238959752489,48.0063395663165,12,5.01257114554755,9.25787046435289,0.942993004521077,129.282904768363,1,1,0.363302356201945,0.343615745265364,0,0,30.2658979217916,1,0.833064328816463,"1","1"
