"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug","pred"
1,1,0,2,2,0,2,0,1,2,40,0,0,0,1,0,0,30,0,0,"0","0"
4,1,0,7,10,0,7,0,2,0.611111111,55,1,0,0,0.333333333,0,0,11.25,1,0.5,"1","1"
2,1,0,4,2,1,3,1,2,2,2,0,0,0,0.666666667,0,0,0,1,1,"0","0"
2,3,0,0,3,0,0,0,1,0,16,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,"0","0"
32,6,0,33,167,350,22,33,2,0.819979188,2353,0.967741935,1,0.933045356,0.267857143,0,0,71.5625,2,1.1563,"1","1"
1,1,0,3,1,0,3,0,1,2,1,0,0,0,1,0,0,0,1,1,"0","0"
3,2,0,7,7,0,1,6,3,0,30,0,1,0.666666667,0.555555556,1,3,8.666666667,2,1,"1","0"
2,3,0,5,3,0,5,0,1,0,16,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,"0","0"
6,2,0,7,9,7,7,0,4,0.8,92,0.4,4,0.733333333,0.4,1,1,13.5,3,1,"0","0"
13,1,0,23,35,0,6,17,12,0,215,0,1,0,0.338461538,0,0,15.46153846,1,0.9231,"1","1"
6,6,0,7,49,11,3,7,1,0.626666667,540,1,1,0.988207547,0.4,0,0,86.5,8,2,"1","1"
1,4,0,7,2,0,7,0,0,2,5,0,0,1,1,0,0,4,0,0,"0","0"
2,1,0,4,20,1,1,3,2,2,72,0,0,0,1,0,0,35,2,1,"0","0"
2,3,0,5,3,0,5,0,1,0,16,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,"0","0"
30.4438535813242,6,0,31.4438535813242,159.543465077179,328.862344479654,20.8328901859932,31.4438535813242,2.06483943411149,0.805715861933775,2233.43608349841,0.969833529680132,1,0.936471276985631,0.269400939062624,0,0,70.8614236186695,2,1.13806066718444,"1","1"
13,6,0,10,75,74,6,10,2,0.785714286,390,1,1,0.972157773,0.240384615,0,0,28.46153846,2,1,"1","1"
