"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug","pred"
1.04081881442107,1,0,0.204094072105363,2.08163762884215,0.0408188144210726,0.16327525768429,0,1,1.99050725244123,11.8573170094751,0,0,0,1,0,0,3.57146340189502,0,0,"1","0"
8,2,0,4,23,16,1,0,8,0.428571429,166,1,0,0.733333333,0.46875,1,1,19.375,1,0.5,"0","0"
20,2,0,5,51,156,1,0,19,0.642105263,429,1,2,0.6875,0.371428571,0,0,20.2,2,0.3,"0","0"
4,3,0,16,46,4,0,0,3,0.888888889,283,0.666666667,0,0.96,0.5,1,3,69,1,0.5,"0","0"
8,5,0,2,16,0,0,0,8,0.571428571,107,1,0,0.906666667,0.6875,1,1,12,1,0.875,"0","0"
3,2,0,7,12,1,2,0,3,0,270,1,0,0.666666667,0.555555556,1,1,88.66666667,1,0.3333,"0","0"
17,1,0,6,32,72,3,0,16,0.7125,378,1,0,0,0.8125,0,0,20.94117647,7,2.2353,"0","0"
1.39270123490132,1,0,1.96350617450662,2.78540246980265,0.392701234901324,1.5708049396053,0,1,1.90867413123564,44.9912691544741,0,0,0,1,0,0,8.49781728861853,0,0,"1","0"
6,1,0,3,27,9,1,0,2,0.771428571,140,1,0,0,0.25,0,0,21.16666667,1,0.6667,"0","0"
4.9037632024847,1.58075264049694,0,4.70962367975153,37.393276828574,12.3246764896903,4,0,1.58075264049694,1.49619886321702,401.60809179605,0.193584213595772,0,0.204971520192471,0.781274979624752,0.580752640496939,1.16150528099388,40.4236898343445,0.29037632024847,0.24197058766305,"1","1"
19,1,0,2,34,0,2,0,19,0,115,1,1,0,0.263157895,0,0,5,1,0.8947,"0","0"
3,1,0,5,17,0,1,0,2,0.6,113,1,2,0,0.625,0,0,35,1,0.3333,"0","0"
18.9711758818012,1.71510926051997,0,34.5813111262396,58.0185016614851,121.933236497454,29.738168555079,0,7.00576482363977,0.727620034410652,713.388263761997,1,4.13956295792013,0.37858725577972,0.221969552629741,0,0,18.4805118095505,3.84890739480034,1.231338668855,"1","0"
12.9652186438907,1,0,7.86285796598531,27.2978908470832,71.7913118633442,6.15354101685807,0,12.9652186438907,1.60041941443202,356.333204062656,0.341863389825448,0.341863389825448,0,0.70720033758262,0,0,11.2616985885879,1.02559016947635,0.474814062128565,"1","1"
6,1,0,2,7,7,2,0,6,0.7,29,0,0,0,0.75,0,0,3.5,1,0.8333,"0","0"
13.8088116738945,1,1.70784155651927,32.4489895738661,77.9989492651075,49.5274051390588,19.6401778999716,0,11.2470493391156,0.95631904898354,613.575911007822,0.759040691881222,5.97744544781744,0,0.385177039653063,0,0,37.3703113249503,12.8088116738945,1.65447150787804,"1","1"
24,1,0,18,68,156,13,0,19,0.889632107,590,1,4,0,0.236714976,0,0,23.04166667,13,1.9167,"1","1"
9,2,0,2,20,0,1,0,9,0.708333333,112,0.666666667,0,0.555555556,0.333333333,1,2,11.11111111,1,0.8889,"0","0"
12.9207273805514,1,0.905370627297089,11.7570349816233,32.5447834697552,111.253428792115,5.28388811810873,0,8.54220988973975,0.743247509136912,271.235667912522,0.74132267765644,2.18925874540582,0,0.400980742231594,0,0,13.2818026000914,3.6086993359495,0.885632279895083,"1","1"
4,3,0,3,8,6,1,0,4,0.333333333,38,1,0,0.928571429,0.583333333,0,0,8.25,2,1,"0","0"
36.3150031506084,1.39689180674031,0.396891806740314,29.6808130247518,147.069337182213,618.777649142779,3.60310819325969,0,25.6963539910503,0.899945872342058,1679.56127727032,1,6.61864915955812,0.317513445392251,0.330257204477988,0.793783613480628,2.7782426471822,37.216200421733,27.108786764089,3.06223916308251,"1","1"
4,5,0,2,11,0,0,0,4,0,56,1,0,0.957746479,0.625,2,2,12.75,1,0.75,"0","0"
2,1,0,1,14,1,0,0,2,2,104,0,0,0,0.6,0,0,51,1,0.5,"0","0"
4,1,0,0,5,0,0,0,4,0.666666667,28,1,0,0,0.4375,0,0,5.25,1,0.75,"0","0"
3,3,0,0,4,0,0,0,3,0.5,22,1,0,0.666666667,0.466666667,0,0,5.666666667,1,0.6667,"0","0"
2,1,0,2,11,1,0,0,2,2,203,0,0,0,0.75,0,0,100.5,2,1,"0","0"
34,1,0,19,34,561,19,0,34,2,34,0,0,0,0.210084034,0,0,0,1,1,"0","0"
6,2,0,3,27,13,1,0,6,0.4,139,1,0,0.846153846,0.4,1,1,21.83333333,1,0.3333,"0","0"
9.66412119707093,1,0.445292934309691,6.56234347447753,17.6717576058581,5.00763640878722,2.78117173723876,0,7.88294945983216,0.706203820790795,155.150100583676,0.872773447212862,1.44529293430969,0,0.372380323255343,0,0,14.0518434123951,2.55470706569031,1.09036825550757,"1","1"
2,2,0,0,4,1,0,0,2,2,10,0,0,0.666666667,0.75,0,0,4,1,0.5,"0","0"
5,1,0,16,32,0,5,0,2,0.666666667,172,1,2,0,0.342857143,0,0,32.2,2,1,"0","0"
37,4,0,1,63,110,1,0,33,0.464285714,612,1,0,0.567901235,0.150462963,3,4,15.35135135,3,1.1351,"0","0"
20.2160737738013,1,0,36.8781291041523,50.4509881231934,199.555204134434,27.6808959059417,0,18.3052700851113,0.331135710826398,438.767457032576,0.910803688690066,0.910803688690066,0,0.318779059556512,0,0,20.1464127386075,0.910803688690066,0.869362120854668,"1","1"
50.6360596967861,1,0.0309986432548612,24.5660189944319,69.4500678372569,0.309986432548612,21.4730230646674,0,48.5740624102764,0.694108787194873,1299.87166879652,0.991143244775469,2,0,0.17252661421441,0,0,24.1567963947574,10.7210122107062,2.01716307421562,"1","0"
4.94324357854202,1.52837821072899,0,13.886487157084,34.7337883103173,5.30135252489708,2.41486536781304,0,3.52837821072899,0.496869338457522,1008.13083513943,1,1.58513463218696,0.264189105364494,0.430130105363053,0.528378210728988,0.528378210728988,241.268403869142,1.94324357854202,0.814430246906984,"1","1"
15,2,0,10,61,63,0,0,13,0.785714286,488,1,1,0.759259259,0.714285714,0,0,31.33333333,3,1.4667,"0","0"
15,2,0,10,61,63,0,0,13,0.785714286,488,1,1,0.759259259,0.714285714,0,0,31.33333333,3,1.4667,"0","0"
5,2,0,6,20,0,1,0,4,0.833333333,176,0.166666667,1,0.888888889,0.357142857,0,0,33,6,1.6,"0","0"
13,1,1,13,32,60,13,0,10,0.979166667,210,0,1,0,0.208333333,0,0,14.23076923,5,1.3077,"0","0"
21,1,0,12,95,124,5,0,14,0.858333333,719,1,2,0,0.225,0,0,32.66666667,12,1.9048,"1","1"
14,3,0,4,29,11,1,0,14,0.692307692,149,1,0,0.428571429,0.255102041,1,1,9.428571429,6,1.6429,"0","0"
3,2,0,6,17,1,1,0,3,2,68,0,0,0.846153846,0.666666667,0,0,21.66666667,1,0.6667,"0","0"
