"start","attribute","end","recallloc"
0,"lcom",2,0.00200803212851406
0,"loc",39,0.00193798449612403
6,"cbo",8,0.00149365197908887
2,"lcom",10,0.00128896179985939
0,"avg_cc",0.7778,0.00123102174805088
5,"ce",10,0.00123094746750661
2,"npm",4,0.00121901665989435
1.4,"avg_cc",2,0.0011956410344003
221,"loc",504,0.0011729713878765
0,"ca",1,0.00117101292618115
3,"wmc",6,0.00116252034410602
8,"rfc",18,0.00112233445566779
4,"max_cc",8,0.00110320284697509
0,"max_cc",1,0.00110262934690416
9,"wmc",17,0.00109764007384124
24,"amc",34.5,0.00103117588423332
1,"cbm",2,0.00102842183994016
0.882352941,"mfa",1,0.00102472140386832
0.230769231,"cam",0.35,0.00102079191962607
0,"lcom3",0.555555556,0.00100590971960267
10,"lcom",68,0.000992654357752631
7,"npm",13,0.00098922267923153
5,"ca",242,0.000987873007221692
0,"dit",1,0.000983780909332624
2,"max_cc",4,0.000973520249221184
8,"cbo",14,0.000962116656644618
0,"wmc",3,0.00096
39,"loc",117,0.000930752047654505
8,"amc",16.4,0.000916170407695831
0.904761905,"dam",1,0.000900991090199219
0.7778,"avg_cc",1,0.000899982000359993
16.4,"amc",24,0.000890273759180948
117,"loc",221,0.000878271561566836
0,"npm",2,0.000876904527019621
18,"rfc",29,0.000873362445414847
1,"ce",3,0.000868809730668983
0.714285714,"lcom3",0.855555556,0.000867885439122036
0.35,"cam",0.5,0.000864508016347061
0,"cbo",3,0.000853838391678957
0,"noc",59,0.000850936029632596
0.555555556,"lcom3",0.714285714,0.000836645053336122
2,"dit",3,0.00083635349874547
1,"ic",4,0.000832826163554246
1,"moa",10,0.000828614832205496
29,"rfc",54,0.000806370325572019
13,"npm",87,0.000806043451365588
14,"cbo",243,0.000801428833119619
54,"rfc",247,0.000799895523849946
0.357142857,"mfa",0.777777778,0.000797978454581726
0.855555556,"lcom3",2,0.000742742784047536
0.777777778,"mfa",0.882352941,0.000723925745902063
3,"dit",4,0.000710479573712256
0,"cam",0.230769231,0.000706913615156228
10,"ce",35,0.000706891047566927
68,"lcom",4576,0.000702126663650122
1,"max_cc",2,0.000701824744335272
2,"cbm",15,0.00069268067420919
17,"wmc",100,0.00069099817827753
1,"avg_cc",1.4,0.000668608816084818
504,"loc",4238,0.000656562128937627
0,"moa",1,0.00065476600730581
0,"dam",0.904761905,0.000653631919972718
0,"cbm",1,0.0006343452650657
0.666666667,"cam",1,0.000632244467860906
34.5,"amc",2052,0.000630169358014966
0,"ic",1,0.000627667587245795
6,"wmc",9,0.000614586178639716
4,"dit",7,0.000611172228333945
0.5,"cam",0.666666667,0.000575953923686105
3,"ce",5,0.000560468302403786
4,"npm",7,0.000550357732526142
8,"max_cc",50,0.000545303843301488
1,"dit",2,0.000544402858115005
2,"avg_cc",6.8824,0.000533468817477455
0,"ce",1,0.000529100529100529
1,"ca",2,0.000504078452937403
2,"ca",5,0.000496548984557327
0,"amc",8,0.000489955903968643
3,"cbo",6,0.000290247678018576
0,"mfa",0.357142857,0.000275355667737494
0,"rfc",8,0.000221877080097626
