"start","attribute","end","recallloc"
5.6,"loc",30,0.0102171136653895
0,"loc",5.6,0.00819672131147541
0,"rfc",4,0.00581395348837209
0.75,"cam",1,0.00522193211488251
4,"rfc",10,0.00519031141868512
0.9524,"avg_cc",1,0.00447677672076105
2,"wmc",4,0.00355871886120996
2,"npm",4,0.00280112044817927
1,"lcom",4,0.00260416666666667
2,"ca",4,0.00244738130200685
2,"ce",3,0.00219298245614035
0,"avg_cc",0.6667,0.00209643605870021
0,"max_cc",1,0.00190336749633968
2,"cbo",4,0.00177179305457123
13.8,"lcom",65.4,0.00172446828894424
0,"lcom",1,0.00156985871271586
0,"amc",4.3168379446,0.00152788388082506
4,"cbo",6,0.00140964195094446
0.9175308644,"lcom3",2,0.00140240161276185
3,"ce",6,0.00138007176373171
8,"npm",14,0.001230012300123
0.366666667,"cam",0.5,0.00118717847249703
8,"wmc",15,0.00108459869848156
0.8125,"mfa",1,0.00105876124933827
0.244836601,"cam",0.366666667,0.00105429625724829
0,"ca",2,0.00105411103302881
10,"rfc",18,0.00104895104895105
0,"dit",1,0.000940512579355749
1,"ce",2,0.000852151682999574
10,"amc",16.245454546,0.000845022815616022
4,"npm",8,0.000842696629213483
6,"cbo",10.4,0.000837754817090198
4,"wmc",8,0.000822593912805045
30,"loc",86.8,0.000782472613458529
0,"ce",1,0.00078064012490242
0,"moa",2,0.00073909830007391
18,"rfc",29.4,0.000738961758728986
10.4,"cbo",74,0.000728787090057262
0.6667,"avg_cc",0.9524,0.000725031720137756
4,"lcom",13.8,0.000719424460431655
6,"ce",36,0.000706214689265537
1,"avg_cc",1.39076,0.000701543395470034
2,"max_cc",5,0.000692109946608661
4.3168379446,"amc",10,0.000691881918819188
2,"dit",5,0.000691085003455425
86.8,"loc",168.4,0.000690250215703192
0,"cam",0.244836601,0.000648431973591134
2,"moa",10,0.000644007155635063
0.7966666668,"lcom3",0.9175308644,0.000637805947540461
29.4,"rfc",166,0.000597948576422428
15,"wmc",55,0.000596866451131559
0,"cbm",1,0.000595474394601032
65.4,"lcom",1417,0.000575175428505694
16.245454546,"amc",49.46341463,0.000564073637249372
0,"dam",1,0.000556579817024385
14,"npm",55,0.000548095368594135
168.4,"loc",2090,0.00054333061668025
0,"ic",1,0.000538696354821332
5,"max_cc",34,0.000528727529080014
1.39076,"avg_cc",6,0.000464576074332172
0,"lcom3",0.7966666668,0.000408052230685528
4,"ca",71,0.000396039603960396
1,"max_cc",2,0.000349772647778944
0,"mfa",0.8125,0.000254129606099111
0,"wmc",2,0
1,"dit",2,0
0,"noc",23,0
0,"cbo",2,0
0,"npm",2,0
0.5,"cam",0.75,0
1,"ic",2,0
1,"cbm",3,0
