"start","attribute","end","recallloc"
0,"avg_cc",0.72002,0.00181488203266788
0,"moa",1,0.00151057401812689
0.333333333,"cam",0.5,0.00143061516452074
5,"dit",6,0.00141176470588235
0,"dam",0.6,0.00140977443609023
343.8,"loc",817.4,0.00122774708410068
39.4,"rfc",81.8,0.00122050447518308
5,"ce",9,0.0012001200120012
0,"wmc",6,0.00118203309692671
5.4,"lcom",17,0.00115606936416185
5,"ca",9,0.00115163147792706
8,"wmc",11.2,0.00114025085518814
9,"cbo",13.6,0.00113430127041742
17,"lcom",155.2,0.00111185234600845
0,"max_cc",1,0.00110132158590308
2,"ce",5,0.0010989010989011
0.72002,"avg_cc",1.1,0.00107816711590297
13,"npm",56,0.00101505667399763
29.425,"amc",42.142105266,0.000977756049865558
4.8,"cbo",9,0.000968054211035818
11.2,"wmc",26.4,0.00095625149414296
0,"dit",1,0.000932835820895522
18.883333334,"amc",29.425,0.000910470409711684
2.8,"max_cc",7,0.000893974611121044
8,"npm",13,0.000831600831600832
0,"ic",1,0.00083153168135706
0,"cbm",1,0.00083153168135706
0,"lcom3",0.5761904758,0.0007627765064836
1.1,"avg_cc",2,0.000753579502637528
0.7433816422,"lcom3",0.825760122,0.000728787090057262
0.5761904758,"lcom3",0.7433816422,0.000713775874375446
0.8849141364,"mfa",1,0.000704721634954193
0,"npm",2,0.000662690523525514
18.8,"rfc",39.4,0.000652315720808871
2,"ca",5,0.000646830530401035
0,"ca",1,0.000637755102040816
0.9202797202,"dam",1,0.000584719334719335
0,"cam",0.1993421992,0.000512332577032862
8.55,"amc",18.883333334,0.000489476260401371
149.6,"loc",343.8,0.000484261501210654
2.375,"avg_cc",3.2326,0.000430755976739177
17.2,"max_cc",72,0.000423414840690166
81.8,"rfc",313,0.000370278943470748
817.4,"loc",5924,0.000369837682350524
0.1993421992,"cam",0.333333333,0.000356735159817352
42.142105266,"amc",72.27272727,0.0003559510567297
13.6,"cbo",45,0.000348523133222968
26.4,"wmc",84,0.000343141460066913
155.2,"lcom",3022,0.000343141460066913
9,"ca",34,0.000323579716174363
9,"ce",45,0.000315898731892233
1,"moa",7,0.000315898731892233
7,"max_cc",17.2,0.000306936771025169
0.825760122,"lcom3",1.3733333332,0.00029843619434165
0.6,"dam",0.9202797202,0.000275862068965517
2,"dit",5,0.000248397833970888
2,"npm",5,0.000199335548172757
0.695652174,"mfa",0.8849141364,0.000196747114375656
2,"avg_cc",2.375,0.000170270730461434
6,"wmc",8,0
1,"dit",2,0
0,"noc",1,0
0,"cbo",2.4,0
2.4,"cbo",4.8,0
0,"rfc",14.8,0
14.8,"rfc",18.8,0
0,"lcom",1.4,0
1.4,"lcom",5.4,0
1,"ca",2,0
0,"ce",1,0
1,"ce",2,0
5,"npm",8,0
1.3733333332,"lcom3",2,0
0,"loc",71.6,0
71.6,"loc",149.6,0
0,"mfa",0.695652174,0
0.5,"cam",0.588888889,0
0.588888889,"cam",1,0
0,"amc",8.55,0
1,"max_cc",2.8,0
