"start","attribute","end","recallloc"
0,"loc",13,0.0139240506329114
0,"rfc",5,0.0078740157480315
0,"amc",3.76,0.00421348314606742
0.894736842,"mfa",1,0.00394964206368798
13,"loc",39,0.00394910048266784
0,"wmc",2,0.00384467512495194
0.666666667,"cam",1,0.00342400608712193
0,"avg_cc",0.55876,0.00340798442064265
0.9438095236,"lcom3",2,0.00297265160523187
10,"rfc",19,0.00271406058483628
5,"rfc",10,0.00262679329157406
39,"loc",84,0.00259377494014366
3,"dit",6,0.00256602159734844
5,"cbo",8,0.00247354679126013
3,"ce",6,0.00246754009752658
3.76,"amc",6.824242424,0.00246747420367878
2,"wmc",4,0.00244118952507767
1,"ce",3,0.0024196800645248
0.55876,"avg_cc",0.8,0.00228739482068458
0,"lcom",2,0.00227117874176698
0,"ce",1,0.0022436616558223
3,"npm",5,0.00222074172773706
0,"max_cc",1,0.00219394471259324
0.375,"cam",0.5,0.00217362666315373
0,"cbo",3,0.00215089344804765
2,"lcom",8,0.00204708290685773
3,"cbo",5,0.00202865474832002
1,"cbm",15,0.00202549743834147
6.824242424,"amc",9.8,0.00193938050645537
0.5,"cam",0.666666667,0.00191991223258365
1,"ic",3,0.00183346065699007
4,"wmc",7,0.00173701580684384
0.8,"avg_cc",1,0.0016690691146347
6,"ce",10,0.00163844893500819
19,"rfc",33,0.00163375811044205
5,"npm",10,0.00160921926910299
0,"ca",1,0.0015976142294174
0.5,"lcom3",0.735238095,0.00155386740331492
1,"ca",2,0.00154222988297197
1,"max_cc",3,0.00152925983823829
0,"npm",2,0.0015284677111196
84,"loc",171.8,0.00152019002375297
2,"ca",5,0.00151241285182043
9.8,"amc",15.765384616,0.00150861312844262
0.261904762,"cam",0.375,0.00150629415773052
1,"dit",2,0.00150229763167197
2,"npm",3,0.00149908983831245
7,"wmc",13,0.00148827008185485
8,"lcom",45,0.00148691975279959
0,"ic",1,0.0014841738603665
0,"dit",1,0.00146553588160392
0,"moa",1,0.00142236270248913
8,"cbo",14,0.00140424784974548
5,"ca",387,0.0013735724657588
2,"dit",3,0.00130032508127032
0,"noc",36,0.00126493323963457
10,"npm",130,0.00124968228416504
0,"lcom3",0.5,0.00122314807736412
0.7023529412,"dam",1,0.00121913675266301
0,"cbm",1,0.00118556248353385
45,"lcom",9792,0.00117342879872713
0.6326315786,"mfa",0.894736842,0.00116838179121916
0,"mfa",0.6326315786,0.00110997267759563
13,"wmc",141,0.00109300678069021
1,"avg_cc",1.1333,0.00105745505816003
14,"cbo",389,0.000983284169124877
1.1333,"avg_cc",6.5,0.000967721124276897
1,"moa",9,0.000957039557635049
0,"cam",0.261904762,0.000954508970214981
0.735238095,"lcom3",0.9438095236,0.000953418687006265
33,"rfc",286,0.000932187590040847
3,"max_cc",32,0.000925326177477561
171.8,"loc",1747,0.00092445424762399
0,"dam",0.7023529412,0.000879043600562588
15.765384616,"amc",148.6666667,0.000769711839130226
10,"ce",69,0.00075374656380243
