"start","attribute","end","recallloc"
0,"loc",14,0.0656934306569343
0,"rfc",6,0.0325581395348837
0.666666667,"cam",1,0.0283687943262411
0,"amc",3.5,0.0126582278481013
0,"wmc",3,0.00878734622144113
6,"rfc",15,0.00841219768664564
0,"lcom",6,0.00714285714285714
1,"max_cc",2,0.006635700066357
0.466666667,"cam",0.666666667,0.00647598488936859
0.8333,"avg_cc",1,0.0062235499128703
3.5,"amc",9.125,0.00606585788561525
14,"loc",74,0.00564334085778781
0,"max_cc",1,0.00545317788642347
3,"ce",4,0.00544959128065395
74,"loc",146,0.00539867109634551
1,"ce",3,0.00529300567107751
4,"cbo",6,0.00521821631878558
0,"npm",3,0.00514668039114771
4,"ca",8,0.00507936507936508
15,"rfc",26,0.00481189851268591
0,"lcom3",0.5,0.00468683425649766
3,"wmc",6,0.00457084814626714
6,"lcom",15,0.00441176470588235
0,"avg_cc",0.8333,0.00419287211740042
3,"npm",5,0.00411522633744856
6,"cbo",9,0.00408997955010225
26,"rfc",51,0.00388468615824985
146,"loc",340,0.00386514923770668
9,"wmc",15,0.00380228136882129
0,"ce",1,0.00377928949357521
9.125,"amc",14.23684211,0.00347999005717127
0.5,"lcom3",0.75,0.00340849501835343
5,"npm",8,0.00315556958030925
6,"wmc",9,0.00310421286031042
15,"lcom",68,0.00309119010819165
0.357142857,"cam",0.466666667,0.00307183364839319
8,"npm",13,0.00292911540714704
0,"dam",0.8,0.00288350634371396
4,"ce",9,0.00284028839851431
0.25,"cam",0.357142857,0.00283587380361574
0,"cbo",4,0.0028328611898017
9,"cbo",14,0.0028116213683224
1,"ic",3,0.00273224043715847
1,"ca",2,0.00262319655237025
0,"dit",1,0.00254848334162108
14.23684211,"amc",24.75,0.00253213868328788
0.676470588,"mfa",0.987654321,0.0025246729400964
0.75,"lcom3",0.875,0.00244636808430561
1,"avg_cc",1.5,0.00243351294976534
2,"ca",4,0.00242450958783337
0,"moa",1,0.00231526143160332
2,"dit",6,0.00225733634311512
1,"cbm",8,0.00215475024485798
2,"max_cc",4,0.0020128087831656
0,"ca",1,0.0019434628975265
8,"ca",41,0.00183875530410184
0.8,"dam",1,0.00182932406475807
1,"dit",2,0.00173748223029537
0.875,"lcom3",2,0.0016610234459848
0,"noc",11,0.001634521085322
0,"mfa",0.676470588,0.0016065430115379
0,"ic",1,0.0015652514185091
0,"cbm",1,0.00156270347701524
13,"npm",72,0.00118170443486723
0,"cam",0.25,0.00116701244813278
14,"cbo",72,0.00116533139111435
1,"moa",6,0.00113314447592068
24.75,"amc",124.875,0.0011308850663651
9,"ce",48,0.00112465964247662
68,"lcom",3021,0.00107513281052365
15,"wmc",82,0.000996326047699109
51,"rfc",318,0.000949918201488205
340,"loc",3982,0.000937304728181629
1.5,"avg_cc",5.125,0.000924886040827112
4,"max_cc",19,0.000866551126516464
