"start","attribute","end","recallloc"
9.84,"amc",20,0.000742084432717678
4,"ca",10,0.000725660149163475
0,"loc",52,0.000649350649350649
0.233333333,"cam",0.34625,0.000609406366504158
0,"cbm",1,0.000573888091822095
3,"max_cc",5,0.000467476960064111
0,"lcom",1,0.00046264168401573
3,"npm",5,0.000452939577860313
9,"wmc",15,0.000443295160694496
15,"lcom",50.8,0.000440975437668122
0.7806763288,"mfa",0.977965122,0.000435006129631827
20,"amc",30.702222224,0.000427549751243781
0.7664069264,"lcom3",0.8820760122,0.000414998535299287
0,"noc",38,0.000411692054343351
146.4,"loc",265.8,0.000407996736026112
2,"dit",5,0.000404560500183891
265.8,"loc",513.8,0.000395015621072288
7,"cbo",11,0.000387259173201665
0,"amc",9.84,0.000386100386100386
1.11332,"avg_cc",1.75,0.000381861575178998
2,"cbm",21,0.000373718263144372
0,"max_cc",1,0.000370233246945576
0,"ic",1,0.000365422875472005
0.8955555556,"dam",1,0.00035915670006824
1,"ic",5,0.000357437448446522
0.8,"avg_cc",1.11332,0.000346340337104595
32,"rfc",57,0.000344762740550367
0.977965122,"mfa",1,0.00034342344110288
0,"avg_cc",0.8,0.000337040781934614
0,"rfc",8.2,0.000335120643431635
6,"ce",11,0.000328882457409722
3,"lcom",15,0.000325796572620056
5,"max_cc",11,0.000324505129677242
0,"wmc",3,0.000317965023847377
1,"npm",3,0.000317695647569628
1,"moa",2,0.000307597662257767
1,"dit",2,0.00030571690614491
17,"cbo",258,0.000300727529292018
11,"ce",79,0.000299905414446213
5,"wmc",9,0.000298828591919675
1.75,"avg_cc",2.77224,0.000298240381747689
0,"ce",1,0.000297766749379653
5,"dit",8,0.000296647878967665
2,"moa",17,0.000291846537362437
11,"cbo",17,0.000290676549669355
10,"ca",223,0.000289414658852471
1,"max_cc",3,0.000287026406429392
9,"npm",214,0.000283696885638633
57,"rfc",522,0.000278779485427027
2,"ca",4,0.000276497695852535
0.625,"cam",1,0.000273224043715847
0.2,"dam",0.8955555556,0.000269541778975741
50.8,"lcom",41713,0.000266375184855193
0.5738095234,"lcom3",0.7664069264,0.000266010507415043
4,"cbo",7,0.000265592492585543
0.8820760122,"lcom3",2,0.000261453098219214
0,"moa",1,0.000255965416228207
0,"mfa",0.7806763288,0.000249875062468766
3.40000000000001,"ce",6,0.000246965848151284
15,"wmc",351,0.000244366005973391
0,"cam",0.233333333,0.000243593491181916
513.8,"loc",12200,0.000241831918477626
0,"dit",1,0.000237115846555119
2.77224,"avg_cc",28.6667,0.000233670857905864
8.2,"rfc",18,0.000233563003620227
1,"ce",3.40000000000001,0.000229858636938283
11,"max_cc",167,0.000229570806941386
5,"npm",9,0.00022767189227867
45.509090912,"amc",540,0.000214132762312634
0,"npm",1,0.000212743325178173
30.702222224,"amc",45.509090912,0.000202900119034736
3,"wmc",5,0.000201572263656521
0,"dam",0.2,0.000192196809532962
18,"rfc",32,0.000189250567751703
1,"ca",2,0.00017864586434824
0.466666667,"cam",0.625,0.000169606512890095
52,"loc",146.4,0.000149880095923261
0.34625,"cam",0.466666667,0.000126806999746386
0,"ca",1,2.9589300508936e-05
0,"cbo",4,0
1,"lcom",3,0
0,"lcom3",0.5738095234,0
1,"cbm",2,0
