"start","attribute","end","recallloc"
0,"loc",46.4,0.0195822454308094
0,"rfc",9.2,0.0168954593453009
0,"amc",5.7214285712,0.015353121801433
2,"dit",5,0.0111731843575419
0.578947368,"mfa",1,0.00796019900497512
0.5305555556,"cam",1,0.00790229885057471
0,"ce",1,0.00788643533123028
0,"max_cc",1,0.00741308793456033
0,"avg_cc",0.77938,0.00706273369339427
1.5,"lcom3",2,0.00687285223367698
0,"cbo",4,0.00563341577356417
8,"npm",9,0.0052988554472234
5.7214285712,"amc",9.454545455,0.0050557880055788
0.44,"mfa",0.578947368,0.00505171999037768
112,"loc",187.8,0.00492924153283511
46.4,"loc",112,0.00460193281178095
21,"rfc",24.6,0.00453001132502831
0,"wmc",4,0.00452488687782805
9,"wmc",11,0.00447273352829864
0.3755882352,"cam",0.470588235,0.00441534713763703
1,"lcom",13.8,0.00435955989204899
13.8,"lcom",43,0.00430796421075886
0.77938,"avg_cc",0.8947,0.00414293112377007
4,"wmc",9,0.00401814646791964
9.2,"rfc",21,0.00401146131805158
1,"ce",3,0.00389137274383176
0,"npm",4,0.00377053595475357
4,"npm",8,0.0037279856022625
0,"noc",100,0.00358583594800538
1,"ca",2,0.00356492117563178
0,"ca",1,0.00356016681924524
0.470588235,"cam",0.5305555556,0.00355713650511338
0,"dam",0.5,0.00345887778631822
4,"cbo",5,0.00343479805756248
0,"cbm",5,0.00337331334332834
11,"wmc",19.8,0.00330067044868489
43,"lcom",93.8,0.00322493953238377
0.5,"dam",0.78,0.00318102949681897
1,"max_cc",2,0.00314546485845408
5,"cbo",6,0.00301549339710929
5,"cbm",6,0.00301351650786616
24.6,"rfc",38,0.0030093951849677
1,"dit",2,0.00294412427962917
9.454545455,"amc",13.471710526,0.00294087820707839
0,"ic",1,0.00293291731669267
0.9002002004,"lcom3",1.5,0.00291144359078043
187.8,"loc",335.6,0.00290697674418605
0.7188034188,"lcom3",0.8417673234,0.00279790515818925
0.8947,"avg_cc",1,0.00272541449012037
1,"avg_cc",1.26664,0.00262561164816804
0,"lcom",1,0.00261096605744125
9,"npm",17,0.00257692890707898
3.59999999999999,"ce",5,0.00236138231687934
13.471710526,"amc",19.661538462,0.00223338916806253
0.2123076924,"mfa",0.44,0.00220648604269294
0.3003174604,"cam",0.3755882352,0.00217406073782186
2,"max_cc",4,0.00212969864764136
2,"ca",4,0.00208449138410228
0.8417673234,"lcom3",0.9002002004,0.00201231782425758
6,"cbo",8,0.00171467764060357
0.78,"dam",1,0.00167219086864344
0,"dit",1,0.00163680601636806
93.8,"lcom",3214,0.00160440064176026
0,"lcom3",0.7188034188,0.00158161113454239
1,"moa",34,0.00152459530962737
17,"npm",93,0.00147842664280434
19.8,"wmc",96,0.00134661998384056
0,"cam",0.3003174604,0.00134474327628362
8,"cbo",116,0.0012592628469027
19.661538462,"amc",121,0.00123844486708833
5,"ce",93,0.00123327372510329
335.6,"loc",2395,0.00123250007900642
38,"rfc",274,0.00122394859415905
4,"ca",115,0.00119180041315748
1.26664,"avg_cc",11.1111,0.00119164148614717
0,"moa",1,0.00115190784737221
4,"max_cc",89,0.0011101243339254
1,"ic",2,0.00102564102564103
0,"mfa",0.2123076924,0.000996346728661574
6,"cbm",7,0.00029146021568056
