"start","attribute","end","recallloc"
0,"loc",32,0.00326983224338925
0,"rfc",9,0.0027009507346586
32,"loc",59,0.00241738425956173
1,"lcom3",2,0.00219965209584198
9,"rfc",15,0.00217210219424498
2,"dit",3,0.00211111111111111
0,"lcom",1,0.00202279617151405
0,"cbm",1,0.00199072865161125
6,"ce",11,0.00193306000280605
59,"loc",93,0.0019295782381225
8,"cbo",12,0.00192707286011127
0.769230769,"mfa",0.857142857,0.00191616613988013
0,"ic",1,0.00190140164822036
9,"amc",16.33333333,0.00185651770322238
0.5,"cam",0.625,0.00185004322006309
0,"npm",2,0.00163434009569951
15,"rfc",20,0.00161873242032551
0,"avg_cc",0.5,0.00158643661186152
16.33333333,"amc",28.5,0.00155491365005224
0,"cbo",8,0.00152887061273444
11,"ce",15,0.00149785075833049
12,"cbo",16,0.00148147034051257
1,"max_cc",3,0.00146262569439561
20,"rfc",29,0.00143438914027149
93,"loc",156,0.0014039136496947
0,"max_cc",1,0.00131914701432432
28.5,"amc",47.5,0.0013137132309158
0.952380952,"lcom3",1,0.0012440130631292
3,"dit",4,0.00121013900245298
16,"cbo",23,0.00118744828854227
0.885714286,"mfa",0.928571429,0.00117544442598438
0,"ce",6,0.00112671961037309
15,"ce",21,0.00112079701120797
0.7143,"avg_cc",1.3333,0.00109066943897821
1.3333,"avg_cc",17,0.00104202115171037
1,"cbm",3,0.000982139241018995
0.666666667,"cam",1,0.000976075971246429
0.625,"cam",0.666666667,0.000969122674778582
1,"ic",2,0.000962800164122897
21,"ce",87,0.000955622885055668
0.928571429,"mfa",1,0.000938017656020277
47.5,"amc",3492,0.000904082668191593
3,"max_cc",62,0.000900877844035523
23,"cbo",725,0.000893030877157048
3,"lcom",9,0.000891894302417034
0.5,"avg_cc",0.7143,0.000870490981963928
4,"dit",5,0.000857518531928273
3,"cbm",19,0.00082422066264077
0,"dit",2,0.000821998793321968
0,"amc",9,0.000790791670327739
0,"noc",464,0.000773918931991874
2,"ic",6,0.000753730968293051
1,"lcom",3,0.000734691570827093
0.857142857,"mfa",0.885714286,0.000730717185385656
156,"loc",5002,0.00072661703814503
29,"rfc",293,0.000723472259254416
5,"dit",8,0.000708067137638596
1,"ca",725,0.000706448121431303
0,"lcom3",0.952380952,0.000705655831489387
0,"mfa",0.769230769,0.000699343225492581
2,"npm",3,0.000636619102431371
9,"lcom",11323,0.00062550727114062
0,"dam",1,0.00061772143520957
3,"npm",212,0.000584091299960087
0,"cam",0.5,0.000572245369073912
0,"ca",1,0.000470777553326257
0,"moa",66,0.000344222229871605
