"start","attribute","end","recallloc"
0,"loc",20,0.0012531328320802
0,"rfc",6,0.00105401844532279
0,"amc",3.22,0.000970402717127608
20,"loc",61.8,0.000495212941564873
2,"wmc",5,0.00045110520775901
61.8,"loc",181.4,0.000449012173218918
0.6667,"avg_cc",0.9,0.000448944979298648
0,"wmc",2,0.000423190859077444
0.7942857144,"mfa",1,0.000414529250220219
3.22,"amc",9.7428571428,0.000408024481468888
0,"noc",31,0.000407761052023514
0,"npm",2,0.000398684341672481
2,"npm",4,0.000388872270415794
1,"lcom",12,0.000378369856534763
1,"max_cc",3,0.000350262697022767
0.666666667,"cam",1,0.000336224867191177
0,"cbm",1,0.000334182714399098
0,"max_cc",1,0.000317772128495493
0.2566239312,"cam",0.3822712416,0.000315541236257349
4,"ca",109,0.000308832612723904
19.946666664,"amc",35.243636362,0.000298983456248754
0.3822712416,"cam",0.5,0.000297911639407752
0,"ic",1,0.000295910516659762
4,"npm",7,0.000295866741619575
1,"moa",24,0.000295351569055211
5,"cbo",11,0.000294941749004572
11,"cbo",109,0.000293966340853972
0.7932539686,"lcom3",0.9792929296,0.000293410431098643
0,"lcom",1,0.00029165856503986
0.9792929296,"lcom3",2,0.000288704438830747
9,"wmc",18,0.000285731779496704
2,"ca",4,0.000279617998795492
2,"dit",6,0.000275999116802826
23,"rfc",51,0.00027369943891615
12,"lcom",73,0.000272188198697385
9.7428571428,"amc",19.946666664,0.000271350337954512
5,"wmc",9,0.000269404615799084
0.395,"dam",1,0.000264330343974226
1,"dit",2,0.0002593969638203
0,"dit",1,0.000250701692236423
181.4,"loc",492.2,0.000250558939171999
0.5,"cam",0.666666667,0.00024981264051961
1.67312,"avg_cc",10,0.000248478824755764
0,"moa",1,0.000247279920870425
51,"rfc",511,0.000247265246375091
0,"ca",1,0.000246140382064571
6,"max_cc",95,0.000244958414036687
1,"cbm",19,0.000243164789738446
0,"mfa",0.7942857144,0.000234957605475534
0.9,"avg_cc",1,0.000234796900680911
73,"lcom",29258,0.000234252672329828
1,"ic",4,0.000230491459010936
0,"avg_cc",0.6667,0.000229621125143513
13,"rfc",23,0.000229170076935669
492.2,"loc",7956,0.000226150199916777
0,"cam",0.2566239312,0.000222242483645233
1,"ca",2,0.000221877080097626
18,"wmc",252,0.000217149515385838
0.5398222222,"lcom3",0.7932539686,0.000214837345514988
15,"npm",231,0.000211732634615639
35.243636362,"amc",894.5,0.000203716846726073
7,"npm",15,0.000194772311168244
1,"avg_cc",1.67312,0.000191545653709401
0,"lcom3",0.5398222222,0.000185707918585648
6,"rfc",13,0.000154870682979712
1,"cbo",3,0.00014635717003776
0,"cbo",1,0.000139850360114677
3,"max_cc",6,0.00012899183665948
3,"cbo",5,0.000124771252703377
0,"dam",0.395,0.000100537877645403
