"start","attribute","end","recallloc"
0,"loc",25.4,0.0019907100199071
4,"dit",8,0.0010744023636852
4,"lcom",37.6,0.00097515047580618
0.466666667,"cam",0.666666667,0.000913306168329352
2,"npm",4,0.000904759032511008
6,"amc",12.611111112,0.000852817852320375
14,"rfc",24,0.000850492390331244
1,"lcom3",2,0.000841722500925895
183,"loc",446.8,0.000828225940036442
2,"ic",5,0.000823443933155728
4,"wmc",8,0.000808709175738725
3,"wmc",4,0.000795544948289578
11,"cbo",21,0.000710701440785648
25.4,"loc",81,0.000695700570474468
6,"cbm",30,0.000691345609955377
4,"npm",7,0.000689734452235889
4,"ce",7,0.000684667722196072
1,"max_cc",3,0.000662067042999512
0.97574,"avg_cc",1.22392,0.000658568710668813
0.9093240092,"mfa",0.9747435896,0.000656421345277628
6,"cbo",11,0.000644462775830068
1,"lcom",4,0.000643459236857345
0,"amc",6,0.000637348629700446
12.611111112,"amc",20.58877005,0.000625945438422617
0.3443055552,"cam",0.466666667,0.000619215226176509
3,"cbo",6,0.000616491137939892
0,"ca",1,0.000611520097843216
0.2406600116,"cam",0.3443055552,0.000608368445956603
3,"max_cc",7,0.000607354510987595
24,"rfc",46,0.000603892785803874
0,"moa",1,0.000601767006756202
1,"ic",2,0.000593680599837288
0.6667,"avg_cc",0.97574,0.000591121357214636
81,"loc",183,0.000582164593807886
1,"ce",4,0.000581902822228688
0.5,"lcom3",0.75,0.000568043495901972
0,"noc",29,0.000557103064066852
6,"rfc",14,0.000552486187845304
7,"ce",14,0.00054788961038961
0.5,"mfa",0.9093240092,0.000545625899042675
1.22392,"avg_cc",1.86784,0.000540145521558161
2,"cbm",6,0.00052858778962206
6,"ca",155,0.00052413190652981
8,"wmc",15,0.000518209298977976
1,"dit",2,0.000505376645983659
20.58877005,"amc",37.625714284,0.000503950079298027
2,"ca",6,0.000482043865991805
0,"dam",0.818181818,0.000477122000095424
0,"max_cc",1,0.000463893613731251
3,"dit",4,0.000458343616683708
0,"dit",1,0.000436245189184997
0,"rfc",6,0.000429922613929493
0,"lcom3",0.5,0.00042911877394636
0,"mfa",0.5,0.000425129900803023
1.86784,"avg_cc",22,0.00042428450204428
1,"ca",2,0.000422267576887888
2,"dit",3,0.000417992243921696
0.9747435896,"mfa",1,0.000417362270450751
13,"npm",118,0.000417271565550755
14,"ce",64,0.000413555927997736
0.818181818,"dam",1,0.000412704266659642
7,"npm",13,0.000401848503114326
0.666666667,"cam",1,0.000401284109149278
15,"wmc",123,0.000398817093451122
0,"wmc",3,0.00039849709666401
46,"rfc",355,0.000396774787796341
0.75,"lcom3",1,0.00038840213169542
37.6,"lcom",6589,0.000386920442571127
7,"max_cc",86,0.00038396760709642
0,"ic",1,0.000375053579082726
0,"cam",0.2406600116,0.000374458663019765
0,"ce",1,0.000367444424030865
446.8,"loc",3479,0.000360731770162329
21,"cbo",171,0.000357477992761071
37.625714284,"amc",436,0.00035496657398095
1,"moa",18,0.000352152891460768
0,"cbm",2,0.000323086864211206
0,"npm",2,0.000302663438256659
0,"lcom",1,0.000251130085384229
0,"cbo",3,0.000240516767454645
0,"avg_cc",0.6667,0.000158805780530411
