"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
7,1,0,1,11,7,1,0,7,0.833333333,83,1,0,0,0.357142857,1,1,10.42857143,7,1.8571,"0"
0,1,0,4,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,"0"
22,3,0,6,56,123,1,5,17,0.836734694,445,1,1,0.522727273,0.309090909,1,1,18.59090909,5,1.4545,"0"
2,1,0,5,2,1,3,2,2,2,2,0,0,0,1,0,0,0,1,1,"0"
1,4,0,2,2,0,0,2,1,2,4,0,0,1,1,0,0,3,0,0,"0"
1,4,0,2,2,0,0,2,1,2,4,0,0,1,1,0,0,3,0,0,"0"
2,1,0,3,2,1,2,1,2,2,2,0,0,0,1,0,0,0,1,1,"0"
3,2,0,5,11,3,4,1,3,2,33,0,0,0.882352941,0.555555556,1,1,10,1,0.6667,"0"
4,2,0,1,10,4,0,1,4,0.666666667,49,1,0,0.8125,0.4375,1,1,11,3,1.25,"0"
0,1,0,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,"0"
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,"0"
2,4,0,12,14,1,0,12,2,2,31,0,0,0.98245614,0.75,0,0,14.5,1,0.5,"0"
4,2,0,4,14,4,0,4,4,0.666666667,68,1,0,0.8125,0.4375,1,1,15.75,4,1.5,"0"
9,1,0,0,10,28,0,0,9,0.925,45,1,0,0,0.481481481,0,0,3.444444444,1,0.8889,"0"
5,1,0,1,6,6,1,0,5,0.75,24,1,0,0,0.7,0,0,3.4,1,0.8,"0"
13,1,0,1,17,64,0,1,12,0.916666667,117,1,0,0,0.461538462,0,0,7.461538462,3,1.3846,"0"
0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,"0"
2,1,0,1,8,1,1,0,2,2,32,0,0,0,0.5,0,0,15,2,1,"0"
9,1,0,7,9,36,4,3,9,2,9,0,0,0,0.285714286,0,0,0,1,1,"0"
7,4,4,48,12,19,47,1,6,0.944444444,44,0.333333333,0,0.866666667,0.458333333,0,0,4.857142857,1,0.2857,"0"
2,1,0,2,3,1,0,2,2,1,10,1,1,0,0.75,0,0,3.5,1,0.5,"0"
7,1,0,11,33,9,0,11,7,0.791666667,194,1,2,0,0.25,0,0,26.14285714,16,3,"0"
5,3,0,1,41,2,0,1,2,0.833333333,236,1,0,0.888888889,0.35,1,2,45.6,2,0.8,"0"
13,3,0,7,32,40,0,7,11,0.864583333,186,1,1,0.657142857,0.461538462,2,2,12.69230769,4,1.1538,"0"
5,1,0,1,6,6,1,0,5,0.75,24,1,0,0,0.7,0,0,3.4,1,0.8,"0"
4,1,0,4,4,6,2,2,4,2,4,0,0,0,1,0,0,0,1,1,"0"
8,1,0,4,15,6,4,0,8,0.80952381,82,1,0,0,0.34375,1,1,8.875,6,1.625,"0"
44,3,23,55,128,730,23,32,39,0.674418605,860,1,0,0.232142857,0.185606061,0,0,18.5,5,1.5,"0"
43,1,0,22,110,563,0,22,40,0.931677019,1202,1,9,0,0.131578947,0,0,26.41860465,2,1.093,"0"
25,1,0,26,99,222,0,26,22,0.936111111,653,1,6,0,0.12745098,0,0,24.52,7,1.88,"0"
19,1,0,6,20,153,5,1,19,0.944444444,94,1,1,0,0.294736842,0,0,3.473684211,1,0.9474,"0"
4,2,0,3,7,4,3,0,2,0.966666667,122,0.1,10,0.846153846,0.444444444,1,1,27,1,0.5,"0"
8,1,0,3,18,28,0,3,8,2,43,0,0,0,0.4375,0,0,4.375,2,1.125,"0"
17,2,0,4,33,58,1,4,12,0.8515625,254,1,0,0.483870968,0.198529412,0,0,13.47058824,4,1.1176,"0"
26,1,0,11,65,0,0,11,24,0.56,669,1,2,0,0.302222222,0,0,24.61538462,1,0.9231,"0"
1,4,0,2,2,0,0,2,1,2,4,0,0,1,1,0,0,3,0,0,"0"
2,1,0,2,3,1,0,2,2,2,7,0,0,0,1,0,0,2.5,1,0.5,"0"
22,3,0,6,56,123,1,5,17,0.836734694,445,1,1,0.522727273,0.309090909,1,1,18.59090909,5,1.4545,"0"
4,3,0,2,8,6,2,0,4,2,20,0,0,1,0.666666667,0,0,4,0,0,"0"
0,1,0,4,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,"0"
13,3,0,7,32,40,0,7,11,0.864583333,186,1,1,0.657142857,0.461538462,2,2,12.69230769,4,1.1538,"0"
0,1,0,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,"0"
12,1,0,6,12,66,3,3,12,2,12,0,0,0,0.333333333,0,0,0,1,1,"0"
3,1,0,4,7,3,4,0,3,1.5,36,1,0,0,0.5,0,0,10.33333333,2,1.3333,"0"
7,1,0,2,20,0,1,1,7,0.611111111,96,1,0,0,0.392857143,0,0,12.28571429,3,1.1429,"0"
2,2,0,3,6,1,2,1,2,2,21,0,0,0.9375,0.75,1,1,9.5,3,1.5,"0"
19,1,0,6,20,153,5,1,19,0.944444444,94,1,1,0,0.294736842,0,0,3.473684211,1,0.9474,"0"
9,1,0,7,9,36,4,3,9,2,9,0,0,0,0.285714286,0,0,0,1,1,"0"
3,1,0,2,10,3,0,2,2,1,30,1,0,0,0.666666667,0,0,8.666666667,1,0.3333,"0"
3,1,0,4,3,3,3,1,3,2,3,0,0,0,1,0,0,0,1,1,"0"
5,1,0,5,10,4,0,5,4,0.75,29,1,1,0,0.4375,0,0,4.4,1,0.6,"0"
7,1,0,13,7,21,13,0,7,2,7,0,0,0,0.464285714,0,0,0,1,1,"0"
8,1,0,5,15,6,4,1,8,0.80952381,71,1,1,0,0.34375,1,1,7.5,6,1.5,"0"
2,4,0,12,14,1,0,12,2,2,31,0,0,0.98245614,0.75,0,0,14.5,1,0.5,"0"
7,1,0,2,20,0,1,1,7,0.611111111,96,1,0,0,0.392857143,0,0,12.28571429,3,1.1429,"0"
7,1,0,13,7,21,13,0,7,2,7,0,0,0,0.464285714,0,0,0,1,1,"0"
8,1,0,4,15,6,4,0,8,0.80952381,82,1,0,0,0.34375,1,1,8.875,6,1.625,"0"
5,2,0,6,22,6,0,6,4,0.75,102,1,0,0.8125,0.4375,1,1,19,2,0.8,"0"
3,1,0,4,4,1,3,1,3,0.5,14,1,0,0,0.666666667,0,0,3.333333333,1,0.6667,"0"
10,1,0,6,18,33,0,6,9,0.904761905,93,1,3,0,0.26984127,0,0,7.6,1,0.8,"0"
3,1,0,4,7,3,4,0,3,1.5,36,1,0,0,0.5,0,0,10.33333333,2,1.3333,"0"
13,1,0,8,13,78,2,6,13,2,13,0,0,0,0.326923077,0,0,0,1,1,"0"
13,1,0,6,14,42,5,1,13,0.833333333,82,1,1,0,0.353846154,0,0,4.846153846,1,0.9231,"0"
4,2,0,2,11,4,0,2,4,0.666666667,51,1,0,0.8125,0.4375,1,1,11.5,4,1.5,"0"
19,1,0,6,20,153,5,1,19,0.944444444,94,1,1,0,0.294736842,0,0,3.473684211,1,0.9474,"0"
14,1,7,19,36,65,8,12,11,0.884615385,209,1,2,0,0.214285714,0,0,13.5,3,1.2143,"0"
12,1,0,9,29,26,1,8,9,0.803030303,199,1,0,0,0.431818182,0,0,15.08333333,4,1.1667,"0"
6,4,0,11,26,15,0,11,4,2,103,0,0,0.918032787,0.5,0,0,16.16666667,6,1.6667,"0"
15,1,0,2,19,83,0,2,15,0.928571429,123,1,2,0,0.20952381,1,1,6.733333333,7,1.4,"0"
2,4,0,5,10,1,0,5,2,2,35,0,0,0.98245614,0.75,0,0,16.5,1,0.5,"0"
36,1,0,17,43,576,13,4,36,0.968067227,227,1,6,0,0.122685185,1,1,4.833333333,6,1.1389,"0"
7,4,4,48,12,19,47,1,6,0.944444444,44,0.333333333,0,0.866666667,0.458333333,0,0,4.857142857,1,0.2857,"0"
1,1,0,2,1,0,1,1,1,2,1,0,0,0,1,0,0,0,1,1,"0"
14,1,0,15,21,63,14,1,14,0.91025641,112,1,1,0,0.285714286,1,1,6.571428571,6,1.3571,"0"
14,2,0,4,21,55,2,2,14,0.846153846,161,0,0,0.409090909,0.476190476,2,2,10.07142857,13,1.7857,"0"
6,1,0,3,21,9,0,3,5,0.6,63,1,0,0,0.4,0,0,9.333333333,2,0.8333,"0"
44,3,23,55,128,730,23,32,39,0.674418605,860,1,0,0.232142857,0.185606061,0,0,18.5,5,1.5,"0"
5,2,0,6,22,6,0,6,4,0.75,102,1,0,0.8125,0.4375,1,1,19,2,0.8,"0"
0,1,0,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,"0"
13,1,0,6,14,42,5,1,13,0.833333333,82,1,1,0,0.353846154,0,0,4.846153846,1,0.9231,"0"
9,1,0,6,15,4,6,1,9,0.791666667,101,1,1,0,0.361111111,1,1,9.888888889,7,1.5556,"0"
1,3,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,0,0,"0"
3,1,0,7,3,3,4,3,3,2,3,0,0,0,0.583333333,0,0,0,1,1,"0"
3,2,0,5,11,3,4,1,3,2,33,0,0,0.882352941,0.555555556,1,1,10,1,0.6667,"0"
3,2,0,2,12,3,1,1,3,2,33,0,0,0.882352941,0.555555556,1,1,10,1,0.6667,"0"
3,1,0,4,3,3,3,1,3,2,3,0,0,0,1,0,0,0,1,1,"0"
18,1,0,9,38,103,6,3,15,0.811764706,239,1,2,0,0.242647059,0,0,12,6,1.3333,"0"
4,1,0,5,4,6,2,3,4,2,4,0,0,0,0.55,0,0,0,1,1,"0"
1,1,0,1,2,0,0,1,1,2,8,0.25,1,0,1,0,0,3,0,0,"0"
13,1,0,1,17,64,0,1,12,0.916666667,117,1,0,0,0.461538462,0,0,7.461538462,3,1.3846,"0"
18,1,0,11,46,79,0,11,18,0.847058824,174,1,4,0,0.194444444,0,0,8.388888889,3,1.1111,"0"
0,1,0,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,"0"
18,1,0,9,38,103,6,3,15,0.811764706,239,1,2,0,0.242647059,0,0,12,6,1.3333,"0"
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,"0"
8,1,0,4,8,28,2,2,8,2,8,0,0,0,0.541666667,0,0,0,1,1,"0"
4,3,0,2,8,6,2,0,4,2,20,0,0,1,0.666666667,0,0,4,0,0,"0"
8,1,0,3,14,0,1,2,8,0.666666667,122,1,2,0,0.40625,1,1,13.875,10,2.125,"0"
4,2,0,1,10,4,0,1,4,0.666666667,49,1,0,0.8125,0.4375,1,1,11,3,1.25,"0"
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,"0"
6,4,0,13,30,9,0,13,2,0.8,131,1,1,0.936507937,0.466666667,1,3,20.16666667,1,0.6667,"0"
2,1,0,1,8,1,1,0,2,2,32,0,0,0,0.5,0,0,15,2,1,"0"
20,1,0,9,20,190,4,5,20,2,20,0,0,0,0.407142857,0,0,0,1,1,"0"
1,4,0,2,2,0,0,2,1,2,4,0,0,1,1,0,0,3,0,0,"0"
7,1,0,1,8,15,1,0,7,0.833333333,34,1,0,0,0.357142857,0,0,3.428571429,1,0.8571,"0"
16,1,0,18,23,98,15,3,16,0.923809524,122,1,3,0,0.1796875,1,1,6.1875,6,1.3125,"0"
4,1,0,4,4,6,2,2,4,2,4,0,0,0,1,0,0,0,1,1,"0"
13,1,0,6,35,64,0,6,13,0.9375,254,1,0,0,0.259615385,0,0,17.92307692,2,1,"0"
7,1,0,3,11,17,0,3,6,0.666666667,61,1,0,0,0.541666667,0,0,7.428571429,1,0.7143,"0"
3,1,0,7,3,3,4,3,3,2,3,0,0,0,0.583333333,0,0,0,1,1,"0"
4,1,0,4,4,6,2,2,4,2,4,0,0,0,1,0,0,0,1,1,"0"
12,1,0,9,29,26,1,8,9,0.803030303,199,1,0,0,0.431818182,0,0,15.08333333,4,1.1667,"0"
0,1,0,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,"0"
3,1,0,4,3,3,3,1,3,2,3,0,0,0,1,0,0,0,1,1,"0"
4,1,0,11,17,4,2,9,4,0.666666667,74,1,1,0,0.5,0,0,17.25,6,2,"0"
8,1,0,2,26,20,0,2,7,1,127,0.285714286,0,0,0.452380952,0,0,14,4,1.25,"0"
