"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
38,1,0,14,38,703,8,9,38,2,38,0,0,0,0.242105263,0,0,0,1,1,"0"
9,2,0,2,18,10,1,1,9,0.625,207,1,0,0.666666667,0.592592593,1,1,21.77777778,7,1.8889,"0"
15,1,0,3,16,91,3,0,15,0.928571429,74,1,0,0,0.366666667,0,0,3.466666667,1,0.9333,"0"
8,2,0,3,19,2,2,1,8,0.571428571,247,1,0,0.695652174,0.583333333,1,1,29.625,8,2.125,"0"
8,2,0,2,17,2,1,1,8,0.571428571,162,1,0,0.695652174,0.583333333,1,1,19,8,2.375,"0"
3,1,1,4,17,0,1,3,3,0,83,1,0,0,0.555555556,0,0,26.33333333,1,0.6667,"0"
15,1,0,3,16,91,3,0,15,0.928571429,74,1,0,0,0.366666667,0,0,3.466666667,1,0.9333,"0"
8,2,0,3,19,2,2,1,8,0.571428571,247,1,0,0.695652174,0.583333333,1,1,29.625,8,2.125,"0"
4,1,0,4,4,6,2,2,4,2,4,0,0,0,1,0,0,0,1,1,"0"
10,1,0,6,26,0,4,2,9,0.666666667,181,0.666666667,0,0,0.333333333,0,0,16.8,1,0.8,"0"
9,2,0,2,18,10,1,1,9,0.625,207,1,0,0.666666667,0.592592593,1,1,21.77777778,7,1.8889,"0"
10,1,0,6,26,0,4,2,9,0.666666667,181,0.666666667,0,0,0.333333333,0,0,16.8,1,0.8,"0"
8,2,0,2,21,2,1,1,8,0.714285714,234,0.666666667,1,0.695652174,0.583333333,1,1,27.875,8,2.375,"0"
3,2,0,6,20,3,1,5,2,1.4,100,1,0,0.666666667,0.666666667,0,0,30.66666667,1,0.3333,"0"
3,2,0,6,20,3,1,5,2,1.4,100,1,0,0.666666667,0.666666667,0,0,30.66666667,1,0.3333,"0"
2,1,0,2,10,1,1,1,2,2,70,0,0,0,0.5,0,0,34,4,2,"0"
8,1,0,6,18,16,3,3,7,0.571428571,75,1,0,0,0.166666667,0,0,8.25,2,1.375,"0"
8,1,0,6,18,16,3,3,7,0.571428571,75,1,0,0,0.166666667,0,0,8.25,2,1.375,"0"
8,2,0,3,17,2,2,1,8,0.571428571,205,1,0,0.695652174,0.583333333,1,1,24.375,7,2,"0"
10,1,0,8,56,0,3,5,10,0.111111111,431,1,0,0,0.425,0,0,42,3,1.1,"0"
1,1,0,0,2,0,0,0,1,2,40,0,0,0,1,0,0,3,0,0,"0"
6,6,0,2,19,15,1,2,2,2,60,0,0,0.986772487,0.5,0,0,9,1,0.8333,"0"
12,1,0,11,18,16,10,1,10,0.636363636,84,1,0,0,0.181818182,0,0,5.666666667,2,0.9167,"0"
4,3,0,2,8,6,2,0,4,1.333333333,21,1,0,1,0.666666667,0,0,4,0,0,"0"
12,1,0,11,52,0,4,8,10,0.090909091,519,1,0,0,0.285714286,0,0,42.16666667,3,1.3333,"0"
12,1,0,11,52,0,4,8,10,0.090909091,519,1,0,0,0.285714286,0,0,42.16666667,3,1.3333,"0"
3,1,1,4,17,0,1,3,3,0,83,1,0,0,0.555555556,0,0,26.33333333,1,0.6667,"0"
9,2,0,2,18,10,1,1,9,0.625,207,1,0,0.666666667,0.592592593,1,1,21.77777778,7,1.8889,"0"
7,1,0,5,13,21,5,0,7,2,88,0,0,0,0.428571429,0,0,11.57142857,4,2,"0"
3,2,0,6,20,3,1,5,2,1.4,100,1,0,0.666666667,0.666666667,0,0,30.66666667,1,0.3333,"0"
6,3,0,4,10,13,4,0,6,1.166666667,63,0.055555556,0,1,0.625,0,0,6.5,0,0,"0"
6,3,0,4,10,13,4,0,6,1.166666667,63,0.055555556,0,1,0.625,0,0,6.5,0,0,"0"
10,1,0,9,57,0,4,5,9,0.111111111,510,1,0,0,0.425,0,0,49.9,3,1.1,"1"
28,1,0,19,83,172,12,9,24,0.782407407,800,1,0,0,0.178571429,1,1,27.28571429,23,2.5357,"1"
36,1,0,11,45,214,11,0,34,0.747252747,774,0.923076923,0,0,0.331428571,1,1,20.13888889,52,2.9444,"1"
11,5,0,9,80,41,5,8,1,0.813043478,829,1,1,0.979035639,0.381818182,0,0,72.27272727,7,2,"1"
19,6,0,13,89,113,9,11,1,0.744444444,839,0.6,4,0.966442953,0.175438596,0,0,42.10526316,7,1.4211,"1"
6,6,0,10,34,11,6,9,2,0.988888889,261,0.111111111,1,0.990825688,0.5,0,0,39.5,1,0.6667,"1"
10,1,0,6,49,0,1,5,9,0.111111111,473,1,0,0,0.425,0,0,46.2,3,1.1,"1"
84,5,0,44,313,3022,34,44,5,0.880120482,5924,0.95,5,0.849090909,0.201058201,0,0,68.57142857,49,2.5119,"1"
24,1,0,12,51,130,9,4,23,0.77173913,584,0.875,0,0,0.242236025,1,1,23,28,2.4167,"1"
20,6,0,14,92,110,9,12,1,0.694736842,965,0.6,4,0.966442953,0.176923077,0,0,46.25,8,1.4,"1"
43,1,0,13,91,447,8,5,40,0.795918367,1347,0.928571429,0,0,0.214285714,1,1,30,62,3.2326,"1"
57,5,0,34,246,1180,22,34,3,0.823376623,4020,0.909090909,6,0.89292543,0.189083821,0,0,68.56140351,72,2.9474,"1"
60,1,0,22,135,676,7,15,56,0.858243451,1176,1,6,0,0.148809524,0,0,18.41666667,4,1.1667,"1"
74,5,0,45,281,2097,32,45,5,0.866728581,4908,0.86440678,6,0.864814815,0.198198198,0,0,64.52702703,16,2.2973,"1"
69,5,0,45,262,1916,33,45,2,0.835294118,4327,0.890909091,7,0.872897196,0.201288245,0,0,60.91304348,37,2.4638,"1"
24,1,0,16,70,102,10,7,23,0.739130435,796,1,0,0,0.191666667,1,1,31.91666667,25,2.5,"1"
10.5389959665481,3.1559838661924,0,9,69.3969072306063,22.0988346284721,4.5389959665481,6.6169878996443,4.6880322676152,0.489449825602561,681.939713328844,1,0.5389959665481,0.527696260527842,0.401725174269786,0,0,61.9588097592107,5.1559838661924,1.58509636989329,"1"
13.7565698339604,4.35139533318579,0,10.6215116670355,80.4864535001107,62.2418028381653,6.13505816692486,8.16215116670355,4.7294768341817,0.808075803344137,824.297616165597,1,0.837848833296448,0.820283867891792,0.348861483872341,0.162151166703552,0.162151166703552,64.9780306287852,9.59441866725683,2.08686438000309,"1"
29.7693595867604,1,0,17.2306404132396,74.5955419628881,181.289137830492,11.7788300516549,7.00947046489455,26.2116994834505,0.774632252663712,794.249581343029,0.982986927033368,0,0,0.212378835200312,1,1,25.7050512854509,29.4139285020065,2.62609215788862,"1"
31.7977368729189,1.67236210033298,0,10.6638189498335,50.8831683779135,184.920339160599,9.99145684950054,1.34472420066595,28.453012672253,0.7583115455194,783.244978879578,0.936006963403949,0.168090525083244,0.164566614634719,0.33989858717173,0.831909474916756,0.831909474916756,28.9020931578992,44.435926371254,2.78565530811138,"1"
15.425254214555,5.55315677681938,0,11.2126271072775,84.9784109913744,80.8272879309952,7.21262710727751,9.65947033045813,1,0.775097457459637,834.531567768194,0.778737289272249,2.65947033045813,0.972069909400742,0.267657915406922,0,0,55.5853900580981,7,1.67977754189926,"1"
7.33421935024671,5.73315612995066,0,9.73315612995066,46.2748180222698,19.0053161014803,5.73315612995066,8.73315612995066,1.73315612995066,0.941965618998343,412.567318188027,0.34830566218462,1,0.987679585696769,0.468463906315413,0,0,48.2452013767984,2.60106322029606,1.02248293193679,"1"
25.8740829536691,1,0,17.4646154665388,78.9843789124861,151.685681557283,10.7008284716867,8.52757398970425,22.2284024613909,0.703122949288602,761.379173658323,1,0,0,0.207676245655103,0.881893497426063,0.881893497426063,29.5196144238923,20.6378699485213,2.3661344942546,"1"
48.8858539527282,5.54021763149649,0,27.2532534236088,191.991250544786,1450.50690997671,20.4945592125878,26.1728181606159,2.83912947401404,0.806825894100812,3176.99334384035,0.760923828976229,4.45978236850351,0.912486552260952,0.187218038667024,0,0,54.2739393774155,26.3108594771475,1.92263060756363,"1"
20.3676138021983,2.00899616605602,0,11.5964015335776,47.5694130354095,105.985891247867,8.39460230036639,5.00899616605602,18.7622161025647,0.815559784858198,518.818847672781,0.720847807941241,0.201799233211204,0.199947864084364,0.294252597504472,0.798200766788796,0.798200766788796,26.3296873479849,22.5514207032975,2.06355134188039,"1"
14.9656271252315,5.44062523613684,0,11.2031261806842,85.2875028336421,71.4031412934419,6.76250094454736,9.76250094454736,1,0.760914588575945,888.92503211461,0.823749905545265,2.32187570841052,0.973486983757653,0.291536227976093,0,0,60.8064569217317,7.44062523613684,1.7356248583179,"1"
32.0222465409897,1,0,17.3911013836041,85.1451981551945,245.741186584812,10.9274009224027,7.92740092240274,28.290396310389,0.786030367808363,946.677923861425,0.980846445157827,0,0,0.188148206287011,1,1,28.0135493772204,33.4578410065733,2.72257357429438,"1"
23.492844008375,5.8817672629375,0,15.4828874783125,107.562539718812,239.154330445686,10.5370255818125,13.7193529524375,1.236465474125,0.753776811565477,1215.09833659581,0.636544664172206,4.236465474125,0.957750775033655,0.177051908299584,0,0,45.2332450456901,14.6851279090624,1.60155862657849,"1"
38.0037184357643,3.68247336149216,0,17.1715479493141,110.321245074272,373.953499495983,8.07298934459686,12.8540213108063,26.4927930235863,0.797190890031648,995.201295435429,0.785402131080627,4.92701065540314,0.518491495364863,0.163095879256251,0,0,31.1254724811123,5.60948401689529,1.30318424463272,"1"
52.2377356016077,3.1076291827485,0,32.6995896878652,187.327644546051,1186.29654419771,22.5381459137425,27.9686626447365,13.9887613819446,0.826836848761503,2964.53517068271,0.928554943136291,3.16144377412274,0.455677235441811,0.188912916776866,0.473092704312876,0.473092704312876,46.9084336736718,19.3116489301901,2.41008530070819,"1"
16.2328214109875,5,0,12.2479581171647,96.4202327034436,210.164485268993,7.52618964668363,11.3381791759748,1.09022105881013,0.815050954300003,1144.59326371783,0.99015770268346,1.54132635286078,0.969459716292081,0.365530579936934,0,0,71.2478445707179,9.70663176430389,2.04184452707614,"1"
22.885985648958,2.11401435104199,0,15.3315913893748,74.2332545339596,104.450831572292,9.7771971297916,7.89121148083359,18.0983368554153,0.740314411457513,805.580523418961,0.910878851916641,0.89121148083359,0.215326263821079,0.188051006203254,0.777197129791602,0.777197129791602,34.1867152113672,20.9895483362488,2.25961798333216,"1"
