"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
11,1,2,8,18,47,2,6,8,0.75,94,1,1,0,0.311688312,0,0,7.363636364,2,1,"0"
1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,"0"
6,4,0,5,10,15,1,5,5,1,43,1,0,0.950819672,0.444444444,0,0,6,1,0.5,"0"
5,4,0,11,38,0,1,11,4,0.25,303,1,1,0.870967742,0.36,1,1,59,1,0.8,"0"
14,1,0,4,33,39,0,4,13,0.692307692,231,1,0,0,0.261538462,0,0,15.14285714,1,0.8571,"0"
1,4,0,2,2,0,1,1,1,2,5,0,0,1,1,0,0,4,0,0,"0"
1,1,0,7,1,0,7,0,1,2,1,0,0,0,1,0,0,0,1,1,"0"
4,5,0,6,9,2,4,2,4,0.333333333,40,1,1,0.894736842,0.5625,0,0,8.5,1,0.5,"0"
15,2,0,10,30,79,3,9,13,0.892857143,129,1,0,0.666666667,0.314285714,0,0,7.2,4,1,"0"
1,1,0,9,1,0,9,1,1,2,1,0,0,0,1,0,0,0,1,1,"0"
30,2,0,26,77,417,4,24,26,0.927203065,350,0.777777778,1,0.470588235,0.135278515,1,2,10.36666667,2,1,"0"
5,4,0,11,38,0,1,11,4,0.25,303,1,1,0.870967742,0.36,1,1,59,1,0.8,"0"
12,1,3,13,36,36,3,10,7,0.606060606,223,1,1,0,0.424242424,0,0,17.33333333,1,0.6667,"0"
4,1,0,6,4,6,5,2,4,1.333333333,5,0,0,0,0.5625,0,0,0,1,1,"0"
14,3,0,18,34,65,5,17,14,0.615384615,149,1,2,0.717948718,0.2,0,0,9.5,2,0.8571,"0"
4,3,0,24,27,4,2,24,3,0.904761905,156,1,2,0.913043478,0.583333333,0,0,36.25,3,1,"0"
4,1,0,5,15,2,3,2,1,0.555555556,226,1,0,0,0.333333333,0,0,54.75,6,1.75,"0"
3,3,0,4,9,3,0,4,1,2,33,0,0,0.945945946,0.777777778,1,1,10,1,0.6667,"0"
2,2,0,5,10,0,1,4,1,0,42,1,0,0.875,0.6,0,0,19.5,3,1.5,"0"
6,2,0,2,9,9,1,1,6,0.2,41,1,0,0.5,0.5,0,0,5.666666667,2,0.8333,"0"
4,2,0,3,7,4,2,1,2,0.962962963,111,0.111111111,9,0.857142857,0.444444444,1,1,24.5,1,0.5,"0"
2,4,0,2,6,0,1,1,2,0,20,1,0,0.944444444,0.75,0,0,8.5,1,0.5,"0"
6,4,0,3,13,15,0,3,6,2,37,0,0,0.984293194,0.444444444,2,2,5.166666667,1,0.5,"0"
20,1,0,27,109,148,11,19,14,0.802631579,728,1,3,0,0.210526316,0,0,35.2,10,1.95,"0"
7,1,0,8,38,9,3,5,5,0.5,241,1,0,0,0.333333333,0,0,33.28571429,1,0.7143,"0"
7,1,0,2,12,9,2,0,7,0.333333333,47,1,0,0,0.476190476,0,0,5.428571429,1,0.7143,"0"
1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,"0"
15,3,0,15,49,93,1,15,8,0.821428571,226,1,0,0.744680851,0.261904762,2,3,13.8,2,0.8667,"0"
2,6,0,2,7,0,1,1,2,0,25,1,0,0.944444444,0.666666667,0,0,11,1,0.5,"0"
6,2,0,7,5,9,3,6,6,0.666666667,36,1,3,0.868421053,0.444444444,1,20,4.5,1,0.8333,"0"
6,3,0,17,43,1,2,17,4,0.5,162,1,1,0.821428571,0.444444444,1,1,25.66666667,1,0.8333,"0"
