"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,"0"
4,5,0,2,8,0,0,2,4,0,28,1,0,0.931818182,0.625,1,1,5.75,1,0.75,"0"
9,1,0,2,9,36,2,0,9,2,9,0,0,0,1,0,0,0,1,1,"0"
7,2,0,8,10,7,6,2,7,0.666666667,42,1,0,0.571428571,0.476190476,1,1,4.714285714,2,1,"0"
8,4,0,6,16,28,1,5,8,2,47,0,0,0.810810811,0.333333333,0,0,4.875,1,0.875,"0"
2,1,0,0,10,1,0,0,1,1,123,0.2,0,0,1,0,0,58,0,0,"0"
7,5,0,4,14,9,0,4,7,0.666666667,58,1,0,0.872340426,0.642857143,1,1,7,2,1,"0"
0,1,0,1,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,"0"
11,2,0,9,12,45,6,3,11,0.9,54,0.8,1,0.444444444,0.363636364,0,0,3.454545455,1,0.9091,"0"
4,5,0,2,9,0,0,2,4,0,30,1,0,0.931818182,0.625,1,1,6.25,1,0.75,"0"
4,5,0,3,9,0,0,3,4,0.333333333,38,1,0,0.931818182,0.625,2,2,8.25,1,0.75,"0"
0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,"0"
14,1,0,13,38,33,9,4,14,0.576923077,209,1,2,0,0.258928571,0,0,13.78571429,6,1.7143,"0"
2,4,3,5,3,1,3,2,2,1,10,1,1,0.975609756,0.75,0,0,3.5,1,0.5,"0"
1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,"0"
7,1,0,6,13,0,4,2,7,0.166666667,39,1,1,0,0.342857143,0,0,4.428571429,1,0.8571,"0"
4,3,6,7,6,4,6,1,4,0.666666667,18,1,0,0.925,0.625,0,0,3.25,1,0.75,"0"
4,3,6,7,6,4,6,1,4,0.666666667,18,1,0,0.925,0.625,0,0,3.25,1,0.75,"0"
11,5,0,4,18,9,0,4,11,0.7,95,1,1,0.807692308,0.340909091,1,1,7.272727273,1,0.9091,"0"
7,2,0,8,10,7,6,2,7,0.666666667,42,1,0,0.571428571,0.476190476,1,1,4.714285714,2,1,"0"
3,2,0,12,16,3,9,3,3,2,111,0,0,0.9,0.722222222,2,2,36,4,2,"0"
3,4,6,8,6,1,6,2,2,0.75,21,1,1,0.975609756,0.75,0,0,5.333333333,1,0.3333,"0"
5,1,0,4,10,6,0,4,3,0.916666667,45,1,1,0,0.75,0,0,7.4,2,0.8,"0"
0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,"0"
8,4,0,6,16,28,1,5,8,2,47,0,0,0.810810811,0.333333333,0,0,4.875,1,0.875,"0"
9,4,0,6,18,36,1,5,9,2,55,0,0,0.789473684,0.285714286,0,0,5.111111111,1,0.8889,"0"
4,5,0,2,7,0,0,2,4,0.333333333,23,1,0,0.933333333,0.625,1,1,4.5,1,0.75,"0"
0,1,0,1,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,"0"
4,5,0,2,7,0,0,2,4,0.333333333,23,1,0,0.931818182,0.625,1,1,4.5,1,0.75,"0"
14,5,0,4,28,55,0,4,14,0.830769231,126,1,0,0.763636364,0.452380952,2,2,7.642857143,2,1,"0"
18,3,7,21,47,153,10,14,2,2,296,0,0,0.433333333,0.255555556,0,0,15.44444444,5,1.4444,"0"
7,5,0,4,14,9,0,4,7,0.666666667,58,1,0,0.872340426,0.642857143,1,1,7,2,1,"0"
4,5,0,2,8,0,0,2,4,0,28,1,0,0.931818182,0.625,1,1,5.75,1,0.75,"0"
1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,"0"
3,4,6,8,6,1,6,2,2,0.75,21,1,1,0.975609756,0.75,0,0,5.333333333,1,0.3333,"0"
14,1,0,13,38,33,9,4,14,0.576923077,209,1,2,0,0.258928571,0,0,13.78571429,6,1.7143,"0"
0,1,0,1,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,"0"
5,2,0,6,6,6,4,2,5,0.75,24,1,0,0.666666667,0.7,0,0,3.4,1,0.8,"0"
4,5,0,2,7,0,0,2,4,0.333333333,23,1,0,0.931818182,0.625,1,1,4.5,1,0.75,"0"
4,5,0,3,9,0,0,3,4,0.333333333,39,1,0,0.931818182,0.625,2,2,8.5,1,0.75,"0"
9,5,0,4,15,8,0,4,9,0.666666667,68,1,0,0.836734694,0.444444444,1,1,6.222222222,1,0.8889,"0"
0,1,0,1,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,"0"
