"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
4,3,0,20,36,0,3,20,4,0.761904762,278,1,2,0.75,0.416666667,2,2,66.75,1,0.75,"0"
5,3,0,17,36,4,2,16,3,0.75,293,1,1,0.692307692,0.333333333,0,0,56.6,1,0.8,"0"
4,1,0,10,25,0,1,9,4,0.5,144,1,0,0,0.5,0,0,34.5,4,1.5,"0"
2,5,0,5,12,1,0,5,2,2,43,0,0,0.933333333,0.75,0,0,20.5,1,0.5,"0"
3,3,0,14,34,0,3,14,3,0.6,270,1,2,0.818181818,0.444444444,2,2,87.33333333,1,0.6667,"0"
6,3,0,15,37,1,5,14,3,0.666666667,258,1,2,0.642857143,0.305555556,1,1,41.5,1,0.8333,"0"
12,3,0,16,67,20,0,16,6,0.781818182,702,1,1,0.45,0.375,1,1,57.08333333,4,1.1667,"0"
14,1,0,7,19,69,7,0,14,0.897435897,81,1,0,0,0.785714286,0,0,4.357142857,1,0.9286,"0"
3,2,0,10,14,0,0,10,3,0,104,0,0,0.714285714,0.466666667,0,0,33.33333333,4,1.6667,"0"
2,4,0,5,13,1,0,5,1,2,62,0,0,0.9,0.666666667,1,1,30,4,2,"0"
3,3,0,14,34,0,3,14,3,0.6,270,1,2,0.818181818,0.444444444,2,2,87.33333333,1,0.6667,"0"
3,3,0,12,12,1,3,9,3,0.75,45,1,1,0.818181818,0.444444444,0,0,13.33333333,1,0.6667,"0"
1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,"0"
3,1,0,5,9,1,1,4,3,0.5,52,1,0,0,0.555555556,0,0,15.66666667,6,2.3333,"0"
3,1,0,5,13,1,1,4,3,0.5,84,1,0,0,0.555555556,0,0,26.33333333,9,3.3333,"0"
2,4,0,5,13,1,0,5,1,2,62,0,0,0.9,0.666666667,1,1,30,4,2,"0"
3,1,0,5,9,1,1,4,3,0.5,52,1,0,0,0.555555556,0,0,15.66666667,6,2.3333,"0"
8,2,0,17,53,2,3,16,4,0.914285714,514,0.6,3,0.416666667,0.35,0,0,62,2,1,"0"
3,1,0,5,13,1,1,4,3,0.5,90,1,0,0,0.555555556,0,0,28.33333333,11,4,"0"
5,2,6,15,28,6,6,9,3,0.625,138,1,0,0.555555556,0.48,0,0,26.2,1,0.8,"0"
3,1,0,5,7,1,1,4,3,0.5,23,1,0,0,0.555555556,0,0,6.333333333,2,1,"0"
3,1,0,5,9,1,1,4,3,0.5,52,1,0,0,0.555555556,0,0,15.66666667,6,2.3333,"0"
12,3,0,16,67,20,0,16,6,0.781818182,702,1,1,0.45,0.375,1,1,57.08333333,4,1.1667,"0"
4,3,0,15,35,2,3,15,3,0.75,270,1,2,0.75,0.357142857,2,2,65.5,2,1,"0"
3,3,0,12,12,1,3,9,3,0.75,45,1,1,0.818181818,0.444444444,0,0,13.33333333,1,0.6667,"0"
8,2,0,17,53,2,3,16,4,0.914285714,514,0.6,3,0.416666667,0.35,0,0,62,2,1,"0"
8,2,0,17,53,2,3,16,4,0.914285714,514,0.6,3,0.416666667,0.35,0,0,62,2,1,"0"
3,1,0,5,7,1,1,4,3,0.5,23,1,0,0,0.555555556,0,0,6.333333333,2,1,"0"
11,2,0,17,53,37,0,17,7,0.75,522,1,1,0.357142857,0.366666667,0,0,45.54545455,2,0.9091,"1"
5,2,0,18,25,6,0,18,5,1,152,0.5,0,0.555555556,0.333333333,0,0,28.6,1,0.8,"1"
10.3711432288401,2,0,17.10480946186,50.0653350679204,33.7509066823404,0,17.10480946186,6.79038107628003,0.776202365464997,483.220499111805,0.947595269070007,0.895190538140014,0.377938385208377,0.363173018201461,0,0,43.7694105776417,1.89519053814001,0.897665287711076,"1"
6.89129468938336,2,0,17.6847842184361,33.826041883789,15.7716892284807,0,17.6847842184361,5.63043156312779,0.921196054609027,268.62983917864,0.657607890781946,0.315215781563893,0.493012742012514,0.34384052592894,0,0,33.9414746999337,1.31521578156389,0.834390041768621,"1"
5.91314066946507,2,0,17.8478098884225,29.2613231241703,10.7178934589028,0,17.8478098884225,5.30438022315502,0.961952472105622,208.310341283679,0.576095055788755,0.152190111577511,0.525359105200795,0.33840633682071,0,0,31.1789306186961,1.15219011157751,0.816603941173107,"1"
9.97283750912175,2,0,17.1711937484797,48.2065750425681,31.692993797129,0,17.1711937484797,6.65761250304058,0.792798437119927,458.658313062508,0.914403125760145,0.828806251520291,0.391109870687786,0.360960208603214,0,0,42.644498665893,1.82880625152029,0.890422762040864,"1"
8.41803895495832,2,0,17.4303268408403,40.9508484564722,23.6598679339513,0,17.4303268408403,6.13934631831944,0.85758171021007,362.779068889096,0.78483657957986,0.56967315915972,0.442525166943263,0.352322438685106,0,0,38.253370626896,1.56967315915972,0.862151341664325,"1"
9.8155210763216,2,0,17.1974131539464,47.4724316895008,30.8801922276616,0,17.1974131539464,6.6051736921072,0.7993532884866,448.957133039832,0.9012934230268,0.8025868460536,0.396312133692608,0.360086228403511,0,0,42.2001989222291,1.8025868460536,0.887562224904448,"1"
7.77062098588794,2,0,17.5382298356853,37.9295646008104,20.3148750937544,0,17.5382298356853,5.92354032862931,0.884557458921336,322.854960796423,0.730885082157329,0.461770164314657,0.463934491380655,0.348725672118335,0,0,36.4249053319401,1.46177016431466,0.850379124926729,"1"
