"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
19,7,0,21,110,115,8,19,9,0.746031746,685,1,3,0.977645306,0.289473684,2,3,34.68421053,13,2.3684,"0"
2,2,0,4,4,1,2,2,2,2,8,0,0,0.75,0.75,0,0,3,1,0.5,"0"
9,1,0,20,43,0,12,11,3,0.798076923,466,0,1,0,0.365079365,0,0,49.33333333,4,0.6667,"0"
18,2,0,9,38,153,1,8,18,2,96,0,0,0.5,0.268518519,1,5,4.333333333,1,0.9444,"0"
9,1,1,3,10,36,1,2,9,2,20,0,0,0,0.814814815,0,0,1.222222222,1,0.8889,"0"
13,2,0,1,20,30,1,1,9,0.805555556,115,1,0,0.571428571,0.269230769,0,0,7.384615385,2,1.0769,"0"
15,1,0,19,74,47,5,16,7,0.595238095,561,1,1,0,0.130952381,0,0,36.2,8,2.2,"0"
2,2,0,4,4,1,2,2,2,2,8,0,0,0.75,0.75,0,0,3,1,0.5,"0"
23,1,0,21,69,175,10,11,18,0.712121212,533,1,3,0,0.151515152,0,0,21.91304348,8,2.8696,"0"
2,1,0,4,2,1,4,2,2,2,2,0,0,0,1,0,0,0,1,1,"0"
10,1,1,13,44,25,10,6,8,0.666666667,230,0.5,1,0,0.377777778,0,0,21.8,5,1.7,"0"
12,5,0,16,73,6,2,16,6,0.618181818,445,1,4,0.983433735,0.25,1,7,35.66666667,11,2.5,"0"
13,1,0,57,28,0,56,2,13,0,161,1,0,0,0.487179487,0,0,11.30769231,2,1.0769,"0"
89,2,0,141,269,3550,119,43,66,0.961229947,2699,0.588235294,2,0.570731707,0.103620474,1,10,28.94382022,35,3.2135,"0"
9,1,0,20,43,0,12,11,3,0.798076923,466,0,1,0,0.365079365,0,0,49.33333333,4,0.6667,"0"
2,1,0,4,9,0,1,3,1,0,59,1,1,0,0.75,0,0,27.5,2,1,"0"
2,5,1,11,5,1,11,0,2,2,12,0,0,0.998529412,0.75,0,0,5,1,0.5,"0"
19,5,0,39,108,111,26,19,12,0.85978836,790,0.904761905,10,0.973174367,0.197368421,1,7,39.47368421,15,2.6842,"0"
2,2,0,10,12,1,1,9,1,1,67,0,0,0.944444444,0.625,1,1,31,1,0.5,"0"
8,6,8,26,25,24,26,1,7,0.714285714,100,1,0,0.993481095,0.392857143,2,10,11.25,2,0.875,"0"
118,1,0,1,180,6075,0,1,27,0.921125975,5209,0.717391304,1,0,0.138067061,0,0,42.36440678,9,1.5678,"0"
27,1,0,20,65,65,9,13,0,0.683760684,1240,1,4,0,0.25462963,0,0,44.59259259,24,3.7407,"0"
2,2,0,4,3,1,3,2,2,2,8,0,0,0.888888889,0.625,0,0,3,1,0.5,"0"
4,2,0,4,6,2,1,3,4,0.666666667,26,1,0,0.5,0.4375,0,0,5,1,0.75,"0"
5,1,0,4,33,0,0,4,4,0.375,161,1,0,0,0.25,0,0,30.8,3,1.6,"0"
5,1,15,60,15,0,60,1,3,0,57,1,0,0,0.466666667,0,0,10.2,1,0.6,"0"
4,1,0,7,39,4,0,7,4,0.666666667,235,1,1,0,0.5,0,0,57.5,6,3,"0"
4,1,0,7,39,4,0,7,4,0.666666667,235,1,1,0,0.5,0,0,57.5,6,3,"0"
12,1,0,7,28,16,5,2,10,0.545454545,259,1,1,0,0.270833333,0,0,20.25,5,1.8333,"0"
7,6,19,22,18,15,22,3,6,0.5,69,1,1,0.992378049,0.4,0,0,8.571428571,1,0.7143,"0"
3,6,0,8,14,3,6,3,3,2,46,0,0,0.997382199,0.833333333,0,0,14.33333333,1,0.6667,"0"
15,3,1,16,87,0,5,12,7,0.664285714,1296,1,1,0.363636364,0.4,0,0,84.73333333,25,8.4,"0"
2,1,0,6,2,1,6,1,2,2,2,0,0,0,1,0,0,0,1,1,"0"
3,1,0,11,35,1,2,11,3,0.5,228,1,0,0,0.555555556,0,0,74.66666667,18,6.3333,"0"
5,1,0,7,20,0,1,6,4,0.6,132,1,3,0,0.4,0,0,24.4,11,2.8,"0"
2,1,0,4,4,1,0,4,2,2,11,0,0,0,0.75,0,0,4.5,1,0.5,"0"
9,2,0,17,71,24,1,17,4,0.7,667,1,1,0.68,0.462962963,2,8,72.55555556,11,3.5556,"0"
3,1,0,10,20,3,2,10,3,2,89,0,0,0,0.666666667,0,0,28.66666667,4,1.6667,"0"
18,2,0,6,36,153,1,5,18,1.058823529,84,0,0,0.5,0.268518519,1,5,3.611111111,1,0.9444,"0"
17,1,0,3,82,106,0,3,13,0.5625,2224,1,0,0,0.18487395,0,0,129.5882353,46,8,"0"
2,1,0,15,2,1,14,1,2,2,2,0,0,0,0.7,0,0,0,1,1,"0"
4,1,5,9,5,6,5,4,4,2,10,0,0,0,0.4375,0,0,1.5,1,0.75,"0"
2,1,0,4,9,0,1,3,1,0,59,1,1,0,0.75,0,0,27.5,2,1,"0"
17,1,0,3,82,106,0,3,13,0.5625,2224,1,0,0,0.18487395,0,0,129.5882353,46,8,"0"
3,1,0,5,3,3,5,0,3,2,3,0,0,0,0.666666667,0,0,0,1,1,"0"
3,1,0,28,3,3,28,0,3,2,3,0,0,0,1,0,0,0,1,1,"0"
13,3,0,17,28,52,15,2,13,0.8,135,1,1,0.764705882,0.261538462,0,0,9,5,1.6923,"0"
39,7,0,33,190,535,9,30,7,0.819078947,2164,0.90625,5,0.946608947,0.14619883,3,4,53.66666667,17,2.5641,"0"
8,2,0,29,64,28,0,29,6,2,441,0,0,0.363636364,0.375,0,0,54.125,4,1.25,"0"
2,1,0,6,2,1,6,1,2,2,2,0,0,0,1,0,0,0,1,1,"0"
8,6,0,9,26,16,8,2,5,0.285714286,105,1,0,0.9921875,0.35,1,2,12,2,1,"0"
25,1,1,9,60,62,6,6,19,0.729166667,496,1,1,0,0.205714286,0,0,18.6,6,1.92,"0"
45,1,0,44,85,820,39,7,29,0.636363636,1940,0.25,2,0,0.089712919,1,1,42.02222222,14,2.8,"0"
7,2,0,10,29,0,2,9,2,0.621212121,615,0.636363636,2,0.5,0.265306122,0,0,85.28571429,8,3.5714,"0"
89,2,0,141,269,3550,119,43,66,0.961229947,2699,0.588235294,2,0.570731707,0.103620474,1,10,28.94382022,35,3.2135,"0"
2,1,0,4,4,1,0,4,2,2,11,0,0,0,0.75,0,0,4.5,1,0.5,"0"
12,1,0,16,39,20,11,8,1,0.666666667,232,1,0,0,0.202380952,0,0,18.08333333,8,2,"0"
6,5,0,11,30,5,4,9,1,0.7,139,1,3,0.992401216,0.388888889,0,0,21.5,2,1,"0"
2,1,0,2,3,1,1,1,2,2,5,0,0,0,0.666666667,0,0,1.5,1,0.5,"0"
4,2,0,4,17,6,2,3,4,2,86,0,0,0.928571429,0.6,1,1,20.5,2,1,"0"
4,1,0,5,8,2,4,3,1,1,239,0.2,3,0,0.5,0,0,56.25,6,3.25,"0"
2,2,0,10,10,1,1,9,2,2,41,0,0,0.944444444,0.625,1,1,19.5,1,0.5,"0"
16,1,2,29,26,88,28,1,9,0.833333333,119,0,0,0,0.322916667,0,0,6.1875,5,1.0625,"0"
17,1,0,3,82,106,0,3,13,0.5625,2224,1,0,0,0.18487395,0,0,129.5882353,46,8,"0"
4,2,0,4,6,0,4,0,3,2,83,0,0,0.842105263,0.5625,1,11,19.75,3,1.25,"0"
6,6,0,4,36,1,1,4,1,0.8875,464,0.6875,0,0.992581602,0.5,3,5,73.66666667,7,2.1667,"0"
31,1,0,3,44,139,3,0,25,0.470588235,1283,0.705882353,0,0,0.301075269,0,0,39.83870968,7,1.4516,"0"
5,2,0,11,10,2,5,6,3,0.625,128,0.25,0,0.80952381,0.44,1,1,23.8,3,1.6,"0"
3,2,0,11,14,3,3,8,2,1,61,0,0,0.894736842,0.466666667,1,3,19,1,0.6667,"0"
2,2,0,6,9,1,1,5,1,1,32,1,0,0.954545455,0.75,0,0,14.5,2,1,"0"
2,1,0,4,4,1,0,4,2,2,12,0,0,0,0.75,0,0,5,1,0.5,"0"
1,1,0,3,1,0,3,0,1,2,1,0,0,0,1,0,0,0,1,1,"0"
