"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
7,3,0,18,35,21,7,18,3,2,394,0,0,0.880952381,0.428571429,0,0,55.28571429,5,1.7143,"0"
69,1,0,25,70,2326,2,23,67,0.965686275,216,0,0,0,0.105263158,0,0,2.086956522,2,0.9855,"0"
2,1,0,2,3,1,2,0,1,1,62,0,0,0,1,0,0,29,0,0,"0"
6,2,0,14,26,0,6,8,6,0,302,1,0,0.84,0.416666667,0,0,49.16666667,1,0.6667,"0"
5,2,0,10,14,0,7,3,5,0.25,118,0,0,0.875,0.36,0,0,21.4,1,0.6,"0"
5,1,0,10,31,0,3,7,5,0,232,1,0,0,0.366666667,0,0,45.2,1,0.6,"0"
6,2,0,14,26,0,6,8,6,0,302,1,0,0.84,0.416666667,0,0,49.16666667,1,0.6667,"0"
1,4,0,1,6,0,1,0,1,2,42,0,0,1,1,0,0,41,0,0,"0"
6,2,0,14,26,0,6,8,6,0,302,1,0,0.84,0.416666667,0,0,49.16666667,1,0.6667,"0"
2,3,0,1,12,1,1,0,1,2,55,0,0,0.978723404,0.75,0,0,26.5,1,0.5,"0"
54,1,3,13,56,1419,4,9,54,0.943396226,166,0,1,0,0.140432099,0,0,2.055555556,2,0.9815,"0"
1,4,0,1,6,0,1,0,1,2,42,0,0,1,1,0,0,41,0,0,"0"
1,3,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,"0"
2,1,0,2,3,1,2,0,1,1,62,0,0,0,1,0,0,29,0,0,"0"
54,1,3,13,56,1419,4,9,54,0.943396226,166,0,1,0,0.140432099,0,0,2.055555556,2,0.9815,"0"
8,2,0,12,25,0,6,6,7,0.428571429,152,0.2,2,0.807692308,0.285714286,0,0,17.375,1,0.625,"0"
2,4,0,1,10,0,1,0,2,0,45,1,0,0.983870968,0.75,0,0,21,1,0.5,"0"
1,3,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,"0"
5,2,0,10,14,0,7,3,5,0.25,118,0,0,0.875,0.36,0,0,21.4,1,0.6,"0"
69,1,0,25,70,2326,2,23,67,0.965686275,216,0,0,0,0.105263158,0,0,2.086956522,2,0.9855,"0"
54,1,3,13,56,1411,4,9,54,0.924528302,170,0,1,0,0.140432099,0,0,2.12962963,2,0.9815,"0"
2,4,0,4,17,0,1,3,2,0,220,1,1,0.983870968,0.75,0,0,105.5,1,0.5,"1"
1,4,0,4,10,0,1,3,1,2,138,1,2,1,1,0,0,129,0,0,"1"
7,2,0,10,57,9,0,10,2,0.848484848,609,1,10,0.625,0.4,0,0,84.42857143,40,6.4286,"1"
