"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
0,1,0,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,"0"
5,1,0,1,6,6,1,0,5,0.75,24,1,0,0,0.7,0,0,3.4,1,0.8,"0"
3,2,0,5,11,3,4,1,3,2,33,0,0,0.882352941,0.555555556,1,1,10,1,0.6667,"0"
7,1,0,13,7,21,13,0,7,2,7,0,0,0,0.464285714,0,0,0,1,1,"0"
16,4,0,21,56,78,0,21,14,2,565,0,0,0.788732394,0.3125,0,0,34.3125,5,2.125,"0"
17,1,0,27,25,108,25,4,17,0.90625,158,1,1,0,0.245098039,1,1,7.941176471,7,1.4118,"0"
11,1,0,2,11,55,2,0,11,2,11,0,0,0,0.954545455,0,0,0,1,1,"0"
5,1,0,7,16,6,4,3,5,0.75,79,1,0,0,0.333333333,0,0,14.4,7,2,"0"
1,4,0,1,2,0,1,0,1,2,5,0,0,1,1,0,0,4,0,0,"0"
1,4,0,2,2,0,0,2,1,2,4,0,0,1,1,0,0,3,0,0,"0"
21,1,0,4,25,182,4,0,21,0.95,153,1,0,0,0.210884354,1,1,5.80952381,7,1.2857,"0"
2,4,0,12,14,1,0,12,2,2,31,0,0,0.98245614,0.75,0,0,14.5,1,0.5,"0"
3,1,0,6,22,3,1,5,3,2,129,0,0,0,0.5,0,0,42,17,6,"0"
30,1,0,1,34,389,0,1,29,0.946708464,266,1,0,0,0.433333333,0,0,7.5,3,1.4667,"0"
4,5,0,2,8,6,1,1,4,2,20,0,0,1,0.666666667,0,0,4,0,0,"0"
1,3,0,1,2,0,1,0,1,2,4,0,0,1,1,0,0,3,0,0,"0"
28,1,0,25,92,238,0,25,27,0.920987654,487,0.933333333,7,0,0.140740741,0,0,15.85714286,5,1.25,"0"
5,1,0,11,27,6,0,11,5,0.75,138,1,2,0,0.333333333,0,0,26.2,11,2.8,"0"
5,1,2,4,21,8,2,2,5,0.25,99,1,0,0,0.45,0,0,18.6,1,0.8,"0"
3,1,0,4,7,3,4,0,3,1.5,36,1,0,0,0.5,0,0,10.33333333,2,1.3333,"0"
4,1,0,5,4,6,2,3,4,2,4,0,0,0,0.55,0,0,0,1,1,"0"
10,1,0,7,28,13,0,7,9,0.777777778,121,1,2,0,0.317460317,0,0,10.6,1,0.8,"0"
2,1,0,2,3,1,0,2,2,1,10,1,1,0,0.75,0,0,3.5,1,0.5,"0"
12,1,0,6,12,66,3,3,12,2,12,0,0,0,0.333333333,0,0,0,1,1,"0"
10,1,0,7,28,13,0,7,9,0.777777778,121,1,2,0,0.317460317,0,0,10.6,1,0.8,"0"
2,4,0,5,10,1,0,5,2,2,34,0,0,0.98245614,0.75,0,0,16,1,0.5,"0"
25,1,0,26,99,222,0,26,22,0.936111111,653,1,6,0,0.12745098,0,0,24.52,7,1.88,"0"
8,1,0,3,18,28,0,3,8,2,43,0,0,0,0.4375,0,0,4.375,2,1.125,"0"
6,1,0,5,15,9,0,5,5,0.2,87,1,1,0,0.5,0,0,13.33333333,4,1.6667,"0"
0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,"0"
2,2,0,3,6,1,2,1,2,2,21,0,0,0.9375,0.75,1,1,9.5,3,1.5,"0"
3,1,0,4,3,3,3,1,3,2,3,0,0,0,1,0,0,0,1,1,"0"
6,4,0,13,30,9,0,13,2,0.8,131,1,1,0.936507937,0.466666667,1,3,20.16666667,1,0.6667,"0"
8,1,0,2,26,20,0,2,7,1,127,0.285714286,0,0,0.452380952,0,0,14,4,1.25,"0"
13,1,0,6,35,64,0,6,13,0.9375,254,1,0,0,0.259615385,0,0,17.92307692,2,1,"0"
13,3,0,7,32,40,0,7,11,0.864583333,186,1,1,0.657142857,0.461538462,2,2,12.69230769,4,1.1538,"0"
5,3,0,1,41,2,0,1,2,0.833333333,236,1,0,0.888888889,0.35,1,2,45.6,2,0.8,"0"
3,1,0,6,3,3,6,0,3,2,3,0,0,0,0.666666667,0,0,0,1,1,"0"
4,2,0,2,10,4,0,2,4,0.666666667,53,1,0,0.8125,0.4375,1,1,12,4,1.5,"0"
4,1,0,6,4,6,4,2,4,2,4,0,0,0,1,0,0,0,1,1,"0"
8,1,0,4,15,6,4,0,8,0.80952381,82,1,0,0,0.34375,1,1,8.875,6,1.625,"0"
18,1,0,11,46,79,0,11,18,0.847058824,174,1,4,0,0.194444444,0,0,8.388888889,3,1.1111,"0"
4,5,0,3,8,6,2,1,4,2,20,0,0,1,0.666666667,0,0,4,0,0,"0"
0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,"0"
12,1,0,6,34,0,0,6,11,0.454545455,132,1,1,0,0.238636364,0,0,9.833333333,2,1,"0"
3,1,0,6,22,3,1,5,3,2,129,0,0,0,0.5,0,0,42,17,6,"0"
2,1,0,5,2,1,3,2,2,2,2,0,0,0,1,0,0,0,1,1,"0"
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,"0"
14,2,0,4,21,55,2,2,14,0.846153846,161,0,0,0.409090909,0.476190476,2,2,10.07142857,13,1.7857,"0"
11,2,0,2,30,31,0,2,9,0.8,196,1,0,0.6,0.363636364,0,0,16.36363636,1,0.9091,"0"
4,2,0,4,14,4,0,4,4,0.666666667,68,1,0,0.8125,0.4375,1,1,15.75,4,1.5,"0"
3,1,0,6,22,3,1,5,3,2,129,0,0,0,0.5,0,0,42,17,6,"0"
14,1,7,19,36,65,8,12,11,0.884615385,209,1,2,0,0.214285714,0,0,13.5,3,1.2143,"0"
3,4,0,11,21,3,0,11,3,2,73,0,0,0.965517241,0.833333333,0,0,23.33333333,3,1.3333,"0"
4,3,0,2,8,6,2,0,4,2,20,0,0,1,0.666666667,0,0,4,0,0,"0"
14,1,7,19,36,65,8,12,11,0.884615385,209,1,2,0,0.214285714,0,0,13.5,3,1.2143,"0"
7,1,0,11,33,9,0,11,7,0.791666667,194,1,2,0,0.25,0,0,26.14285714,16,3,"0"
5,1,0,7,16,6,4,3,5,0.75,79,1,0,0,0.333333333,0,0,14.4,7,2,"0"
2,3,0,6,9,1,2,4,1,1,38,1,0,0.956521739,0.666666667,1,1,17.5,3,1.5,"0"
1,4,0,2,2,0,0,2,1,2,4,0,0,1,1,0,0,3,0,0,"0"
55,1,0,74,63,1417,71,3,55,0.98005698,318,1,5,0,0.113286713,1,1,4.309090909,6,1.0909,"0"
5,2,0,6,22,6,0,6,4,0.75,102,1,0,0.8125,0.4375,1,1,19,2,0.8,"0"
4,2,0,6,15,0,4,3,4,0.333333333,75,1,0,0.571428571,0.5,1,1,17.25,1,0.75,"0"
21,1,0,3,24,184,3,0,21,0.95,113,1,0,0,0.357142857,0,0,3.904761905,1,0.9524,"0"
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,"0"
15,1,0,2,19,83,0,2,15,0.928571429,123,1,2,0,0.20952381,1,1,6.733333333,7,1.4,"0"
19,1,0,8,57,77,0,8,18,0.858024691,314,1,2,0,0.277777778,0,0,15.05263158,4,1.2632,"0"
4,2,0,1,10,4,0,1,4,0.666666667,49,1,0,0.8125,0.4375,1,1,11,3,1.25,"0"
4,5,0,2,8,6,1,1,4,2,20,0,0,1,0.666666667,0,0,4,0,0,"0"
14,1,0,15,21,63,14,1,14,0.91025641,112,1,1,0,0.285714286,1,1,6.571428571,6,1.3571,"0"
2,2,0,2,5,1,1,1,2,2,11,0,0,0.9375,0.75,1,1,4.5,1,0.5,"0"
4,3,0,2,8,6,2,0,4,2,20,0,0,1,0.666666667,0,0,4,0,0,"0"
