"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
0,1,0,1,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,"0"
0,1,0,1,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,"0"
4,5,0,2,9,0,0,2,4,0,30,1,0,0.931818182,0.625,1,1,6.25,1,0.75,"0"
4,5,0,2,6,0,0,2,4,0.333333333,22,1,0,0.931818182,0.625,1,1,4.25,1,0.75,"0"
0,1,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,"0"
4,5,0,3,9,0,0,3,4,0.333333333,38,1,0,0.931818182,0.625,2,2,8.25,1,0.75,"0"
6,4,0,10,20,15,0,10,6,2,83,0,0,0.857142857,0.433333333,0,0,12.83333333,1,0.8333,"0"
5,2,0,6,6,6,4,2,5,0.75,24,1,0,0.666666667,0.7,0,0,3.4,1,0.8,"0"
6,4,0,5,12,15,0,5,6,2,34,0,0,0.857142857,0.433333333,0,0,4.666666667,1,0.8333,"0"
12,5,0,4,18,18,0,4,12,0.763636364,100,1,2,0.788461538,0.283333333,1,1,6.916666667,2,1.0833,"0"
11,2,0,9,12,45,6,3,11,0.9,54,0.8,1,0.444444444,0.363636364,0,0,3.454545455,1,0.9091,"0"
11,5,0,4,18,9,0,4,11,0.7,95,1,1,0.807692308,0.340909091,1,1,7.272727273,1,0.9091,"0"
8,1,0,4,17,28,3,1,8,2,88,0,0,0,0.1875,0,0,10,2,1.625,"0"
2,4,4,6,3,1,4,2,2,1,10,1,1,0.975609756,0.75,0,0,3.5,1,0.5,"0"
8,4,0,6,16,28,1,5,8,2,47,0,0,0.810810811,0.333333333,0,0,4.875,1,0.875,"0"
6,4,0,5,12,15,0,5,6,2,34,0,0,0.857142857,0.433333333,0,0,4.666666667,1,0.8333,"0"
2,1,0,1,2,1,1,0,2,2,2,0,0,0,1,0,0,0,1,1,"0"
1,2,0,2,2,0,1,1,1,2,4,0,0,1,1,0,0,3,0,0,"0"
1,2,0,2,2,0,1,1,1,2,4,0,0,1,1,0,0,3,0,0,"0"
1,4,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,"0"
0,1,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,"0"
2,1,0,2,2,1,2,0,2,2,2,0,0,0,1,0,0,0,1,1,"0"
9,1,9,18,10,28,17,1,9,0.875,44,1,0,0,0.481481481,0,0,3.444444444,1,0.8889,"0"
5,1,0,4,10,6,0,4,3,0.916666667,45,1,1,0,0.75,0,0,7.4,2,0.8,"0"
7,5,0,4,14,9,0,4,7,0.666666667,58,1,0,0.872340426,0.642857143,1,1,7,2,1,"0"
3,4,6,8,6,1,6,2,2,0.75,21,1,1,0.975609756,0.75,0,0,5.333333333,1,0.3333,"0"
8,4,0,6,16,28,1,5,8,2,47,0,0,0.810810811,0.333333333,0,0,4.875,1,0.875,"0"
5,1,0,4,10,6,0,4,3,0.916666667,45,1,1,0,0.75,0,0,7.4,2,0.8,"0"
11,5,0,4,18,9,0,4,11,0.7,95,1,1,0.807692308,0.340909091,1,1,7.272727273,1,0.9091,"0"
11,5,0,4,18,9,0,4,11,0.7,95,1,1,0.807692308,0.340909091,1,1,7.272727273,1,0.9091,"0"
8,1,0,4,17,28,3,1,8,2,88,0,0,0,0.1875,0,0,10,2,1.625,"0"
7,2,0,8,10,7,6,2,7,0.666666667,42,1,0,0.571428571,0.476190476,1,1,4.714285714,2,1,"0"
5,5,0,3,12,4,0,3,5,0.5,44,1,0,0.913043478,0.6,1,1,7.6,2,1,"0"
12,5,0,4,18,18,0,4,12,0.763636364,100,1,2,0.788461538,0.283333333,1,1,6.916666667,2,1.0833,"0"
15,2,0,10,16,91,8,2,15,0.928571429,74,0.857142857,0,0.363636364,0.366666667,0,0,3.466666667,1,0.9333,"0"
1,4,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,"0"
9,1,0,9,17,0,7,2,9,0.125,51,1,1,0,0.296296296,0,0,4.555555556,1,0.8889,"0"
9,4,0,6,18,36,1,5,9,2,55,0,0,0.789473684,0.285714286,0,0,5.111111111,1,0.8889,"0"
7,1,0,6,13,0,4,2,7,0.166666667,39,1,1,0,0.342857143,0,0,4.428571429,1,0.8571,"0"
2,4,4,6,3,1,4,2,2,1,10,1,1,0.975609756,0.75,0,0,3.5,1,0.5,"0"
9,1,0,2,9,36,2,0,9,2,9,0,0,0,1,0,0,0,1,1,"0"
9,5,0,4,15,8,0,4,9,0.666666667,68,1,0,0.836734694,0.444444444,1,1,6.222222222,1,0.8889,"0"
9,1,9,18,10,28,17,1,9,0.875,44,1,0,0,0.481481481,0,0,3.444444444,1,0.8889,"0"
1,2,0,2,2,0,1,1,1,2,4,0,0,1,1,0,0,3,0,0,"0"
10,4,0,6,19,45,1,5,10,2,68,0,0,0.769230769,0.285714286,0,0,5.8,2,1,"1"
21,1,0,14,48,110,8,6,21,0.75,181,1,3,0,0.206349206,0,0,7.476190476,3,1.1429,"1"
7,5,0,2,15,3,0,2,7,0.583333333,67,1,0,0.875,0.428571429,1,1,8.285714286,1,0.8571,"1"
13.8986014290713,4.20518954889849,0,6.20518954889849,28.6439087982289,95.2714394801296,0.794810451101512,5.41037909779698,13.8986014290713,1.77596651287455,125.453073691577,0.205189548898488,0.205189548898488,0.733316879310037,0.326145724211653,0.205189548898488,0.205189548898488,6.76792863080748,1.79481045110151,0.992920960563002,"1"
14.5301383633632,2.76450771908276,0,9.29464608244598,30.9430920488667,71.7689994198736,3.88281532214023,5.41183076030575,14.5301383633632,1.48521154961782,114.536875914549,0.411830760305747,1.23549228091724,0.452437876552155,0.253029304761874,0,0,6.49030679814833,2.41183076030575,1.05885061564769,"1"
14.2909734102432,2.82973452447914,0,9.1207079347223,30.3125662633684,70.3557519696187,3.73061944288202,5.39008849184029,14.2909734102432,1.51238938519964,112.079999577953,0.390088491840288,1.17026547552086,0.469162698443645,0.254754881638016,0,0,6.45386261481989,2.39008849184029,1.05574364548398,"1"
16.067048728466,4.31931835412979,0,6.31931835412979,34.0079626441002,123.232996761799,0.680681645870209,5.63863670825958,16.067048728466,1.65135649080135,157.409139156342,0.319318354129791,0.319318354129791,0.713341157624757,0.348634158742799,0.319318354129791,0.319318354129791,7.30630175349454,1.68068164587021,0.988983516782522,"1"
24.6022529366892,4.7685396282468,0,6.7685396282468,55.1213625275996,233.292208920466,0.231460371753201,6.5370792564936,24.6022529366892,1.1608802015769,283.191095909104,0.768539628246799,0.768539628246799,0.634714914857371,0.437150665969038,0.768539628246799,0.768539628246799,9.42538693653562,1.2314603717532,0.973485382825485,"1"
20.3922669177409,4.54696141672321,0,6.54696141672321,44.7071865859907,179.005547097186,0.453038583276793,6.09392283344641,20.3922669177409,1.40280743259396,221.149196682498,0.546961416723207,0.546961416723207,0.673497277258755,0.393489934628882,0.546961416723207,0.546961416723207,8.38014902823013,1.45303858327679,0.981129831123049,"1"
15.0847693069372,2.61324473447166,0,9.6980140414089,32.4053009001072,75.0463640864473,4.23576228623278,5.46225175517611,15.0847693069372,1.42218530602986,120.234448334901,0.462251755176112,1.38675526552834,0.41365249589428,0.249027638470307,0,0,6.57482198954048,2.46225175517611,1.06605577581467,"1"
11.8530832764227,3.49461365188472,0,7.34769692830741,23.8854013651144,55.9500375424977,2.17923481226899,5.16846211603843,11.8530832764227,1.78942235495197,87.0362191123422,0.168462116038427,0.50538634811528,0.639644525932394,0.272344276683641,0,0,6.08237459447042,2.16846211603843,1.02407323638189,"1"
21,1,0,14,48,110,8,6,21,0.75,181,1,3,0,0.206349206,0,0,7.476190476,3,1.1429,"1"
28.4662182126194,4.73310910630971,0,7.467059063958,64.7989909783937,277.989909783937,0.533781787380576,6.93327727657743,28.4662182126194,0.897610181213794,336.85730518843,1,1.13344544684514,0.554556063313133,0.46431583205156,0.933277276577428,0.933277276577428,10.3143341816184,1.13344544684514,0.977336611135164,"1"
21,1,0,14,48,110,8,6,21,0.75,181,1,3,0,0.206349206,0,0,7.476190476,3,1.1429,"1"
21.2281830627471,1.11409153137356,0,13.8003398200963,48.513411891181,115.13411891181,7.77181693725288,6.02852288284339,21.2281830627471,0.754511272277723,185.763321434846,1,2.94295423431322,0.0169483796733798,0.214233199360855,0.0285228828433901,0.0285228828433901,7.56293001465558,2.94295423431322,1.13784004058358,"1"
25.0881228316575,3.04406141582876,0,10.4228925222997,57.1982763712294,201.982763712294,3.91187716834247,6.51101535395719,25.0881228316575,0.830823856847,266.339564110851,1,1.97796929208562,0.303646804754874,0.347598661043325,0.511015353957191,0.511015353957191,9.0302141801094,1.97796929208562,1.05224587620799,"1"
21,1,0,14,48,110,8,6,21,0.75,181,1,3,0,0.206349206,0,0,7.476190476,3,1.1429,"1"
21,1,0,14,48,110,8,6,21,0.75,181,1,3,0,0.206349206,0,0,7.476190476,3,1.1429,"1"
