"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
5,3,0,14,34,2,4,13,3,0.666666667,235,1,2,0.692307692,0.333333333,1,1,45.4,1,0.8,"0"
2,4,0,5,13,1,0,5,1,2,62,0,0,0.9,0.666666667,1,1,30,4,2,"0"
7,1,0,4,16,21,2,2,5,1.166666667,107,0.75,0,0,0.238095238,0,0,13.71428571,5,1.4286,"0"
3,5,0,5,24,3,0,5,3,2,276,0,0,0.933333333,0.5,1,1,91,1,0.6667,"0"
1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,"0"
3,5,0,4,24,3,0,4,3,2,276,0,0,0.931034483,0.5,1,1,91,1,0.6667,"0"
7,1,0,4,16,21,2,2,5,1.166666667,107,0.75,0,0,0.238095238,0,0,13.71428571,5,1.4286,"0"
13,6,0,16,49,38,0,16,10,0.604166667,410,1,0,0.80952381,0.213675214,1,2,30.23076923,2,1,"0"
5,3,0,14,34,2,4,13,3,0.666666667,235,1,2,0.692307692,0.333333333,1,1,45.4,1,0.8,"0"
5,4,0,12,20,6,0,12,3,0.5,88,1,0,0.789473684,0.4,1,1,16.2,1,0.8,"0"
3,5,0,5,24,3,0,5,3,2,276,0,0,0.933333333,0.5,1,1,91,1,0.6667,"0"
7,2,0,11,26,0,0,11,7,0.583333333,141,0,0,0.454545455,0.485714286,0,0,18.85714286,2,1,"0"
3,2,0,10,14,0,0,10,3,0,97,0,0,0.714285714,0.466666667,0,0,31,2,1,"0"
3,5,0,4,24,3,0,4,3,2,276,0,0,0.931034483,0.5,1,1,91,1,0.6667,"0"
3,3,0,13,33,0,2,13,3,0.6,234,1,2,0.818181818,0.444444444,2,2,75.33333333,1,0.6667,"0"
2,5,0,5,12,1,0,5,2,2,43,0,0,0.933333333,0.75,0,0,20.5,1,0.5,"0"
2,4,0,5,13,1,0,5,1,2,62,0,0,0.9,0.666666667,1,1,30,4,2,"0"
14,1,0,7,19,69,7,0,14,0.897435897,81,1,0,0,0.785714286,0,0,4.357142857,1,0.9286,"0"
3,3,0,11,12,1,2,9,3,0.75,45,1,1,0.818181818,0.444444444,0,0,13.33333333,1,0.6667,"0"
3,2,0,24,43,0,0,24,3,0.75,247,1,0,0.714285714,0.428571429,0,0,80.66666667,1,0.6667,"0"
13,6,0,16,49,38,0,16,10,0.604166667,410,1,0,0.80952381,0.213675214,1,2,30.23076923,2,1,"0"
7,2,0,11,26,0,0,11,7,0.583333333,141,0,0,0.454545455,0.485714286,0,0,18.85714286,2,1,"0"
13,6,0,16,49,38,0,16,10,0.604166667,410,1,0,0.80952381,0.213675214,1,2,30.23076923,2,1,"0"
5,3,0,14,34,2,4,13,3,0.666666667,235,1,2,0.692307692,0.333333333,1,1,45.4,1,0.8,"0"
3,5,0,4,24,3,0,4,3,2,276,0,0,0.931034483,0.5,1,1,91,1,0.6667,"0"
2,4,0,5,13,1,0,5,1,2,62,0,0,0.9,0.666666667,1,1,30,4,2,"0"
5,3,0,14,34,2,4,13,3,0.666666667,235,1,2,0.692307692,0.333333333,1,1,45.4,1,0.8,"0"
17,6,0,13,62,88,0,13,9,0.671875,532,1,0,0.76119403,0.25,1,2,30.05882353,17,2.8235,"0"
3,1,0,5,7,1,1,4,3,0.5,23,1,0,0,0.555555556,0,0,6.333333333,2,1,"0"
3,5,0,5,24,3,0,5,3,2,276,0,0,0.933333333,0.5,1,1,91,1,0.6667,"0"
2,5,0,6,12,1,0,6,2,2,43,0,0,0.933333333,0.75,1,1,20.5,1,0.5,"1"
4,1,0,9,24,0,1,8,4,0.5,144,1,0,0,0.5,0,0,34.5,4,1.5,"1"
10,3,0,16,42,37,0,16,5,0.925925926,340,1,1,0.5,0.366666667,1,1,32.4,2,1.1,"1"
7,2,0,15,48,5,2,14,4,0.9375,364,0.5,2,0.454545455,0.371428571,0,0,49.85714286,2,1,"1"
10,2,0,17,38,35,0,17,7,0.722222222,291,1,1,0.384615385,0.37037037,0,0,27.5,1,0.8,"1"
7,1,0,4,16,21,2,2,5,1.166666667,104,0,0,0,0.238095238,0,0,13.71428571,5,1.4286,"1"
7.32134871929884,3.00449423026294,0,13.3168544890359,29.2943833377212,23.6157320570201,0,13.3168544890359,5.32584294956177,1.1500623571864,207.961810298264,0.665168589912355,0.665168589912355,0.568343389269239,0.497482294323951,0.334831410087645,0.334831410087645,25.1561801293865,1,0.699550576973706,"1"
3.76801123237237,1.46397753525525,0,8.65201684855856,22.6080673942342,0.115994383813813,0.884005616186187,7.76801123237237,3.76801123237237,0.67399157572072,132.284567234805,0.884005616186187,0,0.108261424854228,0.528998595953453,0.115994383813813,0.115994383813813,32.8760786266066,3.65201684855856,1.38400561618619,"1"
4.1460423246026,4.19523412827402,0,8.95080819632858,18.9746375549585,10.1206798795611,0,8.95080819632858,3.34127645287663,1.65722935087192,109.527312062681,0.268255290575325,0.268255290575325,0.786136840415364,0.648162343293347,0.731744709424675,0.731744709424675,22.3777870340273,1,0.580476587172598,"1"
6.39974654186517,1.39995775697753,0,12.1996620558202,29.5994085976854,13.9985214942135,0.600042243022472,11.5996198127978,5.19987327093259,0.588879501461682,202.793790275697,1,0.399957756977528,0.153829906683648,0.448153623947373,0,0,31.7002957011573,2.80012672906741,1.22002957011573,"1"
5.86459251213819,1.3107654186897,0,11.4861233495176,28.3507158616558,10.8767896541394,0.689234581310302,10.7968887682073,4.93229625606909,0.569058981861985,189.682516547386,1,0.310765418689698,0.119525161154024,0.459715593758459,0,0,32.3246420691721,3.06770374393091,1.28246420691721,"1"
8.77904253639281,2.5930141787976,0,14.5755496257916,38.3371276091784,29.4707623077556,0.203492910601199,14.3720567151904,4.7965070893988,0.839253019617749,300.115389522165,1,0.796507089398801,0.398253544699401,0.393799055012329,0.796507089398801,0.796507089398801,32.8273351122625,2.4069858212024,1.18139716424048,"1"
10,3,0,16,42,37,0,16,5,0.925925926,340,1,1,0.5,0.366666667,1,1,32.4,2,1.1,"1"
10,2.77085055736825,0,16.2291494426318,41.083402229473,36.5417011147365,0,16.2291494426318,5.4582988852635,0.879247335766377,328.771677311044,1,1,0.473559679784471,0.367515368478124,0.770850557368249,0.770850557368249,31.2771677311044,1.77085055736825,1.03125516721047,"1"
10,3,0,16,42,37,0,16,5,0.925925926,340,1,1,0.5,0.366666667,1,1,32.4,2,1.1,"1"
7,2,0,15,48,5,2,14,4,0.9375,364,0.5,2,0.454545455,0.371428571,0,0,49.85714286,2,1,"1"
7.18011882761493,2.06003960920498,0,15.060039609205,47.6397623447701,6.92126749455929,1.87992078159004,14.12007921841,4.06003960920498,0.93680509712013,362.559049379081,0.530019804602489,1.93996039079502,0.45727452811839,0.371142668144768,0.0600396092049778,0.0600396092049778,48.8090228248501,2,1.0060039609205,"1"
8.67159741045907,2.55719913681969,0,15.5571991368197,44.6568051790819,22.8303723782301,0.885601726360619,15.1143982736394,4.55719913681969,0.931050935957713,350.627220716327,0.778599568409845,1.44280086318031,0.479872688238532,0.368775242201582,0.55719913681969,0.55719913681969,40.13003792707,2,1.05571991368197,"1"
10,2,0,17,38,35,0,17,7,0.722222222,291,1,1,0.384615385,0.37037037,0,0,27.5,1,0.8,"1"
