"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
40,6,0,11,124,648,8,7,4,0.912087912,834,1,0,0.916849015,0.166666667,0,0,19.325,8,1.45,"0"
2,1,0,1,4,1,1,0,1,1,22,0,0,0,1,0,0,9,0,0,"0"
14,6,0,6,52,51,5,5,1,0.79020979,454,1,1,0.969907407,0.357142857,0,0,30.64285714,3,1.5714,"0"
2,1,0,1,4,1,1,0,1,1,22,0,0,0,1,0,0,9,0,0,"0"
18,1,0,9,55,79,4,7,10,0.841911765,373,1,4,0,0.235294118,0,0,18.83333333,4,1.2778,"0"
17,6,0,4,45,94,3,3,4,0.875,396,1,0,0.963218391,0.308823529,0,0,21.52941176,2,1.2941,"0"
2,1,0,1,4,1,1,0,1,1,22,0,0,0,1,0,0,9,0,0,"0"
9,6,0,4,40,20,4,3,3,0.767857143,258,1,0,0.981264637,0.555555556,1,1,26.88888889,2,1.3333,"0"
8,2,0,7,30,0,3,6,5,0.595238095,170,1,6,0.87037037,0.25,1,1,19.5,3,1.375,"0"
2,1,0,1,4,1,1,0,1,1,22,0,0,0,1,0,0,9,0,0,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
8,2,0,7,30,0,3,6,5,0.595238095,170,1,6,0.87037037,0.25,1,1,19.5,3,1.375,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
8,2,0,7,30,0,3,6,5,0.595238095,170,1,6,0.87037037,0.25,1,1,19.5,3,1.375,"0"
17,6,0,4,45,94,3,3,4,0.875,396,1,0,0.963218391,0.308823529,0,0,21.52941176,2,1.2941,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
9,1,0,9,45,0,6,3,8,0.5625,264,1,0,0,0.518518519,0,0,28.11111111,2,1.1111,"1"
101,6,0,25,231,4776,17,23,5,0.973375,3211,0.9875,2,0.813559322,0.109,1,1,30,8,1.6832,"1"
53,2,0,14,42,274,11,3,52,0.907407407,460,1,0,0.037037037,0.261904762,1,1,7.452830189,3,1,"1"
28.6824049791321,1.44732738588937,0,11.2366369294468,43.6580178423319,122.567703733686,8.23663692944683,3,27.6824049791321,0.71678652874719,351.676167634316,1,0,0.0165676809422977,0.403728157897941,0.447327385889366,0.447327385889366,18.8700963086409,2.44732738588937,1.06140192742769,"1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
28,1,0,15,84,48,10,14,8,0.768382353,839,0.294117647,6,0,0.178571429,0,0,28.35714286,6,1.6154,"1"
46.6967578076292,1.74787031230517,0,14.2521296876948,52.589446883183,217.018690580968,10.7478703123052,5.77342656464316,40.9062937414274,0.872355063553223,555.557151636342,0.822026102788816,1.512778126169,0.027698900428048,0.240893954776141,0.747870312305167,0.747870312305167,12.7234280142144,3.7563890630845,1.1551606098074,"1"
28,1,0,15,84,48,10,14,8,0.768382353,839,0.294117647,6,0,0.178571429,0,0,28.35714286,6,1.6154,"1"
52.0045098413248,1.96018039365299,0,14.039819606347,43.6724234665744,265.000768965576,10.960180393653,3.4380156698171,50.2479373207316,0.901871484077348,475.091630805517,0.971892042576239,0.238917638082057,0.0355622367664004,0.258586461484356,0.96018039365299,0.96018039365299,8.28523169051402,3.11945881904103,1.02450498574595,"1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
64.1815509584267,3.47818842181005,0,19.9563768436201,156.858739601215,2391.37497166358,13.4694637905341,18.4607391592581,6.51308694691397,0.869984433870319,2014.65258730669,0.637784070818401,4.01744926255196,0.403230658447206,0.144089207032684,0.495637684362009,0.495637684362009,29.1714047686072,6.99127536872402,1.64900423499974,"1"
79.399295732379,4.19994131103158,0,20.0498386053368,145.947226946242,2750.03394556604,14.2999119665474,13.9997065551579,26.1506895953789,0.943688615257504,1973.00963666197,0.993125183403026,1.09997065551579,0.464112900427035,0.177809386355687,1,1,19.8534427675158,5.74992663878947,1.37574997592419,"1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
