"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
1,4,0,1,5,0,1,0,1,2,24,0,0,1,1,0,0,23,0,0,"0"
6,2,0,14,26,0,6,8,6,0,302,1,0,0.84,0.416666667,0,0,49.16666667,1,0.6667,"0"
7,2,0,4,10,1,2,2,7,0.416666667,98,0,1,0.545454545,0.571428571,1,2,12.71428571,2,0.8571,"0"
6,1,0,3,18,0,1,2,6,0.633333333,148,1,1,0,0.5,0,0,22.66666667,1,0.8333,"0"
1,4,0,1,5,0,1,0,1,2,24,0,0,1,1,0,0,23,0,0,"0"
7,3,0,18,35,21,7,18,3,2,394,0,0,0.880952381,0.428571429,0,0,55.28571429,5,1.7143,"0"
1,4,0,1,6,0,1,0,1,2,42,0,0,1,1,0,0,41,0,0,"0"
1,4,0,1,5,0,1,0,1,2,24,0,0,1,1,0,0,23,0,0,"0"
6,3,0,17,35,15,6,17,6,2,266,0,0,0.902439024,0.444444444,0,0,43.33333333,3,1,"0"
2,4,0,1,10,0,1,0,2,0,45,1,0,0.983870968,0.75,0,0,21,1,0.5,"0"
2,2,0,3,5,1,0,3,2,1,16,0,0,1,0.75,0,0,6.5,0,0,"0"
6,2,0,14,26,0,6,8,6,0,302,1,0,0.84,0.416666667,0,0,49.16666667,1,0.6667,"0"
1,4,0,1,5,0,1,0,1,2,24,0,0,1,1,0,0,23,0,0,"0"
2,4,0,4,17,0,1,3,2,0,220,1,1,0.983870968,0.75,0,0,105.5,1,0.5,"1"
7,2,0,10,57,9,0,10,2,0.848484848,609,1,10,0.625,0.4,0,0,84.42857143,40,6.4286,"1"
2,4,0,3,23,0,1,2,2,0.2,139,1,2,0.983870968,0.75,0,0,66,1,0.5,"1"
1,4,0,1,5,0,1,0,1,2,24,0,0,1,1,0,0,23,0,0,"1"
1.83948514587246,4,0,4,15.8763960211072,0,1,3,1.83948514587246,0.321029708255082,206.837781961542,1,1.16051485412754,0.986459917218698,0.790128713531885,0,0,109.272099071997,0.839485145872459,0.419742572936229,"1"
2,4,0,3.9456910523586,17.3258536858484,0,1,2.9456910523586,2,0.0108617895282805,215.600975241046,1,1.0543089476414,0.983870968,0.75,0,0,103.354796568165,1,0.5,"1"
1,4,0,4,10,0,1,3,1,2,138,1,2,1,1,0,0,129,0,0,"1"
7,2,0,10,57,9,0,10,2,0.848484848,609,1,10,0.625,0.4,0,0,84.42857143,40,6.4286,"1"
4.52053879015148,2.82648706994951,0,7.52053879015148,37.5775538561866,5.28080818522722,0.413243534974754,7.10729525517672,1.58675646502525,1.32434103998947,414.362295026891,1,6.69405172020197,0.779966325615533,0.647946120984852,0,0,102.847426131142,23.4702586010098,3.7720226110613,"1"
6.09237125655636,2.36305149737746,0,8.72931975917891,50.8281245445833,7.36626826180145,0.181525748688728,8.54779401049018,2,0.730768150453504,523.682898116298,1,8.54779401049018,0.690144321148848,0.463534012041055,0,0,81.0833112039056,32.9204958011396,5.35240644632401,"1"
1.64826726447791,4,0,3.35173273552209,18.4274744382128,0,1,2.35173273552209,1.64826726447791,0.833118923939764,138.648267264478,1,2,0.989544076546683,0.837933183880523,0,0,88.1591623378918,0.648267264477909,0.324133632238954,"1"
1.12864373996854,4,0,1.25728747993708,7.31558731943369,0,1,0.257287479937077,1.12864373996854,1.76844126805663,38.7940300963819,0.128643739968538,0.257287479937077,0.997925101001448,0.967839065007865,0,0,28.5316808186471,0.128643739968538,0.0643218699842691,"1"
1,4,0,2.8152491429355,8.02541523822583,0,1,1.8152491429355,1,2,92.979467431549,0.605083047645167,1.21016609529033,1,1,0,0,87.1388030503877,0,0,"1"
1.34677582327276,4,0,3.91330604418181,10.7802456023637,0,1,2.91330604418181,1.34677582327276,1.86995906627271,137.479836265091,0.913306044181809,1.91330604418181,0.994664987294253,0.952318324299995,0,0,119.983828594908,0.0866939558181912,0.0693551646545529,"1"
2.41493688523769,4,0,3,22.4467508196831,0,1,2,2.41493688523769,0.241493688523769,138.031813934445,0.861687704920769,1.86168770492077,0.97759028551846,0.708506311476231,0,0,60.3291959017515,1,0.541493688523769,"1"
