"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
7,1,0,4,15,5,4,0,7,0.25,97,1,0,0,0.371428571,1,1,12.57142857,4,1.1429,"1"
8,1,0,2,24,0,2,1,4,0.642857143,235,1,0,0,0.375,0,0,27.625,1,0.875,"1"
2,2,0,4,4,1,0,4,2,2,11,0,0,0.944444444,0.75,0,0,4.5,1,0.5,"1"
0,1,0,9,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,"1"
12,1,0,0,25,48,0,0,12,0.787878788,159,1,0,0,0.333333333,0,0,12,1,0.8333,"1"
6,1,0,6,6,15,2,5,6,2,6,0,0,0,0.5,0,0,0,1,1,"1"
8,1,0,7,8,28,5,2,8,2,8,0,0,0,0.339285714,0,0,0,1,1,"1"
0,1,0,9,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,"1"
7,1,0,2,8,15,1,2,6,0.833333333,34,1,2,0,0.357142857,0,0,3.428571429,1,0.8571,"1"
8,1,0,2,24,0,2,1,4,0.642857143,235,1,0,0,0.375,0,0,27.625,1,0.875,"1"
27,1,3,13,122,283,7,9,11,0.880769231,1394,1,1,0,0.190883191,0,0,50.25925926,2,1.037,"1"
6,1,0,6,6,15,2,5,6,2,6,0,0,0,0.5,0,0,0,1,1,"1"
27,1,3,13,122,283,7,9,11,0.880769231,1394,1,1,0,0.190883191,0,0,50.25925926,2,1.037,"1"
6,1,0,6,6,15,2,5,6,2,6,0,0,0,0.5,0,0,0,1,1,"1"
6,1,0,8,7,9,8,0,6,0.4,43,1,0,0,0.433333333,0,0,5.666666667,1,0.5,"1"
4,1,0,7,21,0,1,6,4,0.333333333,96,1,0,0,0.583333333,0,0,22.5,1,0.75,"1"
2,2,0,2,4,1,0,2,2,2,25,0,0,0.944444444,1,0,0,11.5,1,0.5,"1"
7,1,0,5,24,9,3,4,7,0,202,1,1,0,0.428571429,0,0,27.71428571,1,0.8571,"1"
7,1,0,4,15,5,4,0,7,0.25,97,1,0,0,0.371428571,1,1,12.57142857,4,1.1429,"1"
0,1,0,9,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,"1"
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,"0"
1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,"0"
3,4,0,3,6,3,2,1,3,2,18,0,0,1,0.777777778,0,0,5,0,0,"0"
3,1,0,0,17,3,0,0,3,2,75,0,0,0,0.5,0,0,24,1,0.6667,"0"
3,3,1,7,6,3,7,0,3,2,18,0,0,1,0.777777778,0,0,5,0,0,"0"
6,1,0,3,7,3,2,1,6,0.6,34,1,0,0,0.555555556,0,0,4.333333333,1,0.6667,"0"
1,1,0,4.83141429908574,1,0,4.7471214486286,0.0842928504571319,1,2,1,0,0,0,1,0,0,0,1,1,"0"
1.91846894053742,1,0,1.62229658919387,8.34775152429938,1.37770341080613,1.08153105946258,0.540765529731289,1.91846894053742,2,34.9833507998846,0,0,0,0.770382764865644,0,0,11.0216272864491,1,0.846937151059438,"0"
1.61757857352495,1,0,3.45605356618762,5.94062858819962,0.926367860287428,3.45605356618762,0,1.61757857352495,2,23.8504072204232,0,0,0,0.845605356618762,0,0,7.41094288229942,1,0.897080530722067,"0"
1.25631458731368,1.38447188097052,0,4.74368541268632,1.6407864682842,0.384471880970523,4.61552811902948,0.128157293656841,1.25631458731368,2,3.1786739921663,0,0,0.128157293656841,0.97152060143807,0,0,0.640786468284205,0.871842706343159,0.871842706343159,"0"
3,4,0,3,6,3,2,1,3,2,18,0,0,1,0.777777778,0,0,5,0,0,"0"
3,3.53484257380478,0,2.53484257380478,7.70557722938247,3,1.68989504920319,0.844947524601594,3,2,26.8379910977092,0,0,0.844947524601594,0.734707645910431,0,0,7.94599703256972,0.155052475398406,0.103373485348118,"0"
3,1,0,0,17,3,0,0,3,2,75,0,0,0,0.5,0,0,24,1,0.6667,"0"
3,1,0,0,17,3,0,0,3,2,75,0,0,0,0.5,0,0,24,1,0.6667,"0"
1.23397174337879,1.23397174337879,0.116985871689394,5.23397174337879,1.58492935844697,0.350957615068182,5.23397174337879,0,1.23397174337879,2,2.9887598187197,0,0,0.116985871689394,0.974003139650576,0,0,0.584929358446971,0.883014128310606,0.883014128310606,"0"
3,2.13502402650192,0.567512013250962,3.97258409275673,10.7573678542394,3,3.97258409275673,0,3,2,42.6518152446952,0,0,0.567512013250962,0.657642226029159,0,0,13.2172717482317,0.432487986749038,0.288339740765584,"0"
4.85314847482368,1,0,1.85314847482368,10.8228384172544,3,1.23543231654912,0.617716158274561,4.85314847482368,1.13519737841561,49.673637510743,0.617716158274561,0,0,0.534317564623127,0,0,11.8515822203944,1,0.6667,"0"
5.67013118346222,1.32986881653778,0,3,6.89004372782074,3,2,1,5.67013118346222,0.753938781050965,32.2406996451318,0.890043727820739,0,0.109956272179261,0.579990283126512,0,0,4.40663751448949,0.890043727820739,0.593392153338087,"0"
