"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
18,1,0,8,91,123,0,8,3,0.806722689,1400,0.857142857,0,0,0.141176471,0,0,76,7,2.1111,"0"
16,3,0,3,38,84,1,2,16,0.674074074,541,1,2,0.580645161,0.25,2,8,32.25,1,0.8125,"0"
6,2,0,1,12,0,1,0,6,0,62,1,0,0.5,0.458333333,1,1,9,1,0.8333,"0"
7,4,0,11,32,0,0,11,6,0.666666667,189,1,1,0.928571429,0.342857143,1,1,25.42857143,3,1.1429,"0"
28,3,0,44,96,286,32,13,22,0.592592593,1047,0.5,1,0.545454545,0.126984127,2,5,36.32142857,15,2.5357,"0"
4,1,0,3,23,4,1,2,1,0.333333333,174,1,0,0,0.583333333,0,0,42,3,1.25,"0"
1,4,0,1,3,0,1,0,1,2,6,0,0,1,1,0,0,5,0,0,"0"
5,3,0,7,19,4,4,4,4,0.75,151,0,0,0.902439024,0.4,1,1,28.8,1,0.8,"0"
4,3,0,3,17,4,0,3,3,0.666666667,152,1,0,0.925,0.75,1,1,36.75,1,0.75,"0"
14,1,0,8,19,45,8,0,14,0.576923077,138,1,0,0,0.371428571,0,0,8.571428571,3,0.9286,"0"
6,2,0,3,11,13,2,1,6,0.8,68,1,0,0.924242424,0.444444444,1,5,10.16666667,3,1.5,"0"
11,3,0,11,38,0,0,11,11,0.7,250,1,1,0.787234043,0.454545455,1,1,21.36363636,2,1.4545,"0"
1,1,0,2,1,0,2,0,0,2,2064,0,0,0,0,0,0,2052,0,0,"0"
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,"0"
7,1,0,2,8,0,2,0,1,0.5,1082,0,0,0,0.666666667,0,0,153.2857143,2,0.8571,"0"
6,1,0,5,6,15,4,1,6,2,6,0,0,0,0.444444444,0,0,0,1,1,"0"
4,2,0,1,11,0,0,1,1,0.222222222,68,1,1,0.625,0.5,1,1,15.25,2,1,"0"
1,1,0,3,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,"0"
11,3,0,14,37,19,1,13,9,0.75,317,1,1,0.787234043,0.327272727,1,1,27.27272727,21,3,"0"
12,1,0,3,22,44,1,2,5,0.805194805,156,1,1,0,0.261904762,0,0,11.41666667,4,1.25,"0"
20,3,0,10,60,114,5,6,14,0.605263158,557,1,0,0.612244898,0.264285714,1,1,26.65,9,2.8,"0"
5,1,0,2,7,4,2,0,0,0.5,39,1,0,0,0.7,0,0,6.2,1,0.6,"0"
10,4,0,17,36,3,5,12,10,0.583333333,253,1,2,0.795454545,0.266666667,1,3,23.9,7,2.3,"0"
11,1,0,4,34,0,3,1,1,0.785714286,312,1,0,0,0.85,0,0,26.09090909,3,1.7273,"0"
1,2,0,9,3,0,6,3,1,2,14,0,0,1,1,0,0,13,0,0,"0"
0,1,0,1,0,0,1,0,0,2,24,0,0,0,0,0,0,0,0,0,"0"
4,3,0,3,17,4,0,3,3,0.666666667,152,1,0,0.925,0.75,1,1,36.75,1,0.75,"0"
4,2,0,4,13,0,1,3,4,0.333333333,89,1,0,0.75,0.5,0,0,20.75,1,0.75,"0"
16,3,0,13,48,58,1,13,12,0.786666667,480,1,2,0.711538462,0.25,2,2,28.375,4,1.4375,"0"
8,4,0,12,65,2,0,12,6,0.916666667,583,0.166666667,0,0.917647059,0.333333333,3,3,70.375,3,1.25,"0"
4,1,0,2,7,6,1,1,4,2,20,0,0,0,0.875,0,0,4,1,0.75,"0"
36,3,11,35,84,0,11,24,35,0.485714286,302,1,1,0.513888889,0.0875,2,2,7.333333333,6,1.1944,"0"
36,3,1,19,106,272,4,15,26,0.862857143,712,1,3,0.513888889,0.175,0,0,18.36111111,12,1.3889,"0"
8,5,0,9,29,0,1,8,5,0.571428571,187,1,0,0.823529412,0.375,2,5,22,4,1.125,"0"
2,2,0,10,9,1,6,4,2,2,31,0,0,0.923076923,0.666666667,0,0,14.5,1,0.5,"0"
4,1,0,2,5,6,1,1,4,2,16,0,0,0,0.875,0,0,3,1,0.75,"0"
13,1,0,14,23,68,12,2,12,0.697916667,357,1,0,0,0.708333333,0,0,25.84615385,44,4.0769,"0"
1,6,1,3,2,0,2,1,1,2,4,0,0,1,1,0,0,3,0,0,"0"
5,1,0,13,5,10,13,0,5,2,5,0,0,0,0.533333333,0,0,0,1,1,"0"
15,4,0,243,27,0,242,1,15,0.392857143,157,1,1,0.619047619,0.322222222,1,3,9.333333333,2,0.6667,"0"
