"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
12,1,0,11,52,0,4,8,10,0.090909091,519,1,0,0,0.285714286,0,0,42.16666667,3,1.3333,"0"
12,1,0,11,18,16,10,1,10,0.636363636,84,1,0,0,0.181818182,0,0,5.666666667,2,0.9167,"0"
1,1,0,0,2,0,0,0,1,2,40,0,0,0,1,0,0,3,0,0,"0"
38,1,0,14,38,703,8,9,38,2,38,0,0,0,0.242105263,0,0,0,1,1,"0"
8,2,0,3,19,2,2,1,8,0.571428571,247,1,0,0.695652174,0.583333333,1,1,29.625,8,2.125,"0"
1,1,0,0,2,0,0,0,1,2,40,0,0,0,1,0,0,3,0,0,"0"
3,2,0,6,20,3,1,5,2,1.4,100,1,0,0.666666667,0.666666667,0,0,30.66666667,1,0.3333,"0"
19,1,0,5,26,37,5,0,18,0.763888889,322,1,0,0,0.333333333,1,1,15.52631579,18,2.3158,"0"
8,2,0,3,18,2,2,1,8,0.666666667,246,0.666666667,0,0.695652174,0.583333333,1,1,29.375,7,2,"0"
2,5,0,4,8,1,2,3,1,1.5,37,1,0,1,1,0,0,16.5,0,0,"0"
3,1,0,2,6,3,0,2,1,1.5,17,1,0,0,0.666666667,0,0,4,1,0.6667,"0"
2,5,0,4,8,1,2,3,1,1.5,37,1,0,1,1,0,0,16.5,0,0,"0"
12,1,0,11,18,16,10,1,10,0.636363636,84,1,0,0,0.181818182,0,0,5.666666667,2,0.9167,"0"
8,2,0,3,17,2,2,1,8,0.571428571,205,1,0,0.695652174,0.583333333,1,1,24.375,7,2,"0"
8,2,0,2,21,2,1,1,8,0.714285714,234,0.666666667,1,0.695652174,0.583333333,1,1,27.875,8,2.375,"0"
12,1,0,11,18,16,10,1,10,0.636363636,84,1,0,0,0.181818182,0,0,5.666666667,2,0.9167,"0"
8,1,0,6,18,16,3,3,7,0.571428571,75,1,0,0,0.166666667,0,0,8.25,2,1.375,"0"
8,2,0,2,17,2,1,1,8,0.571428571,162,1,0,0.695652174,0.583333333,1,1,19,8,2.375,"0"
10,1,0,9,57,0,4,5,9,0.111111111,510,1,0,0,0.425,0,0,49.9,3,1.1,"1"
36,1,0,11,45,214,11,0,34,0.747252747,774,0.923076923,0,0,0.331428571,1,1,20.13888889,52,2.9444,"1"
11,5,0,9,80,41,5,8,1,0.813043478,829,1,1,0.979035639,0.381818182,0,0,72.27272727,7,2,"1"
6,6,0,10,34,11,6,9,2,0.988888889,261,0.111111111,1,0.990825688,0.5,0,0,39.5,1,0.6667,"1"
84,5,0,44,313,3022,34,44,5,0.880120482,5924,0.95,5,0.849090909,0.201058201,0,0,68.57142857,49,2.5119,"1"
20,6,0,14,92,110,9,12,1,0.694736842,965,0.6,4,0.966442953,0.176923077,0,0,46.25,8,1.4,"1"
43,1,0,13,91,447,8,5,40,0.795918367,1347,0.928571429,0,0,0.214285714,1,1,30,62,3.2326,"1"
57,5,0,34,246,1180,22,34,3,0.823376623,4020,0.909090909,6,0.89292543,0.189083821,0,0,68.56140351,72,2.9474,"1"
74,5,0,45,281,2097,32,45,5,0.866728581,4908,0.86440678,6,0.864814815,0.198198198,0,0,64.52702703,16,2.2973,"1"
69,5,0,45,262,1916,33,45,2,0.835294118,4327,0.890909091,7,0.872897196,0.201288245,0,0,60.91304348,37,2.4638,"1"
24,1,0,16,70,102,10,7,23,0.739130435,796,1,0,0,0.191666667,1,1,31.91666667,25,2.5,"1"
23.2597197731957,1,0,10.019978444092,50.8801293354481,109.137693517841,7.56992455432191,2.45005388977006,21.7497305511497,0.435536489054702,644.637154620141,0.960770059803386,0,0,0.377279579718559,0.509989222045988,0.509989222045988,34.7221540977869,27.9894718802534,2.04062412114162,"1"
28,1,0,19,83,172,12,9,24,0.782407407,800,1,0,0,0.178571429,1,1,27.28571429,23,2.5357,"1"
34.7701564952731,1,0,12.2298435047269,50.8417566474527,207.543321600184,11.1537304380909,1.38357394281775,32.4626956190914,0.752657088282735,777.996991390362,0.934902341326507,0,0,0.307929775595023,1,1,21.2375734897009,47.541817295365,2.88157036995227,"1"
21.5169715359807,3.31728455424309,0,9.84135772287846,65.276239849627,113.777443028986,7.52407316863537,4.63456910848618,14.8824024274945,0.785366708189665,805.862662620842,0.967640087549238,0.579321138560772,0.567176041077053,0.360620337816154,0.420678861439228,0.420678861439228,50.3411234978449,25.9305487647653,2.39728911674321,"1"
25.3626367973629,4.12863623606972,0,12.2514544944279,72.5319988774136,150.801548031392,9.74854550557211,6.88299971935339,13.3510008419398,0.745495515294467,814.672271068906,0.720918889332858,2.50290898885578,0.604729688570006,0.233821393350278,0.374272752786055,0.374272752786055,33.8838477932383,23.8422738753725,1.991229684319,"1"
24.1225428166799,1.88124026893638,0,17.4137675159145,74.3638453644235,143.624063340249,10.9425116772763,9,20.1225428166799,0.818799366345613,705.002299008658,0.843335063280616,0.176248053787276,0.174631099152439,0.235222589070375,0.823751946212724,0.823751946212724,29.4384583747892,19.1225428166799,2.20629238747158,"1"
22.9326044539921,1,0,8.4870393180754,47.0103685455397,106.445282813627,5.97407863615081,2.5129606819246,21.435196590377,0.427532963119362,622.719766948139,0.961737856606732,0,0,0.3784568354057,0.497407863615081,0.497407863615081,33.2369983993397,27.372985317139,2.01741906365165,"1"
24.6269560800865,1,0,13.0971731401514,56.0156486406922,136.583038840909,9.4702170600649,4.78369510010816,23.1567390200216,0.773411265282299,617.855628324673,0.894592377502704,0,0,0.232257298612887,1,1,23.6717386579073,27.2163048998918,2.43535194338257,"1"
24.5883223935962,3.13229850400239,0,16.8677014959976,86.8381373072043,145.55949855037,10.7206208975986,10.2793791024014,14.191426881589,0.745019444081091,870.365850632079,0.829416119679809,1.70583880320191,0.412148972577111,0.177868473299266,0.573540299199522,0.573540299199522,35.3732178997814,16.6031044879928,2.0513697178009,"1"
33.1294519868679,1,0,16.9482192052528,85.7357077263296,266.039953092579,10.6321461368352,7.63214613683522,29.4714154526591,0.787027661707766,987.054015787784,0.975574038304328,0,0,0.190784409676855,1,1,28.2139008385391,36.3365751658566,2.77401433930988,"1"
44.5337357097305,3.28051527030766,0,27.5519322636537,175.930997265037,746.68984811753,17.7012881757692,23.2532204394229,12.0272948308848,0.805765137675133,2635.81479259767,0.948170107441178,3.42077290546149,0.509082519590258,0.184564846620865,0.429871182423085,0.429871182423085,50.8181741796708,50.9363120612688,2.77042203419642,"1"
67.3099759770557,4.41825878061354,0,41.218682073988,252.20380964037,1817.03703817027,29.0912939030677,39.7643290255219,7.76327079208568,0.854465305354286,4310.55176769011,0.884126821285834,5.12738817092031,0.739040208744606,0.195343772867331,0.145435304846615,0.145435304846615,59.11082535877,17.0180471339263,2.33197177667543,"1"
67.6309934654273,4.83405981399119,0,43.5895084189251,252.997744909022,1845.39245085325,32.0873289769515,43.1331729074009,3.32752148807049,0.831641717629947,4179.60362977767,0.892243575006395,6.70960467448458,0.836685015232298,0.206687122475922,0.0414850465022027,0.0414850465022027,59.2215257807458,37.622275697533,2.48373771334896,"1"
