"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
13,3,0,12,26,48,10,3,12,0.633333333,242,1,1,0.545454545,0.222222222,1,1,17.23076923,6,1.5385,"0"
12,5,0,3,25,66,0,0,12,2,67,0,0,0.917910448,0.472222222,1,1,4.583333333,1,0.9167,"0"
18,2,0,25,85,133,2,0,6,0.781512605,568,1,1,0.272727273,0.31372549,1,3,30.16666667,11,2.0556,"0"
19,4,0,12,57,125,3,12,15,0.833333333,326,1,0,0.772151899,0.342105263,1,1,15.84210526,3,1.0526,"0"
13,4,0,3,33,68,0,3,12,0.833333333,184,1,0,0.803278689,0.487179487,0,0,12.76923077,3,1.0769,"0"
103,1,0,47,260,4423,21,33,71,0.903313049,3559,1,6,0,0.098039216,1,1,33.27184466,26,2.5631,"0"
15,1,0,6,31,89,2,0,15,0.107142857,133,1,1,0,0.333333333,0,0,7.733333333,2,1,"0"
4,4,0,9,37,0,0,9,4,0,190,1,0,0.953125,0.625,3,5,46.25,1,0.75,"0"
3,2,3,7,8,1,3,4,2,0.5,28,1,1,0.857142857,0.583333333,0,0,8,1,0.6667,"0"
19,2,2,7,45,129,3,4,15,0.817460317,311,1,0,0.513513514,0.315789474,0,0,15,8,1.4211,"0"
15,2,0,11,39,0,1,0,15,0.547619048,217,1,2,0.735849057,0.222222222,1,2,13.26666667,3,1.2,"0"
22,1,1,22,72,121,14,9,22,0.87755102,469,1,1,0,0.166666667,0,0,20,8,1.8182,"0"
10,1,0,2,12,25,1,1,10,0.805555556,53,1,0,0,0.7,0,0,3.9,1,0.9,"0"
13,1,0,28,13,78,24,9,13,2,13,0,0,0,0.185897436,0,0,0,1,1,"0"
2,1,0,10,2,1,10,1,2,2,2,0,0,0,0.666666667,0,0,0,1,1,"0"
9,1,6,11,12,28,6,0,9,0.75,45,1,1,0,0.333333333,0,0,3.777777778,1,0.7778,"0"
6,1,0,4,6,15,4,0,6,2,6,0,0,0,0.75,0,0,0,1,1,"0"
10,1,0,2,12,25,1,1,10,0.805555556,53,1,0,0,0.7,0,0,3.9,1,0.9,"0"
5,1,0,9,8,0,8,2,5,0.5,30,1,1,0,0.466666667,0,0,4.6,1,0.8,"0"
2,1,0,10,2,1,10,1,2,2,2,0,0,0,0.666666667,0,0,0,1,1,"0"
4,2,0,5,6,4,1,4,2,0.666666667,21,1,1,0.5,0.5,0,0,4,1,0.5,"0"
3,1,0,2,4,1,2,0,3,0.5,14,1,0,0,0.666666667,0,0,3.333333333,1,0.6667,"0"
3,1,0,4,13,0,1,3,3,0.5,60,1,4,0,0.666666667,0,0,17.66666667,3,1.3333,"0"
13,2,0,10,33,52,6,4,13,0.333333333,206,1,2,0.45,0.282051282,1,1,14.69230769,5,1.1538,"0"
2,3,0,4,3,0,1,4,2,1,17,0.5,1,0.928571429,0.6,0,0,6.5,1,0.5,"0"
5,2,1,4,9,10,3,1,5,2,31,0,0,0.75,0.5,1,2,5.2,1,0.6,"0"
