"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
4,2,0,15,22,6,2,13,1,2,119,0,0,0.857142857,0.4375,1,1,28.75,1,0.75,"0"
6,1,3,29,14,7,29,1,6,0.6,49,1,1,0,0.583333333,0,0,6.833333333,1,0.8333,"0"
11,1,0,2,14,49,2,1,11,0.8,50,1,1,0,0.454545455,0,0,3.363636364,1,0.9091,"0"
4,1,0,3,5,0,2,1,3,0.111111111,94,1,0,0,0.5,0,0,21.75,4,2.5,"0"
11,1,0,3,16,55,2,1,9,2,456,0,0,0,0.363636364,0,0,40.45454545,6,3.5455,"0"
7,1,0,36,7,21,36,0,7,2,7,0,0,0,0.523809524,0,0,0,1,1,"0"
8,1,0,15,32,0,8,9,3,0.766233766,351,0,1,0,0.375,0,0,41.5,1,0.375,"0"
4,3,0,8,12,0,2,6,4,0.625,182,1,1,0.833333333,0.325,1,4,42.5,12,3.5,"0"
3,6,0,4,34,1,1,3,1,0.5,370,1,0,0.996987952,1,2,4,118,5,2.6667,"0"
12,7,0,12,92,28,4,11,2,0.843434343,1013,0.888888889,1,0.983433735,0.214285714,0,0,81.91666667,9,2.6667,"0"
46,1,0,44,89,869,39,7,29,0.898412698,2089,0.071428571,2,0,0.084444444,1,1,44.10869565,14,2.587,"0"
8,2,0,7,19,26,3,4,6,0.857142857,72,0,0,0.872727273,0.333333333,0,0,7.875,2,1,"0"
7,6,0,7,32,11,4,6,0,0.777777778,137,1,3,0.99086758,0.285714286,0,0,18.14285714,1,0.8571,"0"
5,7,0,5,52,2,1,4,4,0.642857143,380,1,0,0.99391172,0.4,0,0,73.6,6,2.6,"0"
6,2,0,16,45,15,3,13,6,2,280,0,0,0.782608696,0.229166667,1,1,45.66666667,1,0.8333,"0"
2,8,0,8,24,1,2,8,2,2,126,0,0,0.998835856,0.75,3,4,62,9,4.5,"0"
5,3,0,8,13,4,4,4,4,0.833333333,47,0.333333333,0,0.666666667,0.5,1,1,7.8,1,0.6,"0"
1,1,0,13,1,0,13,0,0,2,672,0,0,0,0,0,0,540,0,0,"0"
5,6,0,7,34,2,3,6,1,0.8,202,1,2,0.99389313,0.35,0,0,38.4,1,0.8,"0"
12,2,0,4,29,40,1,4,8,0.838383838,216,1,2,0.541666667,0.319444444,1,2,16.25,5,1.9167,"0"
