"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
33,1,0,3,74,0,2,0,26,0.604166667,764,1,1,0,0.232323232,0,0,22.06060606,4,1.6667,"0"
10,1,0,10,43,0,3,0,6,0.481481481,257,1,3,0,0.35,0,0,24.4,3,1.3,"0"
8,2,0,0,20,0,0,0,8,0,223,1,1,0.5,0.65625,0,0,26.625,5,1.625,"0"
3,3,0,4,7,3,1,0,3,1.5,17,1,0,0.933333333,0.555555556,1,1,4.333333333,1,0.6667,"0"
7,1,0,1,11,7,1,0,6,0.5,39,1,0,0,0.571428571,0,0,4.285714286,1,0.8571,"0"
3,3,0,3,13,3,0,0,3,2,95,0,0,0.954545455,0.555555556,1,3,30.66666667,1,0.6667,"0"
8,1,0,4,35,12,2,0,6,0.666666667,204,1,2,0,0.285714286,0,0,23.75,3,1.625,"0"
2,1,0,4,14,1,2,0,2,2,87,0,0,0,0.6,0,0,42.5,4,2,"0"
11,1,0,13,11,55,11,0,11,2,11,0,0,0,0.290909091,0,0,0,1,1,"0"
32,2,0,11,85,296,3,0,28,0.666666667,865,1,0,0.691489362,0.193548387,1,15,25.84375,12,1.75,"0"
13,1,0,16,13,78,14,0,13,2,13,0,0,0,0.292307692,0,0,0,1,1,"0"
11,2,0,3,28,47,1,0,11,0.4,177,1,0,0.785714286,0.472727273,1,2,14.90909091,1,0.2727,"0"
2,2,0,7,8,0,3,0,2,0,44,1,0,0.916666667,0.833333333,0,0,20,1,0.5,"0"
11,1,0,13,11,55,11,0,11,2,11,0,0,0,0.290909091,0,0,0,1,1,"0"
1,1,0,2,2,0,2,0,1,2,21,0,0,0,1,0,0,3,0,0,"0"
3,3,0,2,7,0,2,0,3,0,24,1,0,0.909090909,0.666666667,2,2,6.666666667,1,0.6667,"0"
26,1,0,7,66,0,1,0,23,0.544,923,1,1,0,0.217142857,0,0,34.30769231,6,2.3077,"0"
17,2,4,0,31,130,0,0,15,0.5625,161,1,0,0.25,0.234375,0,0,8.352941176,1,0.8824,"0"
25,1,11,19,41,272,17,0,25,0.986979167,206,0.5625,2,0,0.133333333,0,0,6.6,3,1.04,"0"
8,1,1,0,9,22,0,0,7,0.714285714,20,1,1,0,0.2,0,0,1.375,1,0.75,"0"
43,1,0,17,159,567,3,0,24,0.774603175,2409,1,3,0,0.223214286,0,0,54.6744186,22,3.8372,"0"
28,2,0,25,88,230,8,0,26,0.864197531,674,1,1,0.726315789,0.24691358,1,4,22.75,10,1.5,"0"
8,5,0,2,16,0,0,0,8,0.571428571,107,1,0,0.906666667,0.6875,1,1,12,1,0.875,"0"
3,1,0,1,11,0,1,0,3,0.166666667,67,1,0,0,0.666666667,0,0,20.33333333,3,1.6667,"0"
7,2,0,0,32,21,0,0,7,2,163,0,0,0.538461538,0.904761905,1,1,22.28571429,3,1.2857,"0"
2,2,0,5,10,1,2,0,2,2,36,0,0,0.916666667,0.666666667,1,1,17,1,0.5,"0"
5,2,0,12,6,4,11,0,5,0.5,45,1,1,0.4,0.5,0,0,7.4,1,0.6,"0"
21,1,0,7,71,122,3,0,14,0.853846154,1068,1,2,0,0.166666667,0,0,49.23809524,14,3.7143,"0"
11,1,0,2,30,5,1,0,9,0.6,581,0,1,0,0.272727273,0,0,51.36363636,6,1.5455,"0"
38,1,0,7,85,0,5,0,36,0.067567568,540,1,2,0,0.254826255,0,0,13.15789474,3,1.7632,"0"
3,1,0,3,5,1,3,0,2,0.5,128,1,0,0,0.75,0,0,41.33333333,3,1,"0"
