"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
2.309566100128,1,0.309566100127995,0.309566100127995,3.309566100128,1.61913220025599,0.309566100127995,0,2.309566100128,1,18.833037299104,1,0,0,0.724202825092522,0,0,6.10695254942402,1,0.551604668891337,"0"
2,1,0,0,3,1,0,0,2,1,21,1,0,0,0.75,0,0,7.5,1,0.5,"0"
3,1,1,1,4,3,1,0,3,1,14,1,0,0,0.666666667,0,0,3,1,0.6667,"0"
3,1,1,1,4,3,1,0,3,1,14,1,0,0,0.666666667,0,0,3,1,0.6667,"0"
2.309566100128,1,0.309566100127995,0.309566100127995,3.309566100128,1.61913220025599,0.309566100127995,0,2.309566100128,1,18.833037299104,1,0,0,0.724202825092522,0,0,6.10695254942402,1,0.551604668891337,"0"
8,6,0,6,65,8,4,5,1,0.728571429,432,0.9,1,0.98405467,0.583333333,0,0,51.75,1,0.875,"0"
2,2,0,2,15,0,1,1,2,0,103,0,0,0.666666667,0.75,1,1,50,2,1,"0"
2,2,0,2,15,0,1,1,2,0,103,0,0,0.666666667,0.75,1,1,50,2,1,"0"
3,1,1,1,4,3,1,0,3,1,14,1,0,0,0.666666667,0,0,3,1,0.6667,"0"
2.51751587027684,1.48248412972316,0,2,12.9299365188926,0.517515870276839,1,1,2.51751587027684,0.258757935138419,84.8869445403107,0.517515870276839,0,0.321656086642936,0.706873677649435,0.482484129723161,0.482484129723161,35.1645450503389,2.51751587027684,1.17248803956327,"0"
3,1,1,1,4,3,1,0,3,1,14,1,0,0,0.666666667,0,0,3,1,0.6667,"0"
2,2,0,2,15,0,1,1,2,0,103,0,0,0.666666667,0.75,1,1,50,2,1,"0"
2,2,0,2,15,0,1,1,2,0,103,0,0,0.666666667,0.75,1,1,50,2,1,"0"
3,1,0,2,11,1,1,1,3,0.5,68,1,0,0,0.666666667,0,0,21.33333333,3,1.3333,"0"
2.28303546877578,1.70758867193945,0,0.424553203163669,5.83035468775779,1.70758867193945,0.283035468775779,0.283035468775779,1.85848226561211,0.952827421917876,30.4816882039886,1,0,0.140541749973761,0.714620566403028,0,0,9.37510998063954,1,0.535379433596972,"0"
3,1,0,2,11,1,1,1,3,0.5,68,1,0,0,0.666666667,0,0,21.33333333,3,1.3333,"0"
2,1,0,0,3,1,0,0,2,1,21,1,0,0,0.75,0,0,7.5,1,0.5,"0"
2.28303546877578,1.70758867193945,0,0.424553203163669,5.83035468775779,1.70758867193945,0.283035468775779,0.283035468775779,1.85848226561211,0.952827421917876,30.4816882039886,1,0,0.140541749973761,0.714620566403028,0,0,9.37510998063954,1,0.535379433596972,"0"
8,6,0,6,65,8,4,5,1,0.728571429,432,0.9,1,0.98405467,0.583333333,0,0,51.75,1,0.875,"0"
