"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
1,1,0,16,1,0,16,0,1,2,1,0,0,0,1,0,0,0,1,1,"0"
2,3,0,10,3,0,10,0,2,1,13,0.5,0,0.944444444,0.75,0,0,4.5,1,0.5,"0"
2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,"0"
14,1,0,2,14,91,1,1,14,2,14,0,0,0,0.5,0,0,0,1,1,"0"
0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,"0"
15,4,1,9,26,57,6,4,14,0.821428571,200,0.875,3,0.848837209,0.383333333,2,6,11.8,2,1.5333,"0"
8,2,0,3,22,0,1,2,6,0.619047619,109,1,1,0.7,0.3,1,1,12.25,1,0.75,"0"
9,4,0,3,12,36,0,3,9,2,50,0,0,0.911111111,0.555555556,1,5,4.555555556,1,0.8889,"0"
7,1,0,1,9,13,1,0,6,1.083333333,720,1,0,0,0.25,0,0,100.1428571,11,3.5714,"0"
2,2,0,8,14,1,1,8,1,2,140,0,0,0.75,0.571428571,2,2,69,1,0.5,"0"
9,2,0,7,23,0,2,5,2,0.375,147,1,1,0.533333333,0.355555556,1,2,15.11111111,2,0.8889,"0"
3,4,0,2,6,3,1,2,3,2,17,0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,"0"
9,4,0,2,12,36,0,2,9,2,50,0,0,0.921568627,0.555555556,0,0,4.555555556,1,0.8889,"0"
5,1,0,2,14,0,1,1,4,1.24380805,1114,0.009287926,0,0,0.5,0,0,157.2,9,2.2,"0"
7,4,0,2,11,21,0,2,7,2,43,0,0,0.94,0.571428571,0,0,5.142857143,1,0.8571,"0"
4,4,0,2,6,6,1,2,4,1.333333333,16,0,0,0.975308642,0.625,2,5,2.75,1,0.5,"0"
24,1,6,10,39,234,7,9,0,1.023550725,268,0,1,0,0.195652174,0,0,9.166666667,2,0.9583,"0"
22,1,0,0,43,127,0,0,20,0.698412698,161,0,3,0,0.15034965,0,0,6.181818182,2,0.9545,"0"
4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,"0"
3,4,0,3,6,3,1,2,3,2,17,0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,"0"
7,2,0,7,27,15,1,6,6,0.740740741,393,1,1,0.444444444,0.333333333,1,1,53.85714286,1,0.7143,"0"
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,"0"
8,1,0,2,8,28,1,1,8,2,8,0,0,0,0.75,0,0,0,1,1,"0"
3,2,0,5,4,1,4,1,3,0.5,16,1,0,0.8,0.666666667,0,0,4,1,0.6667,"0"
11,4,0,3,14,55,0,3,11,2,61,0,0,0.891304348,0.545454545,1,6,4.545454545,1,0.9091,"0"
17,1,1,0,37,136,0,0,16,2,254,0,0,0,0.308823529,0,0,13.94117647,1,0.9412,"0"
6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.75,0,0,0,1,1,"0"
21,1,0,6,35,68,1,5,12,0.677272727,1458,0.727272727,4,0,0.271428571,0,0,67.9047619,24,4.7619,"0"
4,3,0,5,11,0,1,5,1,0.666666667,74,0.5,0,0.94,0.5,2,12,17,2,1,"0"
7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,"0"
12,1,0,0,12,66,0,0,12,2,12,0,0,0,0.75,0,0,0,1,1,"0"
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,"0"
4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,"0"
2,3,0,6,4,1,6,0,2,2,9,0,0,1,0.75,0,0,3.5,0,0,"0"
4,1,0,0,4,6,0,0,4,2,4,0,0,0,1,0,0,0,1,1,"0"
2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,"0"
55,1,3,10,125,811,3,7,36,0.787654321,1901,0.933333333,3,0,0.127272727,0,0,33.29090909,13,2.9273,"0"
4,3,0,5,15,0,1,5,1,0.666666667,95,0.5,0,0.946428571,0.5,2,17,22.25,2,1,"0"
23,4,0,3,26,253,0,3,23,2,127,0,0,0.788461538,0.52173913,1,6,4.52173913,1,0.9565,"0"
8,2,0,2,32,10,1,2,7,1.040816327,223,0.214285714,0,0.588235294,0.46875,1,1,25.125,6,1.5,"0"
6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.75,0,0,0,1,1,"0"
3,4,0,2,6,3,0,2,3,2,17,0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,"0"
9,1,4,8,11,20,6,2,0,0.825,77,1,3,0,0.518518519,0,0,7,1,0.8889,"0"
0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,"0"
8,1,0,6,17,4,3,3,8,0.653061224,184,1,2,0,0.303571429,0,0,21.125,2,1.5,"0"
49,1,2,22,121,622,2,20,22,0.915719697,1192,1,11,0,0.113888889,0,0,22.87755102,3,1.0408,"0"
10,1,0,0,10,45,0,0,10,2,10,0,0,0,0.75,0,0,0,1,1,"0"
3,3,1,3,4,3,2,2,3,1.5,13,0,0,0.964285714,0.555555556,1,4,3,1,0.6667,"0"
7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,"0"
11,1,0,0,11,55,0,0,11,2,11,0,0,0,0.348484848,0,0,0,1,1,"0"
3,4,0,2,6,3,0,2,3,2,17,0,0,0.979166667,0.5,0,0,4.666666667,1,0.6667,"0"
9,1,4,8,11,20,6,2,0,0.825,77,1,3,0,0.518518519,0,0,7,1,0.8889,"0"
1,1,0,7,2,0,7,0,1,2,12,0,0,0,1,0,0,3,0,0,"0"
16,2,0,5,35,112,1,4,10,2,261,0,0,0.788732394,0.21875,1,10,15.3125,6,1.9375,"0"
11,4,0,3,14,55,0,3,11,2,61,0,0,0.891304348,0.545454545,1,6,4.545454545,1,0.9091,"0"
9,1,6,10,12,0,6,4,5,0.65,183,1,3,0,0.466666667,0,0,18.22222222,2,0.8889,"0"
5,1,0,10,5,10,6,4,5,2,5,0,0,0,0.4,0,0,0,1,1,"0"
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,"0"
9,1,6,10,12,0,6,4,5,0.65,183,1,3,0,0.466666667,0,0,18.22222222,2,0.8889,"0"
14,4,0,5,29,91,2,4,12,1,172,1,1,0.878504673,0.357142857,0,0,11.21428571,4,1.7857,"0"
12,1,0,0,12,66,0,0,12,2,12,0,0,0,0.75,0,0,0,1,1,"0"
5,1,0,4,5,10,3,1,5,2,5,0,0,0,0.4,0,0,0,1,1,"0"
23,4,0,3,32,253,0,3,23,2,149,0,0,0.810344828,0.295652174,1,3,5.47826087,3,1.1304,"0"
0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,"0"
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,"0"
32,3,7,16,77,236,8,11,14,0.650537634,1240,0.833333333,3,0.625,0.180555556,2,25,37.5625,11,2.3438,"0"
38,4,0,3,49,703,0,3,38,2,229,0,0,0.717557252,0.294736842,1,3,5.026315789,3,1.0789,"0"
14,1,0,0,14,91,0,0,14,2,14,0,0,0,0.5,0,0,0,1,1,"0"
1,4,1,0,2,0,0,0,1,2,11,0,0,1,1,0,0,7,0,0,"0"
10,1,0,0,15,37,0,0,10,0.777777778,64,1,0,0,0.375,0,0,5,1,0.8,"0"
41,2,0,13,77,280,2,11,35,0.903947368,1231,1,10,0.487179487,0.306620209,1,7,28.56097561,3,1.1951,"0"
5,1,0,3,14,0,2,1,4,1.185483871,236,0.064516129,0,0,0.5,0,0,40,9,2.2,"0"
30,1,0,0,88,177,0,0,24,0.882032668,887,0.736842105,9,0,0.126666667,0,0,27.93333333,4,1.2333,"0"
4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,"0"
2,3,0,9,4,1,9,0,2,2,9,0,0,1,0.75,0,0,3.5,0,0,"0"
3,3,0,4,6,0,1,4,1,0.75,40,0.5,0,0.960784314,0.555555556,2,13,11.66666667,1,0.6667,"0"
2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,"0"
13,4,0,3,16,78,0,3,13,2,72,0,0,0.872340426,0.538461538,1,7,4.538461538,1,0.9231,"0"
4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,"0"
2,3,0,8,4,1,8,0,2,2,9,0,0,1,0.75,0,0,3.5,0,0,"0"
3,5,0,4,6,0,1,4,1,0.75,44,0.5,0,0.969230769,0.555555556,3,22,13,2,1,"0"
3,1,0,7,3,3,7,0,3,2,3,0,0,0,0.666666667,0,0,0,1,1,"0"
10,2,0,7,35,35,1,6,6,0.673611111,686,1,3,0.333333333,0.233333333,0,0,66,1,0.8,"0"
8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.75,0,0,0,1,1,"0"
5,1,0,4,9,0,3,1,5,0.166666667,233,1,1,0,0.533333333,0,0,45,4,1.4,"0"
1,1,0,0,1,0,0,0,1,2,17,0,0,0,1,0,0,0,1,1,"0"
9,4,0,3,12,36,0,3,9,2,50,0,0,0.911111111,0.555555556,1,6,4.555555556,1,0.8889,"0"
3,4,0,2,7,3,0,2,3,2,19,0,0,0.979166667,0.666666667,0,0,5.333333333,1,0.6667,"0"
8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.75,0,0,0,1,1,"0"
9,4,0,3,12,36,0,3,9,2,50,0,0,0.911111111,0.555555556,1,5,4.555555556,1,0.8889,"0"
6,3,3,0,10,0,0,0,6,0,54,1,0,0.85,0.555555556,1,2,7.833333333,3,1,"0"
8,1,0,1,14,0,1,0,5,0.142857143,574,0,0,0,0.520833333,0,0,70.375,8,5.625,"0"
4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,"0"
7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,"0"
2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,"0"
7,2,1,5,10,9,3,3,7,0.944444444,76,0.666666667,0,0.88,0.571428571,1,3,9.428571429,3,1.7143,"0"
1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,"0"
3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.555555556,0,0,0,1,1,"0"
5,1,0,0,5,10,0,0,5,2,5,0,0,0,0.7,0,0,0,1,1,"0"
11,3,35,39,20,55,36,4,7,2,93,0,0,0.87804878,0.436363636,2,3,7.454545455,3,1.2727,"0"
3,4,0,4,7,0,1,4,1,0.75,33,0.5,0,0.966101695,0.555555556,2,7,9.333333333,1,0.6667,"0"
5,4,0,2,10,10,0,2,5,2,52,0,0,0.959183673,0.6,0,0,9.4,3,1.6,"0"
