"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
2.717606808,1,0,1.70598298,18.17606808,0,0.70598298,1,1.858803404,0.282393192,63.69264849,0.858803404,0,0,0.618309599,0,0,20.03874609,1.858803404,1.286239175,"0"
10.98742506,1.998742506,0,20.98113759,39.95095772,0,1.005029977,20.97485011,7.99119754,0.551823367,208.7384412,0.998742506,1.997485011,0.946177111,0.174592971,0,0,17.61418601,4.994970023,1.907956812,"0"
10.98742506,1.998742506,0,20.98113759,39.95095772,0,1.005029977,20.97485011,7.99119754,0.551823367,208.7384412,0.998742506,1.997485011,0.946177111,0.174592971,0,0,17.61418601,4.994970023,1.907956812,"0"
1.626252762,1.062625276,0,6.939379142,3.44238577,0,4.749498895,2.252505523,1.438376933,1.90919335,14.02605744,0.062625276,0.125250552,0.059329209,0.948243573,0,0,1.104482143,1.250501105,1.056932639,"0"
10.98742506,1.998742506,0,20.98113759,39.95095772,0,1.005029977,20.97485011,7.99119754,0.551823367,208.7384412,0.998742506,1.997485011,0.946177111,0.174592971,0,0,17.61418601,4.994970023,1.907956812,"0"
2.717606808,1,0,1.70598298,18.17606808,0,0.70598298,1,1.858803404,0.282393192,63.69264849,0.858803404,0,0,0.618309599,0,0,20.03874609,1.858803404,1.286239175,"0"
3,1,0,1,21,0,0,1,2,0,74,1,0,0,0.555555556,0,0,23.33333333,2,1.3333,"0"
1.626252762,1.062625276,0,6.939379142,3.44238577,0,4.749498895,2.252505523,1.438376933,1.90919335,14.02605744,0.062625276,0.125250552,0.059329209,0.948243573,0,0,1.104482143,1.250501105,1.056932639,"0"
2.717606808,1,0,1.70598298,18.17606808,0,0.70598298,1,1.858803404,0.282393192,63.69264849,0.858803404,0,0,0.618309599,0,0,20.03874609,1.858803404,1.286239175,"0"
9.226829531,1.778353691,0,16.56707383,35.78872014,0,0.778353691,16.56707383,6.670122148,0.42809453,179.0777483,1,1.556707383,0.737387708,0.258223016,0,0,18.89907594,4.335061074,1.781476055,"0"
1.626252762,1.062625276,0,6.939379142,3.44238577,0,4.749498895,2.252505523,1.438376933,1.90919335,14.02605744,0.062625276,0.125250552,0.059329209,0.948243573,0,0,1.104482143,1.250501105,1.056932639,"0"
1.626252762,1.062625276,0,6.939379142,3.44238577,0,4.749498895,2.252505523,1.438376933,1.90919335,14.02605744,0.062625276,0.125250552,0.059329209,0.948243573,0,0,1.104482143,1.250501105,1.056932639,"0"
2.717606808,1,0,1.70598298,18.17606808,0,0.70598298,1,1.858803404,0.282393192,63.69264849,0.858803404,0,0,0.618309599,0,0,20.03874609,1.858803404,1.286239175,"0"
9.226829531,1.778353691,0,16.56707383,35.78872014,0,0.778353691,16.56707383,6.670122148,0.42809453,179.0777483,1,1.556707383,0.737387708,0.258223016,0,0,18.89907594,4.335061074,1.781476055,"0"
3,1,0,1,21,0,0,1,2,0,74,1,0,0,0.555555556,0,0,23.33333333,2,1.3333,"0"
1.626252762,1.062625276,0,6.939379142,3.44238577,0,4.749498895,2.252505523,1.438376933,1.90919335,14.02605744,0.062625276,0.125250552,0.059329209,0.948243573,0,0,1.104482143,1.250501105,1.056932639,"0"
10.98742506,1.998742506,0,20.98113759,39.95095772,0,1.005029977,20.97485011,7.99119754,0.551823367,208.7384412,0.998742506,1.997485011,0.946177111,0.174592971,0,0,17.61418601,4.994970023,1.907956812,"0"
9.226829531,1.778353691,0,16.56707383,35.78872014,0,0.778353691,16.56707383,6.670122148,0.42809453,179.0777483,1,1.556707383,0.737387708,0.258223016,0,0,18.89907594,4.335061074,1.781476055,"0"
9.226829531,1.778353691,0,16.56707383,35.78872014,0,0.778353691,16.56707383,6.670122148,0.42809453,179.0777483,1,1.556707383,0.737387708,0.258223016,0,0,18.89907594,4.335061074,1.781476055,"0"
3,1,0,1,21,0,0,1,2,0,74,1,0,0,0.555555556,0,0,23.33333333,2,1.3333,"0"
23,1,0,7,32,183,7,0,22,0.890909091,205,1,0,0,0.405797101,0,0,7.47826087,6,1.1739,"1"
5,4,0,7,28,0,0,7,5,0.666666667,156,1,0,0.951219512,0.533333333,2,2,29.6,1,0.8,"1"
13,2,0,14,72,34,2,14,9,0.604166667,419,0.875,2,0.727272727,0.240384615,0,0,30.61538462,5,2.2308,"1"
7,1,0,7,30,11,3,6,5,0.666666667,218,1,0,0,0.2,0,0,29.85714286,7,2.1429,"1"
5,4,0,7,28,0,0,7,5,0.666666667,156,1,0,0.951219512,0.533333333,2,2,29.6,1,0.8,"1"
10.0573356957175,3.15711071738042,0,7,29.1238523768261,51.4162462397944,1.96674165944569,5.03325834055431,9.77637260151096,0.729670512299412,169.76719161612,1,0,0.683961934638857,0.497500358633839,1.43807381158695,1.43807381158695,23.3846077248056,2.40481547103263,0.90505210092382,"1"
8.94225911796093,1,0,7,30.2427823897451,31.87928551808,3.48556477949023,5.27165283076465,7.06365031283349,0.693887722790479,216.421914466657,1,0,0,0.224981955991699,0,0,27.1405436353219,6.87860880512744,2.02527193216849,"1"
9.44899887032807,2.88775028241798,0,10.8928740115371,52.4694937868044,18.9082451988943,1.11224971758202,10.8928740115371,7.22449943516403,0.631908863325562,302.260837862035,0.930484392651124,1.11224971758202,0.826677137815175,0.370417268569243,0.887750282417983,0.887750282417983,30.1646806284161,3.22449943516403,1.59570344795818,"1"
11.7821749262512,2.30445626843721,0,12.9344030604698,65.3019620943815,28.8242434365675,1.69554373156279,12.9344030604698,8.39108746312559,0.613680925388663,378.964000700507,0.894028516777325,1.69554373156279,0.761363728244805,0.284979651762872,0.304456268437207,0.304456268437207,30.4608145137831,4.39108746312559,2.01299198556002,"1"
10.9752043765038,1.66253406275064,0,11.6377384392545,57.8264306355268,26.2382834432647,2.33746593724936,11.3002725020051,7.65013625100255,0.625258288078085,351.169346612878,0.91718324215617,1.32506812550128,0.481842954547045,0.22675618304857,0,0,30.3595038538,5.67493187449872,2.20113674411578,"1"
13,2,0,14,72,34,2,14,9,0.604166667,419,0.875,2,0.727272727,0.240384615,0,0,30.61538462,5,2.2308,"1"
7,1,0,7,30,11,3,6,5,0.666666667,218,1,0,0,0.2,0,0,29.85714286,7,2.1429,"1"
7,1,0,7,30,11,3,6,5,0.666666667,218,1,0,0,0.2,0,0,29.85714286,7,2.1429,"1"
6.86587903788313,1.2011814431753,0,7,29.8658790378831,10.2623347083572,2.7988185568247,6.06706048105843,5,0.666666667,213.842250174377,1,0,0.0637892380668885,0.222353493663791,0.134120962116867,0.134120962116867,29.8398987361077,6.5976371136494,2.05284447998663,"1"
6.26646997127682,2.10029504308477,0,7,29.2664699712768,6.96558484202251,1.89970495691523,6.36676501436159,5,0.666666667,195.260569109581,1,0,0.348874037979705,0.322255004664942,0.73353002872318,0.73353002872318,29.7628318552591,4.79940991383046,1.65037126221382,"1"
