"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
17,6,0,4,45,94,3,3,4,0.875,396,1,0,0.963218391,0.308823529,0,0,21.52941176,2,1.2941,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
14,6,0,6,52,51,5,5,1,0.79020979,454,1,1,0.969907407,0.357142857,0,0,30.64285714,3,1.5714,"0"
18,1,0,9,55,79,4,7,10,0.841911765,373,1,4,0,0.235294118,0,0,18.83333333,4,1.2778,"0"
18,1,0,9,55,79,4,7,10,0.841911765,373,1,4,0,0.235294118,0,0,18.83333333,4,1.2778,"0"
18,1,0,9,55,79,4,7,10,0.841911765,373,1,4,0,0.235294118,0,0,18.83333333,4,1.2778,"0"
17,6,0,4,45,94,3,3,4,0.875,396,1,0,0.963218391,0.308823529,0,0,21.52941176,2,1.2941,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
17,6,0,4,45,94,3,3,4,0.875,396,1,0,0.963218391,0.308823529,0,0,21.52941176,2,1.2941,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
2,1,0,1,4,1,1,0,1,1,22,0,0,0,1,0,0,9,0,0,"0"
17,6,0,4,45,94,3,3,4,0.875,396,1,0,0.963218391,0.308823529,0,0,21.52941176,2,1.2941,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
2,1,0,1,4,1,1,0,1,1,22,0,0,0,1,0,0,9,0,0,"0"
17,6,0,4,45,94,3,3,4,0.875,396,1,0,0.963218391,0.308823529,0,0,21.52941176,2,1.2941,"0"
18,1,0,9,55,79,4,7,10,0.841911765,373,1,4,0,0.235294118,0,0,18.83333333,4,1.2778,"0"
2,1,0,1,4,1,1,0,1,1,22,0,0,0,1,0,0,9,0,0,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
2,1,0,1,4,1,1,0,1,1,22,0,0,0,1,0,0,9,0,0,"0"
9,6,0,4,40,20,4,3,3,0.767857143,258,1,0,0.981264637,0.555555556,1,1,26.88888889,2,1.3333,"0"
9,6,0,4,40,20,4,3,3,0.767857143,258,1,0,0.981264637,0.555555556,1,1,26.88888889,2,1.3333,"0"
8,2,0,7,30,0,3,6,5,0.595238095,170,1,6,0.87037037,0.25,1,1,19.5,3,1.375,"0"
14,6,0,6,52,51,5,5,1,0.79020979,454,1,1,0.969907407,0.357142857,0,0,30.64285714,3,1.5714,"0"
14,6,0,6,52,51,5,5,1,0.79020979,454,1,1,0.969907407,0.357142857,0,0,30.64285714,3,1.5714,"0"
2,1,0,1,4,1,1,0,1,1,22,0,0,0,1,0,0,9,0,0,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
2,1,0,1,4,1,1,0,1,1,22,0,0,0,1,0,0,9,0,0,"0"
40,6,0,11,124,648,8,7,4,0.912087912,834,1,0,0.916849015,0.166666667,0,0,19.325,8,1.45,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
9,6,0,4,40,20,4,3,3,0.767857143,258,1,0,0.981264637,0.555555556,1,1,26.88888889,2,1.3333,"0"
18,1,0,9,55,79,4,7,10,0.841911765,373,1,4,0,0.235294118,0,0,18.83333333,4,1.2778,"0"
17,6,0,4,45,94,3,3,4,0.875,396,1,0,0.963218391,0.308823529,0,0,21.52941176,2,1.2941,"0"
8,2,0,7,30,0,3,6,5,0.595238095,170,1,6,0.87037037,0.25,1,1,19.5,3,1.375,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,"0"
9,1,0,9,45,0,6,3,8,0.5625,264,1,0,0,0.518518519,0,0,28.11111111,2,1.1111,"1"
101,6,0,25,231,4776,17,23,5,0.973375,3211,0.9875,2,0.813559322,0.109,1,1,30,8,1.6832,"1"
53,2,0,14,42,274,11,3,52,0.907407407,460,1,0,0.037037037,0.261904762,1,1,7.452830189,3,1,"1"
28.68240498,1.447327386,0,11.23663693,43.65801784,122.5677037,8.236636929,3,27.68240498,0.716786529,351.6761676,1,0,0.016567681,0.403728158,0.447327386,0.447327386,18.87009631,2.447327386,1.061401927,"1"
46.69675781,1.747870312,0,14.25212969,52.58944688,217.0186906,10.74787031,5.773426565,40.90629374,0.872355064,555.5571516,0.822026103,1.512778126,0.0276989,0.240893955,0.747870312,0.747870312,12.72342801,3.756389063,1.15516061,"1"
