"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
10,1,0,7,28,9,6,3,9,0.87962963,251,0,1,0,0.3,0,0,22.9,6,2.4,"0"
3,1,0,5,3,3,5,0,3,2,3,0,0,0,0.666666667,0,0,0,1,1,"0"
2,2,0,2,9,1,1,1,1,2,30,0,0,0.666666667,0.75,1,1,14,1,0.5,"0"
2,2,0,2,13,1,1,1,1,2,50,0,0,0.666666667,0.75,1,1,24,3,1.5,"0"
2,1,0,5,7,1,1,4,1,2,34,0,0,0,0.5,0,0,16,1,0.5,"0"
3,1,0,5,3,3,5,0,3,2,3,0,0,0,0.666666667,0,0,0,1,1,"0"
2,2,0,2,13,1,1,1,1,2,50,0,0,0.666666667,0.75,1,1,24,3,1.5,"0"
2,2,0,2,9,1,1,1,1,2,30,0,0,0.666666667,0.75,1,1,14,1,0.5,"0"
6,1,0,3,12,0,2,1,6,0.7,155,0,0,0,0.416666667,0,0,24.5,2,1.1667,"0"
6,1,0,3,12,0,2,1,6,0.7,155,0,0,0,0.416666667,0,0,24.5,2,1.1667,"0"
2,2,0,2,9,1,1,1,1,2,30,0,0,0.666666667,0.75,1,1,14,1,0.5,"0"
2,1,0,5,7,1,1,4,1,2,34,0,0,0,0.5,0,0,16,1,0.5,"0"
11,1,0,9,25,0,5,4,8,0.766666667,176,0,0,0,0.5,0,0,14.72727273,4,2,"0"
4,5,0,6,19,4,2,4,3,0.555555556,262,0,1,0.993617021,0.5625,0,0,63.75,2,1,"1"
4,1,0,4,21,6,4,0,2,2,123,0,0,0,0.25,0,0,29.75,6,3,"1"
11,5,0,8,56,0,1,7,7,0.6,512,0,2,0.979035639,0.285714286,0,0,45.27272727,7,2.6364,"1"
7,1,0,5,28,1,1,4,4,0.5,247,1,2,0,0.476190476,0,0,34,7,2.5714,"1"
3,1,0,2,28,0,1,1,3,0.45,630,0,0,0,1,0,0,205.6666667,1,0.6667,"1"
6,1,0,10,34,15,5,5,4,2,376,0,0,0,0.404761905,0,0,61.66666667,23,4.5,"1"
2,5,0,8,15,0,1,7,1,1,515,0.25,1,0.998095238,0.666666667,0,0,254.5,2,1,"1"
3,5,0,2,20,1,1,1,3,0.5,174,0,0,0.995735608,0.444444444,0,0,56.66666667,1,0.6667,"1"
10.3456481336616,4.12753084488213,0,6.47317897854373,51.8557715131901,4.79858035314828,1,5.47317897854373,7,0.619734421261896,476.010647351388,0,1.56376542244107,0.765491039802847,0.299736111644932,0,0,44.4770948876607,5.6912962673232,2.25220820754385,"1"
7.64658856601454,1,0,2.41364573594183,33.8192970941309,14.5783598863054,1,1.41364573594183,5.93976569804363,0.623159726552014,311.658856601454,0.353411433985457,0.706822867970914,0,0.394597157078467,0,0,38.9302378158609,3.12046860391274,1.47452715661293,"1"
7.22311721881852,1,0,2.16532417177223,25.7351996728685,14.6196135787759,1.77688278118148,0.388441390590742,6.22311721881852,0.694175632000122,266.981073538307,0,0,0,0.332735938368608,0,0,34.0665779427166,1.38844139059074,0.98830835363532,"1"
7.15130315464921,1,0,1.16973936907016,35.4723456783686,18.2657338804565,1,0.169739369070157,6.32104252371937,0.649657913233005,395.036241446855,0,0,0,0.460330589895602,0,0,69.4693290068751,1,0.839643289422686,"1"
4.987307515461,1,0,6.96192254638299,27.4174988504965,10.4428838195745,4.4936537577305,2.46826878865249,2.987307515461,2,247.894400705816,0,0,0,0.32639879595678,0,0,45.5057824358773,14.3921138814185,3.74048063659575,"1"
3.75295892497525,1.49408215004951,0,4.49408215004951,20.2588767749257,5.25887677492574,3.62943838746287,0.864643762586638,1.87647946248762,1.87647946248762,171.420050704852,0.0308801343780942,0.123520537512377,0.123285260286304,0.301466890671331,0,0,57.5112408059067,5.50591784995049,2.75295892497525,"1"
