wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
8,1,0,2,24,0,2,1,4,0.642857143,235,1,0,0,0.375,0,0,27.625,1,0.875,1
2,2,0,4,4,1,0,4,2,2,11,0,0,0.944444444,0.75,0,0,4.5,1,0.5,1
0,1,0,9,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1
12,1,0,0,25,48,0,0,12,0.787878788,159,1,0,0,0.333333333,0,0,12,1,0.8333,1
6,1,0,6,6,15,2,5,6,2,6,0,0,0,0.5,0,0,0,1,1,1
8,1,0,7,8,28,5,2,8,2,8,0,0,0,0.339285714,0,0,0,1,1,1
0,1,0,9,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1
7,1,0,2,8,15,1,2,6,0.833333333,34,1,2,0,0.357142857,0,0,3.428571429,1,0.8571,1
8,1,0,2,24,0,2,1,4,0.642857143,235,1,0,0,0.375,0,0,27.625,1,0.875,1
27,1,3,13,122,283,7,9,11,0.880769231,1394,1,1,0,0.190883191,0,0,50.25925926,2,1.037,1
6,1,0,6,6,15,2,5,6,2,6,0,0,0,0.5,0,0,0,1,1,1
27,1,3,13,122,283,7,9,11,0.880769231,1394,1,1,0,0.190883191,0,0,50.25925926,2,1.037,1
6,1,0,6,6,15,2,5,6,2,6,0,0,0,0.5,0,0,0,1,1,1
6,1,0,8,7,9,8,0,6,0.4,43,1,0,0,0.433333333,0,0,5.666666667,1,0.5,1
4,1,0,7,21,0,1,6,4,0.333333333,96,1,0,0,0.583333333,0,0,22.5,1,0.75,1
2,2,0,2,4,1,0,2,2,2,25,0,0,0.944444444,1,0,0,11.5,1,0.5,1
7,1,0,5,24,9,3,4,7,0,202,1,1,0,0.428571429,0,0,27.71428571,1,0.8571,1
0,1,0,9,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,4,0,3,6,3,2,1,3,2,18,0,0,1,0.777777778,0,0,5,0,0,0
3,1,0,0,17,3,0,0,3,2,75,0,0,0,0.5,0,0,24,1,0.6667,0
3,3,1,7,6,3,7,0,3,2,18,0,0,1,0.777777778,0,0,5,0,0,0
6,1,0,3,7,3,2,1,6,0.6,34,1,0,0,0.555555556,0,0,4.333333333,1,0.6667,0
1,1,0,4.831414299,1,0,4.747121449,0.08429285,1,2,1,0,0,0,1,0,0,0,1,1,0
1.918468941,1,0,1.622296589,8.347751524,1.377703411,1.081531059,0.54076553,1.918468941,2,34.9833508,0,0,0,0.770382765,0,0,11.02162729,1,0.846937151,0
1.617578574,1,0,3.456053566,5.940628588,0.92636786,3.456053566,0,1.617578574,2,23.85040722,0,0,0,0.845605357,0,0,7.410942882,1,0.897080531,0
1.256314587,1.384471881,0,4.743685413,1.640786468,0.384471881,4.615528119,0.128157294,1.256314587,2,3.178673992,0,0,0.128157294,0.971520601,0,0,0.640786468,0.871842706,0.871842706,0
3,4,0,3,6,3,2,1,3,2,18,0,0,1,0.777777778,0,0,5,0,0,0
3,3.534842574,0,2.534842574,7.705577229,3,1.689895049,0.844947525,3,2,26.8379911,0,0,0.844947525,0.734707646,0,0,7.945997033,0.155052475,0.103373485,0
3,1,0,0,17,3,0,0,3,2,75,0,0,0,0.5,0,0,24,1,0.6667,0
3,1,0,0,17,3,0,0,3,2,75,0,0,0,0.5,0,0,24,1,0.6667,0
1.233971743,1.233971743,0.116985872,5.233971743,1.584929358,0.350957615,5.233971743,0,1.233971743,2,2.988759819,0,0,0.116985872,0.97400314,0,0,0.584929358,0.883014128,0.883014128,0
3,2.135024027,0.567512013,3.972584093,10.75736785,3,3.972584093,0,3,2,42.65181524,0,0,0.567512013,0.657642226,0,0,13.21727175,0.432487987,0.288339741,0
4.853148475,1,0,1.853148475,10.82283842,3,1.235432317,0.617716158,4.853148475,1.135197378,49.67363751,0.617716158,0,0,0.534317565,0,0,11.85158222,1,0.6667,0
5.670131183,1.329868817,0,3,6.890043728,3,2,1,5.670131183,0.753938781,32.24069965,0.890043728,0,0.109956272,0.579990283,0,0,4.406637514,0.890043728,0.593392153,0
