"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
3,1,0,2,7,0,2,0,3,0,24,1,0,0,0.833333333,0,0,6.666666667,1,0.6667,"0"
1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,"0"
2,1,0,10,15,1,1,9,2,2,46,0,0,0,0.5,0,0,22,2,1,"0"
9,2,0,0,33,22,0,0,6,0.375,220,1,0,0.68,0.355555556,1,2,23.22222222,2,1,"0"
2,2,0,2,10,0,1,1,2,0,47,1,0,0.979166667,0.666666667,0,0,21,1,0.5,"0"
2,2,0,3,8,1,1,2,1,2,28,0,0,0.75,0.75,0,0,13,3,1.5,"0"
2,2,0,5,15,1,1,4,1,2,58,0,0,0.75,0.75,1,1,28,5,2.5,"0"
2,1,0,10,15,1,1,9,2,2,46,0,0,0,0.5,0,0,22,2,1,"0"
2,1,0,6,9,0,1,5,1,0.875,100,1,0,0,1,0,0,45,0,0,"0"
2,1,0,10,15,1,1,9,2,2,46,0,0,0,0.5,0,0,22,2,1,"0"
1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,"0"
4,1,0,2,5,6,0,2,4,2,10,0,0,0,0.875,0,0,1.5,1,0.75,"0"
6,1,0,1,7,15,1,0,5,2,10,0,0,0,0.6,0,0,0.666666667,1,0.6667,"0"
2,2,0,4,7,1,1,3,1,2,16,0,0,0.75,0.75,0,0,7,2,1,"0"
2,1,0,6,9,0,1,5,1,0.875,100,1,0,0,1,0,0,45,0,0,"0"
2,2,0,3,8,1,1,2,1,2,28,0,0,0.75,0.75,0,0,13,3,1.5,"0"
21,5,0,12,77,68,8,5,13,0.834090909,660,0.409090909,2,0.962886598,0.214285714,0,0,29.38095238,6,1.7143,"1"
5,1,0,6,15,10,1,5,4,2,45,0,0,0,0.7,0,0,8,5,1.6,"1"
3,2,0,6,25,3,1,5,1,2,87,0,0,0.6,0.666666667,1,1,28,2,1.3333,"1"
10,6,0,5,43,33,4,3,9,0.888888889,239,0.4,1,0.983539095,0.444444444,0,0,22.4,3,1,"1"
20,6,0,10,57,146,4,8,17,0.907894737,308,0.5,1,0.963709677,0.180451128,0,0,14,1,0.9,"1"
43,2,0,27,150,685,1,26,26,0.897959184,1815,0.785714286,0,0.378787879,0.11627907,2,3,40.55813953,22,1.4884,"1"
6,1,0,17,73,15,1,16,6,2,644,0,0,0,0.833333333,0,0,106.3333333,1,0.8333,"1"
7,1,0,11,24,15,5,6,6,0.791666667,73,0.5,2,0,0.142857143,0,0,8.857142857,1,0.8571,"1"
20.844438087428,5.15556191257201,0,11.688876174856,73.8887617485598,80.1338291806169,7.37775234971195,5.46668573771603,13.622247650288,0.845571973638816,605.242206774652,0.423232901066143,1.84443808742799,0.963014637743438,0.209022341090758,0,0,26.9882620105882,5.22219043713994,1.58762593459261,"1"
9.68712937319651,5.68712937319651,0,5.0625741253607,41.2479244899005,31.560795116704,3.81227762391791,3.1251482507214,8.68712937319651,0.958415694949378,226.860619680025,0.374970349855721,0.937425874639302,0.921994996372323,0.460435609397767,0,0,21.498932594806,3.1251482507214,1.03754447521642,"1"
4.18576747272164,1.40711626363918,0,6,19.0711626363918,7.15018615452573,1,5,2.77865120908245,2,62.0988830728456,0,0,0.244269758183509,0.686429458014399,0.407116263639182,0.407116263639182,16.1423252727836,3.77865120908245,1.49142209248743,"1"
8.3934552106075,4.3934552106075,0,5.3213089578785,34.003349179402,25.6098939687945,3.0360731263645,3.642617915757,7.3934552106075,1.24589884216263,176.666062171571,0.2714764168486,0.6786910421215,0.667519173352787,0.526556733378421,0,0,17.7731510065496,3.642617915757,1.1927853747271,"1"
6.04896277072839,2.71740300487727,0,6.71740300487727,30.7392240390182,28.6471574243624,1.53805225365795,5.53805225365795,3.86961201950908,1.80413010067038,126.636516019469,0.0896753756096587,0.179350751219317,0.665231603795685,0.579463544825845,0.820649248780683,0.820649248780683,25.4890894829296,1.82064924878068,1.25558731949667,"1"
37.9704710503574,2.87470068689436,0,23.282522080699,129.663209029706,567.134082440985,1.65602551517077,22.0638469089754,24.0319234544877,0.900131842758444,1485.45651621255,0.723235665445067,0.218675171723589,0.506695753622521,0.130311905803006,1.56264965655282,2.34397448482923,34.7505338076182,17.4078213938046,1.35973152895784,"1"
8.55310760065913,4.19138450082392,0,9.3406771980226,53.8516929950565,26.4889842029661,2.91483070049435,7.70240029785782,7.91483070049435,1.29080344433227,385.497855433263,0.255310760065913,0.638276900164783,0.627770284747476,0.585114538420554,0,0,52.7606255007784,2.27655380032957,0.939700759257469,"1"
18.8104278550018,5.54247225192375,0,10.0915055496152,53.9803168626968,134.012773000402,4.09150554961525,7.8169889007695,15.9934389542323,0.89725922357393,286.496195840416,0.5,1.09150554961525,0.875524893336581,0.177011069740348,0,0,13.5294000305371,1,0.896074411921506,"1"
