"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
4,2,0,7,10,0,5,2,2,0.333333333,218,1,0,0.714285714,0.666666667,1,4,53,13,3.5,"0"
13,2,0,10,29,0,6,4,9,0.458333333,295,1,1,0.266666667,0.214285714,1,4,21.53846154,2,1.5385,"0"
12,1,0,11,39,0,1,10,6,0.545454545,357,1,0,0,0.327272727,0,0,28.58333333,2,1.25,"0"
12,1,0,14,66,0,1,13,6,0.545454545,540,1,0,0,0.345454545,0,0,43.83333333,4,1.4167,"0"
4,2,0,3,6,0,1,2,2,0.666666667,68,1,0,0.846153846,0.666666667,1,2,15.5,2,0.75,"0"
5,1,0,6,17,0,1,5,2,0.625,168,1,0,0,0.3125,0,0,32.2,4,1.6,"0"
10,1,0,6,10,45,4,2,10,2,10,0,0,0,0.45,0,0,0,1,1,"0"
4,2,0,5,8,0,3,2,2,1.066666667,93,1,0,0.714285714,0.666666667,1,4,21,4,1.25,"0"
11,1,0,11,42,0,1,10,6,0.55,433,1,0,0,0.5,0,0,38.18181818,4,1.3636,"0"
5,1,0,6,17,0,1,5,2,0.625,168,1,0,0,0.3125,0,0,32.2,4,1.6,"0"
4,2,0,5,8,0,3,2,2,1.066666667,93,1,0,0.714285714,0.666666667,1,4,21,4,1.25,"0"
9,1,0,9,27,0,1,8,6,0.5625,267,1,0,0,0.458333333,0,0,28.44444444,2,1.2222,"0"
22,1,0,22,31,0,21,1,20,0.852380952,552,1,0,0,0.197278912,1,1,23.63636364,7,2.0455,"0"
5,2,0,5,15,0,2,3,3,0.583333333,247,0.666666667,0,0.625,0.583333333,1,4,47.8,8,3.4,"0"
10,1,0,3,32,0,0,3,8,0.481481481,553,1,0,0,0.277777778,0,0,54,13,2.9,"0"
8,1,0,4,16,0,1,3,6,0.571428571,169,1,0,0,0.428571429,0,0,19.875,2,1.25,"0"
6,1,0,1,12,0,0,1,4,0.75,145,1,0,0,0.32,0,0,22.5,2,0.8333,"0"
10,1,0,1,18,0,0,1,8,0.638888889,284,1,0,0,0.305555556,1,1,27,7,2.1,"0"
9,1,0,11,32,0,1,10,6,0.5625,314,1,0,0,0.458333333,0,0,33.66666667,4,1.4444,"0"
15,1,0,29,24,0,28,1,13,0.883116883,455,0.454545455,0,0,0.238095238,1,1,28.6,7,2.3333,"0"
14,1,0,13,44,0,1,12,9,0.692307692,518,0.714285714,3,0,0.256410256,0,0,35.5,5,1.9286,"0"
