"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
2,1,0,5,2,1,2,3,2,2,2,0,0,0,0.625,0,0,0,1,1,"0"
13,5,0,7,60,74,3,6,8,0.841666667,478,0.9,1,0.974947808,0.292307692,0,0,35,2,1,"0"
12,5,0,14,67,60,4,13,5,0.761363636,772,1,0,0.976987448,0.35,0,0,62,1,0.9167,"0"
16,1,0,12,74,68,1,11,12,0.816666667,1356,1,2,0,0.1875,0,0,83.25,5,1.3125,"0"
16,1,0,12,74,68,1,11,12,0.816666667,1356,1,2,0,0.1875,0,0,83.25,5,1.3125,"0"
12,5,0,14,67,60,4,13,5,0.761363636,772,1,0,0.976987448,0.35,0,0,62,1,0.9167,"0"
17,1,0,3,25,44,2,2,15,0.675,177,1,2,0,0.3,1,1,9.117647059,6,1.1176,"0"
10,1,0,4,10,45,2,2,10,2,10,0,0,0,0.271428571,0,0,0,1,1,"0"
23,1,0,12,40,7,11,3,21,0.962566845,427,0.264705882,2,0,0.220779221,1,1,16.08695652,14,1.6087,"0"
3,1,0,4,3,3,3,1,3,2,3,0,0,0,0.666666667,0,0,0,1,1,"0"
7,1,0,2,7,21,2,0,7,2,7,0,0,0,0.428571429,0,0,0,1,1,"0"
2,1,0,1,2,1,1,0,2,2,2,0,0,0,1,0,0,0,1,1,"0"
4,1,0,3,22,6,1,3,4,2,174,0,0,0,0.875,0,0,42.5,1,0.75,"0"
1,3,0,5,2,0,5,0,0,2,5,0,0,1,1,0,0,4,0,0,"0"
23,1,0,12,40,7,11,3,21,0.962566845,427,0.264705882,2,0,0.220779221,1,1,16.08695652,14,1.6087,"0"
2,1,0,1,2,1,1,0,2,2,2,0,0,0,1,0,0,0,1,1,"0"
12,5,0,11,67,48,4,10,5,0.775119617,1410,1,0,0.976987448,0.333333333,0,0,113.3333333,3,1.3333,"0"
2,1,0,1,2,1,1,0,2,2,2,0,0,0,1,0,0,0,1,1,"0"
4,2,0,25,7,4,25,0,2,0.916666667,56,0.25,4,0.846153846,0.444444444,1,1,12,1,0.5,"0"
4,1,0,8,22,4,1,7,3,0.833333333,125,1,2,0,0.5,0,0,29.75,1,0.75,"0"
12,5,0,14,67,60,4,13,5,0.761363636,772,1,0,0.976987448,0.35,0,0,62,1,0.9167,"0"
3,1,0,4,3,3,3,1,3,2,3,0,0,0,0.666666667,0,0,0,1,1,"0"
4,1,0,8,22,4,1,7,3,0.833333333,125,1,2,0,0.5,0,0,29.75,1,0.75,"0"
17,1,0,3,25,44,2,2,15,0.675,177,1,2,0,0.3,1,1,9.117647059,6,1.1176,"0"
13,5,0,7,60,74,3,6,8,0.841666667,478,0.9,1,0.974947808,0.292307692,0,0,35,2,1,"0"
16,1,0,12,74,68,1,11,12,0.816666667,1356,1,2,0,0.1875,0,0,83.25,5,1.3125,"0"
21,1,0,5,50,210,4,2,20,1.05,370,0,0,0,0.299319728,0,0,16.52380952,8,2.619,"1"
2,6,0,7,25,1,1,6,1,0,198,1,7,0.997690531,1,0,0,93,1,0.5,"1"
8,6,0,8,48,18,3,7,4,0.785714286,306,1,3,0.983568075,0.40625,0,0,36.5,5,1.375,"1"
30,1,0,10,53,333,5,6,24,0.844827586,994,0.75,1,0,0.235632184,0,0,31.86666667,19,1.9,"1"
11,1,0,8,53,0,7,2,9,0.64,501,0.6,1,0,0.385714286,0,0,44.09090909,3,1.0909,"1"
15,5,0,9,80,91,4,8,3,0.847619048,1172,1,2,0.970893971,0.247619048,0,0,76.13333333,3,1.4,"1"
11,5,0,5,61,19,2,3,5,0.675,599,1,0,0.979035639,0.272727273,0,0,52.36363636,7,1.4545,"1"
6,2,0,6,26,3,3,5,6,0.7,85,1,2,0.642857143,0.285714286,0,0,12.83333333,1,0.8333,"1"
