"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
4,4,0,11,40,6,0,11,4,2,203,0,0,0.833333333,0.4,0,0,49.75,8,3.25,"1"
3,1,0,8,3,3,5,3,3,2,3,0,0,0,0.466666667,0,0,0,1,1,"1"
6,1,0,5,10,0,0,5,6,0.2,33,1,1,0,0.305555556,0,0,4.333333333,1,0.8333,"1"
6,8,0,8,15,3,0,8,6,0.8,69,1,2,0.955357143,0.30952381,1,3,10,1,0.8333,"1"
7,8,0,11,24,9,0,11,7,0.777777778,91,1,2,0.946902655,0.285714286,1,3,11.57142857,1,0.8571,"1"
6,1,0,5,10,0,0,5,6,0.2,33,1,1,0,0.305555556,0,0,4.333333333,1,0.8333,"1"
3,1,0,3,15,3,0,3,3,2,158,0,0,0,0.5,0,0,51.66666667,17,6,"1"
5,8,0,10,21,4,0,10,4,0.75,72,1,1,0.963963964,0.366666667,2,4,13,1,0.8,"1"
4,4,0,11,40,6,0,11,4,2,203,0,0,0.833333333,0.4,0,0,49.75,8,3.25,"1"
4,8,0,13,23,0,0,13,4,0.666666667,78,1,1,0.972727273,0.375,1,2,18,1,0.75,"1"
4,8,0,7,13,0,0,7,4,0.666666667,52,1,1,0.972727273,0.416666667,1,3,11.5,1,0.75,"1"
3,1,0,3,15,3,0,3,3,2,158,0,0,0,0.5,0,0,51.66666667,17,6,"1"
7,4,0,12,49,19,0,12,7,0.833333333,301,1,0,0.714285714,0.371428571,0,0,41.85714286,12,3,"1"
5,8,0,10,21,4,0,10,4,0.75,72,1,1,0.963963964,0.366666667,2,4,13,1,0.8,"1"
7,8,0,11,24,9,0,11,7,0.777777778,91,1,2,0.946902655,0.285714286,1,3,11.57142857,1,0.8571,"1"
4,8,0,13,23,0,0,13,4,0.666666667,78,1,1,0.972727273,0.375,1,2,18,1,0.75,"1"
7,8,0,11,24,9,0,11,7,0.777777778,91,1,2,0.946902655,0.285714286,1,3,11.57142857,1,0.8571,"1"
7,8,0,11,24,9,0,11,7,0.777777778,91,1,2,0.946902655,0.285714286,1,3,11.57142857,1,0.8571,"1"
4,8,0,13,23,0,0,13,4,0.666666667,78,1,1,0.972727273,0.375,1,2,18,1,0.75,"1"
6,8,0,8,15,3,0,8,6,0.8,69,1,2,0.955357143,0.30952381,1,3,10,1,0.8333,"1"
3,1,0,3,15,3,0,3,3,2,158,0,0,0,0.5,0,0,51.66666667,17,6,"1"
3,1,0,3,15,3,0,3,3,2,158,0,0,0,0.5,0,0,51.66666667,17,6,"1"
6,8,0,8,15,3,0,8,6,0.8,69,1,2,0.955357143,0.30952381,1,3,10,1,0.8333,"1"
7,8,0,11,24,9,0,11,7,0.777777778,91,1,2,0.946902655,0.285714286,1,3,11.57142857,1,0.8571,"1"
4,8,0,13,23,0,0,13,4,0.666666667,78,1,1,0.972727273,0.375,1,2,18,1,0.75,"1"
4,4,0,11,40,6,0,11,4,2,203,0,0,0.833333333,0.4,0,0,49.75,8,3.25,"1"
4,4,0,11,40,6,0,11,4,2,203,0,0,0.833333333,0.4,0,0,49.75,8,3.25,"1"
7,8,0,11,24,9,0,11,7,0.777777778,91,1,2,0.946902655,0.285714286,1,3,11.57142857,1,0.8571,"1"
6,1,0,4,6,15,2,2,6,2,6,0,0,0,0.4,0,0,0,1,1,"0"
9,1,0,5,10,28,5,0,9,0.875,44,1,0,0,0.722222222,0,0,3.444444444,1,0.8889,"0"
9,1,0,7,10,28,7,0,9,0.875,44,1,0,0,0.722222222,0,0,3.444444444,1,0.8889,"0"
9,1,0,5,30,0,0,5,9,0.625,82,1,1,0,0.26984127,0,0,7.888888889,1,0.8889,"0"
7,1,0,10,7,21,7,3,7,2,7,0,0,0,0.333333333,0,0,0,1,1,"0"
17,1,0,7,18,120,7,0,17,0.9375,84,1,0,0,0.367647059,0,0,3.470588235,1,0.9412,"0"
4,1,0,7,7,0,0,7,4,0.333333333,29,1,1,0,0.5,0,0,6,1,0.75,"0"
4.03574141580611,1,0,6.94638787629083,6.98212929209694,0.26806061854586,0.0357414158061147,6.91064646048471,4.03574141580611,0.363117846177719,28.5889737182297,0.982129292096943,0.982129292096943,0,0.498212929209694,0,0,5.89277575258166,1,0.754467676975764,"0"
4.55011031171307,1,0,6.1748345324304,6.72494484414347,4.12582733784802,0.55011031171307,5.62472422071733,4.55011031171307,0.791758592852577,22.6737314152997,0.724944844143465,0.724944844143465,0,0.472494484414346,0,0,4.34966906486079,1,0.818763788964134,"0"
9,1,0,5,10,28,5,0,9,0.875,44,1,0,0,0.722222222,0,0,3.444444444,1,0.8889,"0"
14.1243809442967,1,0,6.28109523607418,15.1243809442967,86.9303808594123,6.28109523607418,0,14.1243809442967,0.915034226127318,69.6219047214836,1,0,0,0.495099945925237,0,0,3.46119078705151,1,0.92240064042334,"0"
9,1,0,5.35030137002468,26.4969862997532,4.90421918034554,1.22605479508638,4.1242465749383,9,0.668787671253085,75.3442739695311,1,0.824849314987659,0,0.349076103629335,0,0,7.11044139995896,1,0.8889,"0"
12.2729090005159,1,0,7,13.2729090005159,65.6384535059333,7,0,12.2729090005159,0.900569601566531,60.3645450025797,1,0,0,0.577160691707237,0,0,3.45514022510894,1,0.910296642590873,"0"
7.37014261400327,1,0,9.07464346499182,11.2566400610376,17.1135025529657,5.70450085098855,3.37014261400327,7.37014261400327,1.74552695287275,20.8803480251227,0.185071307001635,0.185071307001635,0,0.32158277391636,0,0,1.46000697747791,1,0.979438577792118,"0"
9,1,0,5,21.4981895266101,11.9025346627459,2.12545261834748,2.87454738165252,9,0.731272630917374,65.8465601005591,1,0.574909476330504,0,0.462144125783785,0,0,5.99959767245497,1,0.8889,"0"
6.31025816057809,1,0,9.31025816057809,7,16.1718071240466,5.3906023746822,3.91965578589588,6.31025816057809,1.61681008913341,12.0581068224274,0.229913946473971,0.229913946473971,0,0.371652324155633,0,0,1.37948367884383,1,0.942521513381507,"0"
10.3147133723833,1,0,9.00558598828502,10.6461847096216,53.8156623865943,7,2.00558598828502,10.3147133723833,1.64781170418428,32.5232929673512,0.331471337238327,0,0,0.34470734964285,0,0,1.15040052325905,1,0.980509485370386,"0"
14.4853398874402,1,0,7,15.8722106739879,96.7877528071404,5.64595224708319,1.35404775291681,14.4853398874402,0.820632783165916,73.3610533699393,1,0.19343539327383,0,0.393248802193283,0,0,3.95986599451423,1,0.904215152806044,"0"
12.5211231131107,1,0,7,13.5211231131107,68.4929158007726,7,0,12.5211231131107,0.902508774321177,61.6056155655533,1,0,0,0.566159371778215,0,0,3.4559513823443,1,0.911919342351961,"0"
8.6840652206447,1,0,5.12637391174212,9.81043913238682,26.2307652356103,4.6840652206447,0.442308691097423,8.6840652206447,0.840773732215447,43.0521956619341,1,0.0631869558710605,0,0.708180676264917,0,0,3.60592222014302,1,0.88012333182951,"0"
5.92115615471266,1,0,6.23153753811494,8.1526936928276,10.7584744663909,1.92115615471266,4.31038138340227,5.92115615471266,0.541458583221949,34.763468464138,1,0.615768769057468,0,0.585384717901845,0,0,5.01807574297609,1,0.803369717977918,"0"
