wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
20,6,0,20,67,118,17,7,5,0.857585139,665,1,3,0.972093023,0.23,0,0,31.4,2,1.5,1
47,6,0,11,95,707,6,9,1,0.913647343,1791,1,4,0.931649331,0.237588652,0,0,36.34042553,7,2.234,1
26,6,0,10,80,189,6,8,3,0.834,938,0.85,4,0.964615385,0.230769231,0,0,34.30769231,2,1.5,1
8,6,0,5,44,14,5,2,1,0.761904762,276,1,0,0.988958991,0.5,0,0,32.75,5,1.875,1
30,6,0,6,72,199,3,5,2,0.871352785,1910,1,3,0.957251908,0.344444444,0,0,61.8,15,3.9333,1
19,1,0,15,44,97,12,3,14,0.711111111,1760,1,2,0,0.315789474,0,0,91.36842105,1,0.9474,1
19,1,0,15,44,97,12,3,14,0.711111111,1760,1,2,0,0.315789474,0,0,91.36842105,1,0.9474,1
26,6,0,10,80,189,6,8,3,0.834,938,0.85,4,0.964615385,0.230769231,0,0,34.30769231,2,1.5,1
30,6,0,6,72,199,3,5,2,0.871352785,1910,1,3,0.957251908,0.344444444,0,0,61.8,15,3.9333,1
18,6,0,10,56,83,7,9,2,0.819327731,1606,1,3,0.975116641,0.277777778,0,0,85.88888889,2,1.4444,1
19,6,0,11,63,87,8,8,2,0.827777778,836,1,2,0.973602484,0.231578947,0,0,41.94736842,3,1.3684,1
30,6,0,6,72,199,3,5,2,0.871352785,1910,1,3,0.957251908,0.344444444,0,0,61.8,15,3.9333,1
19,1,0,15,44,97,12,3,14,0.711111111,1760,1,2,0,0.315789474,0,0,91.36842105,1,0.9474,1
5,1,0,10,28,10,5,5,5,1.25,105,0,0,0,0.35,0,0,19.8,1,0.8,1
26,6,0,10,80,189,6,8,3,0.834,938,0.85,4,0.964615385,0.230769231,0,0,34.30769231,2,1.5,1
19,6,0,11,63,87,8,8,2,0.827777778,836,1,2,0.973602484,0.231578947,0,0,41.94736842,3,1.3684,1
18,6,0,10,56,83,7,9,2,0.819327731,1606,1,3,0.975116641,0.277777778,0,0,85.88888889,2,1.4444,1
8,6,0,5,44,14,5,2,1,0.761904762,276,1,0,0.988958991,0.5,0,0,32.75,5,1.875,1
8,6,0,5,44,14,5,2,1,0.761904762,276,1,0,0.988958991,0.5,0,0,32.75,5,1.875,1
33,6,0,8,93,330,4,7,2,0.878125,1412,1,3,0.952887538,0.218181818,0,0,40.87878788,3,1.5152,1
47,6,0,11,95,707,6,9,1,0.913647343,1791,1,4,0.931649331,0.237588652,0,0,36.34042553,7,2.234,1
18,6,0,10,56,83,7,9,2,0.819327731,1606,1,3,0.975116641,0.277777778,0,0,85.88888889,2,1.4444,1
23,1,0,4,32,171,3,1,23,0.880681818,169,1,0,0,0.229813665,0,0,6,1,0.913,1
23,1,0,4,32,171,3,1,23,0.880681818,169,1,0,0,0.229813665,0,0,6,1,0.913,1
20,6,0,20,67,118,17,7,5,0.857585139,665,1,3,0.972093023,0.23,0,0,31.4,2,1.5,1
8,6,0,5,44,14,5,2,1,0.761904762,276,1,0,0.988958991,0.5,0,0,32.75,5,1.875,1
47,6,0,11,95,707,6,9,1,0.913647343,1791,1,4,0.931649331,0.237588652,0,0,36.34042553,7,2.234,1
