"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
14,2,0,7,29,21,5,2,14,0.824175824,274,0.571428571,0,0.294117647,0.271428571,0,0,18.07142857,2,1,"0"
9,2,0,9,30,36,3,6,9,2,247,0,0,0.384615385,0.355555556,0,0,26.44444444,1,0.8889,"0"
2,1,0,1,5,1,0,1,2,2,13,0,0,0,0.5,0,0,5.5,1,0.5,"0"
2,1,0,1,5,1,0,1,2,2,13,0,0,0,0.5,0,0,5.5,1,0.5,"0"
2,1,0,2,3,1,1,1,2,2,6,0,0,0,0.75,0,0,2,1,0.5,"0"
3,1,0,10,12,0,1,9,3,0.5,61,1,0,0,0.666666667,0,0,18,1,0.6667,"0"
1,1,5,5,2,0,5,0,1,2,4,0,0,0,1,0,0,3,0,0,"0"
5,7,0,6,69,0,1,5,4,0.75,604,0.647058824,1,0.99103139,1,1,1,116.4,2,1,"0"
2,3,0,1,3,1,1,0,1,2,12,0,0,0.978723404,0.75,0,0,5,2,1,"0"
7,1,5,11,20,9,5,6,2,0.388888889,75,1,0,0,0.666666667,0,0,9.285714286,2,0.8571,"0"
6,2,0,8,22,15,2,6,6,2,156,0,0,0.5,0.416666667,0,0,25,1,0.8333,"0"
3,1,0,10,12,0,1,9,3,0.5,61,1,0,0,0.666666667,0,0,18,1,0.6667,"0"
6,7,0,5,52,7,2,4,3,0.746666667,457,0.8,0,0.988814318,0.444444444,1,1,72.66666667,2,1.1667,"0"
5,7,0,6,69,0,1,5,4,0.75,604,0.647058824,1,0.99103139,1,1,1,116.4,2,1,"0"
2,2,0,5,7,1,1,4,2,2,20,0,0,0,0.75,0,0,9,1,0.5,"0"
3,1,0,10,12,0,1,9,3,0.5,61,1,0,0,0.666666667,0,0,18,1,0.6667,"0"
11,6,6,16,18,53,16,1,11,0.9,73,0,1,0.977375566,0.363636364,0,0,5.545454545,2,1,"0"
3,2,0,6,11,3,2,4,3,2,107,0,0,0,0.666666667,0,0,34.66666667,1,0.6667,"0"
3,2,0,5,23,0,1,4,3,0.5,101,0,1,0.6,1,0,0,32.33333333,2,1,"0"
3,2,0,5,23,0,1,4,3,0.5,101,0,1,0.6,1,0,0,32.33333333,1,0.6667,"0"
3,1,0,7,21,3,1,6,3,2,68,0,0,0,0.555555556,0,0,21.66666667,1,0.6667,"0"
5,2,0,7,38,0,2,7,5,0.5,245,0,1,0.428571429,1,0,0,47.8,7,2,"0"
6,1,0,2,7,3,1,1,6,0.6,34,1,1,0,0.555555556,0,0,4.333333333,1,0.6667,"0"
3,2,0,6,11,3,2,4,3,2,107,0,0,0,0.666666667,0,0,34.66666667,1,0.6667,"0"
11,2,0,5,20,29,2,3,11,0.8,86,1,0,0.333333333,0.290909091,0,0,6.454545455,1,0.9091,"0"
5,2,0,7,19,10,1,6,5,2,109,0,0,0.555555556,0.533333333,0,0,20.8,1,0.8,"0"
9,2,0,9,30,36,3,6,9,2,247,0,0,0.384615385,0.355555556,0,0,26.44444444,1,0.8889,"0"
3,2,0,5,23,0,1,4,3,0.5,101,0,1,0.6,1,0,0,32.33333333,1,0.6667,"0"
7,2,0,6,25,21,1,5,7,2,104,0,0,0,0.571428571,0,0,13.85714286,1,0.8571,"1"
9,7,0,7,73,12,4,5,4,0.775735294,1375,0.735294118,0,0.9844098,0.34375,1,1,148,17,3.3333,"1"
16,7,1,5,93,72,2,3,15,0.911666667,1400,0.725,0,0.967177243,0.53125,1,1,84,1,0.9375,"1"
32,2,0,12,44,264,9,3,32,0.936827957,427,0.541666667,0,0.151515152,0.255208333,0,0,11.59375,1,0.875,"1"
10,2,0,9,15,39,7,2,10,0.861111111,68,0.75,0,0.384615385,0.28,0,0,5.4,1,0.8,"1"
6,1,6,7,11,15,6,1,1,2,93,0,0,0,0.791666667,0,0,14.5,5,3.5,"1"
12,2,0,17,53,12,7,15,12,0.454545455,414,0,1,0.214285714,1,0,0,33.41666667,3,1.25,"1"
14,7,0,12,118,77,5,11,5,0.854166667,1779,0.916666667,2,0.971428571,0.285714286,0,0,122.6428571,4,1.2857,"1"
7.632150844438,2,0,6.632150844438,22.89283051854,24.792905066628,2.264301688876,4.367849155562,7.632150844438,1.76001680903253,96.414189866744,0.1580377111095,0,0.081044980137199,0.51001963191633,0,0,12.0750795265061,1,0.845068062260863,"1"
13.6053948730696,7,0.657913553295657,5.68417289340869,86.1582710659131,51.4748131977394,2.68417289340869,3.68417289340869,11.2370490862522,0.865166386614787,1391.44783883239,0.728521478248575,0,0.97307226719176,0.467108791242936,1,1,105.893532589078,6.47338314726949,1.75707070901426,"1"
14.9271930670366,4.31798266759142,0.463596533518285,7.14561386592686,66.7162301423959,48.9346509412862,3.60921039944515,3.53640346648172,14.4635965335183,0.777497030773151,823.902676998638,0.872510953282472,0,0.616006100428108,0.380386525052018,0.463596533518285,0.463596533518285,50.7046705455798,2.07280693296343,0.971025216655107,"1"
9.73290796019137,7,0.104701137170196,6.79059772565961,75.0940227434039,18.2820682302117,3.79059772565961,4.79059772565961,5.15171250887215,0.789967463330206,1377.61752842925,0.734216312139236,0,0.98260553168575,0.363381463219412,1,1,141.299127221107,15.3247818052769,3.08245701556765,"1"
13.4855165625922,2,0,8.77950709825382,42.6035449556075,28.4120189286768,4.70600946433842,4.07349763391539,13.4855165625922,0.75991221812976,309.683525270782,0.926502366084605,0,0.289531989401439,0.273624239441306,0,0,21.3353405277879,2.85300473216921,0.98949718811349,"1"
21.7564250798896,2,0,10.2927375133149,44,130.264438543003,6.72365001775324,3.56908749556169,21.7564250798896,0.780164147736008,369.522162948269,0.802498435609412,0,0.243129615971699,0.252244335816979,0,0,17.475167644676,2.13817499112338,0.946135936945211,"1"
9.24619375355542,2,0,6.96265446580946,31.0968116167933,23.5670785754919,2.28353928774595,4.67911517806351,9.24619375355542,1.57050800771003,175.2364304699,0.320884821936488,0,0.100276506855153,0.468287021229365,0,0,16.4471417794575,1.64176964387298,0.902954441054724,"1"
17.6367673431523,2,0,9.60612789052539,44,76.4800180911552,5.80817052070051,3.79795736982487,17.6367673431523,0.717158675629383,346.406305647688,0.907397127903747,0,0.279974197891737,0.251052305298148,0,0,19.8404969258925,2.59591473964974,0.974744671228109,"1"
11.7515955346171,2,0,7.1403829283081,28.611212606309,67.185508596478,2.52051057107747,4.61987235723063,11.7515955346171,1.79792945871806,165.390614307253,0.102951236646725,0,0.0287975487868011,0.511326544166546,0,0,13.4269537637336,1,0.860502142402786,"1"
26.227831851691,2,0,11.0379719752818,44,188.641138063744,7.71729596704245,3.32067600823939,26.227831851691,0.848549220633163,394.611723167822,0.688643170669494,0,0.203139130443665,0.253538145563979,0,0,14.9078792820393,1.64135201647878,0.915084501029924,"1"
11.3350073257461,2,0,9,24.6788031116594,35.6624816856347,6.33249633712694,2.66750366287306,11.3350073257461,0.79450337389161,154.107972510625,0.833437957859132,0,0.3605467431815,0.269987445056904,0,0,10.916440985792,1.66750366287306,0.866750366287306,"1"
10.9624254330993,2,0,9,21.9775843899697,36.5939364172518,6.51878728345037,2.48121271654963,10.9624254330993,0.813092662712852,130.076440434903,0.810151589568704,0,0.367263964839564,0.272781809251755,0,0,9.37687937925749,1.48121271654963,0.848121271654964,"1"
12.9127982403152,2,0,13.3488070387393,48.8924079185817,19.7587850426789,6.08720175968483,9.97960967826657,12.9127982403152,0.549016881273573,373.836877426133,0.456399120157585,0.543600879842415,0.259110627717305,0.657700659881812,0,0,28.1735101101775,3,1.1359002199606,"1"
10.7310976050794,2,0,11.9243904203176,28.8908544965088,29.1301823314279,7,6.75213443301618,10.7310976050794,0.71249152229543,194.479885678738,0.47583839809522,0.365548802539706,0.322351577728968,0.543195137828589,0,0,15.6414589523726,1.73109760507941,0.964496961142868,"1"
13.1625115196221,4.90627879905514,0,14.0937212009449,90.7816243877169,49.7816243877169,5.83748848037794,12.6749769607559,7.9312096813228,0.686827586217664,1207.41411214205,0.532817780020528,1.58125575981103,0.654379360631028,0.584817314586767,0,0,85.2799037834332,3.58125575981103,1.27075083062525,"1"
9.94559837249108,7,0,7.94559837249108,81.5103853524197,24.292778842384,4.18911967449822,6.13471804698929,4.18911967449822,0.790568209732208,1451.40434849728,0.769595235429792,0.378239348996431,0.981954794196933,0.332774304659049,0.810880325501785,0.810880325501785,143.204465388547,14.5414442315232,2.94605855449745,"1"
