"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
6,5,0,7,22,1,1,7,2,0.52,194,1,4,0.991507431,0.583333333,0,0,30.5,3,1.3333,"0"
15,7,0,8,38,93,0,8,4,0.928571429,176,1,0,0.871287129,0.428571429,1,1,10.6,1,0.8667,"0"
10,5,0,6,31,17,4,4,2,0.793650794,183,1,2,0.983157895,0.28,0,0,16.6,2,1,"0"
5,5,0,6,22,0,3,3,3,0.678571429,256,1,1,0.991507431,0.6,0,0,48.8,2,1,"0"
2,1,0,8,2,1,7,1,2,2,2,0,0,0,0.666666667,0,0,0,1,1,"0"
17,1,0,10,19,122,9,1,17,0.919642857,91,1,1,0,0.169934641,0,0,3.941176471,2,1,"0"
2,5,0,1,6,1,1,0,1,2,18,1,0,0.997863248,1,0,0,7.5,1,0.5,"0"
11,1,0,1,12,45,1,1,11,0.9,54,1,1,0,0.290909091,0,0,3.454545455,1,0.9091,"0"
5,2,0,4,13,0,1,3,5,0.75,64,1,0,0.8,0.533333333,1,1,11.2,2,1,"0"
2,1,0,4,10,1,0,4,2,2,28,0,0,0,0.5,0,0,13,1,0.5,"0"
27,5,0,13,82,191,5,13,1,0.881410256,1132,1,4,0.947261663,0.191358025,0,0,40.03703704,6,1.9259,"0"
6,1,0,3,14,0,0,3,6,0.2,43,0,0,0,0.555555556,0,0,6,1,0.8333,"0"
2,5,0,1,6,1,1,0,1,2,18,1,0,0.997863248,1,0,0,7.5,1,0.5,"0"
19,1,0,16,20,153,12,4,19,0.944444444,94,1,4,0,0.184210526,0,0,3.473684211,1,0.9474,"0"
9,5,0,1,28,22,1,0,1,0.78125,558,1,0,0.983157895,1,0,0,59.66666667,2,1.6667,"0"
11,1,0,1,12,45,1,1,11,0.9,54,1,1,0,0.290909091,0,0,3.454545455,1,0.9091,"0"
6,1,0,3,14,0,0,3,6,0.2,43,0,0,0,0.555555556,0,0,6,1,0.8333,"0"
2,7,0,1,3,1,0,1,1,2,12,0,0,0.988764045,1,1,1,5,1,0.5,"0"
4,5,0,1,17,0,1,0,1,0.666666667,622,1,0,0.993617021,1,0,0,151,2,1.25,"0"
5,2,0,3,8,0,2,1,5,0.75,37,1,1,0.636363636,0.4,0,0,5.8,1,0.8,"0"
4,2,0,4,7,4,4,0,2,0.888888889,57,0.333333333,3,0.846153846,0.444444444,1,1,12.5,1,0.5,"0"
6,5,0,7,22,1,1,7,2,0.52,194,1,4,0.991507431,0.583333333,0,0,30.5,3,1.3333,"0"
8,5,0,12,39,6,5,9,3,0.782312925,844,1,2,0.985232068,0.3125,0,0,101.875,2,1.25,"0"
2,5,0,1,6,1,1,0,1,2,18,1,0,0.997863248,1,0,0,7.5,1,0.5,"0"
4,1,0,7,12,0,0,7,4,0.333333333,37,0,0,0,0.4375,0,0,8,1,0.75,"0"
2,1,0,5,2,1,4,1,2,2,2,0,0,0,0.75,0,0,0,1,1,"0"
4,5,0,1,17,0,1,0,1,0.666666667,622,1,0,0.993617021,1,0,0,151,2,1.25,"0"
15,7,0,8,38,93,0,8,4,0.928571429,176,1,0,0.871287129,0.428571429,1,1,10.6,1,0.8667,"0"
3,1,0,8,3,3,7,1,3,2,3,0,0,0,0.555555556,0,0,0,1,1,"0"
19,1,0,16,20,153,12,4,19,0.944444444,94,1,4,0,0.184210526,0,0,3.473684211,1,0.9474,"0"
2,5,0,1,6,1,1,0,1,2,18,1,0,0.997863248,1,0,0,7.5,1,0.5,"0"
2,1,0,4,10,1,0,4,2,2,28,0,0,0,0.5,0,0,13,1,0.5,"0"
5,2,0,3,9,0,2,1,5,0.75,43,1,1,0.636363636,0.4,0,0,7,1,0.8,"0"
7,1,0,3,13,0,0,3,7,0.166666667,41,0,0,0,0.428571429,0,0,4.714285714,1,0.8571,"0"
7,1,0,3,13,0,0,3,7,0.166666667,41,0,0,0,0.428571429,0,0,4.714285714,1,0.8571,"0"
5,5,0,6,22,0,3,3,3,0.678571429,256,1,1,0.991507431,0.6,0,0,48.8,2,1,"0"
17,1,0,10,19,122,9,1,17,0.919642857,91,1,1,0,0.169934641,0,0,3.941176471,2,1,"0"
10,1,0,21,12,0,13,8,9,0.611111111,69,1,1,0,0.5,0,0,5.7,2,1,"0"
6,5,0,1,19,5,1,0,1,0.75,326,1,0,0.98940678,1,0,0,52,2,1.5,"0"
13,5,0,5,39,40,3,5,3,0.824074074,432,1,2,0.974947808,0.358974359,0,0,31.53846154,3,1.5385,"0"
43,5,0,7,86,683,2,6,1,0.906692407,1962,1,3,0.917485265,0.5,0,0,43.76744186,14,1.7209,"1"
3,5,0,13,20,1,12,12,1,1,236,1,1,0.995951417,0.444444444,0,0,77,1,0.6667,"1"
18,1,0,23,29,105,21,3,18,0.865546218,234,1,3,0,0.180555556,1,1,11.61111111,16,2,"1"
12,5,0,2,35,38,2,1,1,0.79144385,870,1,0,0.976987448,0.5,0,0,70.08333333,5,1.9167,"1"
16,6,0,47,46,120,36,20,15,1.066666667,204,1,0,0.966442953,0.2625,0,0,11.6875,1,0.9375,"1"
7,1,0,8,28,1,0,8,7,0.333333333,130,0,0,0,0.428571429,0,0,17.42857143,3,1.1429,"1"
4,1,0,10,4,6,8,2,4,2,4,0,0,0,0.583333333,0,0,0,1,1,"1"
29.4945834153332,2.83913334645331,0,15.6434666141868,55.2076501869597,370.754768562503,12.2641166043468,4.37935000983998,10.1836832775734,0.884464550067343,1028.50560566783,1,3,0.421844436435263,0.327430788324909,0.540216663386673,0.540216663386673,26.3960561554767,15.0804333267733,1.87167447075122,"1"
