"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
6,1,0,4,6,15,2,2,6,2,6,0,0,0,0.4,0,0,0,1,1,"0"
9,1,0,5,10,28,5,0,9,0.875,44,1,0,0,0.722222222,0,0,3.444444444,1,0.8889,"0"
9,1,0,7,10,28,7,0,9,0.875,44,1,0,0,0.722222222,0,0,3.444444444,1,0.8889,"0"
9,1,0,5,30,0,0,5,9,0.625,82,1,1,0,0.26984127,0,0,7.888888889,1,0.8889,"0"
6,8,0,8,15,3,0,8,6,0.8,69,1,2,0.955357143,0.30952381,1,3,10,1,0.8333,"1"
5,8,0,10,21,4,0,10,4,0.75,72,1,1,0.963963964,0.366666667,2,4,13,1,0.8,"1"
7,1,0,10,7,21,7,3,7,2,7,0,0,0,0.333333333,0,0,0,1,1,"0"
7,4,0,12,49,19,0,12,7,0.833333333,301,1,0,0.714285714,0.371428571,0,0,41.85714286,12,3,"1"
17,1,0,7,18,120,7,0,17,0.9375,84,1,0,0,0.367647059,0,0,3.470588235,1,0.9412,"0"
5,1,0,5,6,6,5,0,5,0.75,24,1,0,0,0.7,0,0,3.4,1,0.8,"1"
7,8,0,11,24,9,0,11,7,0.777777778,91,1,2,0.946902655,0.285714286,1,3,11.57142857,1,0.8571,"1"
4,1,0,7,7,0,0,7,4,0.333333333,29,1,1,0,0.5,0,0,6,1,0.75,"0"
4,8,0,13,23,0,0,13,4,0.666666667,78,1,1,0.972727273,0.375,1,2,18,1,0.75,"1"
4,4,0,11,40,6,0,11,4,2,203,0,0,0.833333333,0.4,0,0,49.75,8,3.25,"1"
4,8,0,7,13,0,0,7,4,0.666666667,52,1,1,0.972727273,0.416666667,1,3,11.5,1,0.75,"1"
6,1,0,5,10,0,0,5,6,0.2,33,1,1,0,0.305555556,0,0,4.333333333,1,0.8333,"1"
3,1,0,8,3,3,5,3,3,2,3,0,0,0,0.466666667,0,0,0,1,1,"1"
3,1,0,3,15,3,0,3,3,2,158,0,0,0,0.5,0,0,51.66666667,17,6,"1"
