"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
5,2,0,12,22,0,1,11,5,0.75,167,1,1,0.5,0.44,1,3,32.2,1,0.8,"0"
2,1,0,3,3,0,3,0,1,0,51,0,0,0,1,0,0,21.5,7,3.5,"0"
6,2,0,7,9,7,7,0,4,0.8,92,0.4,4,0.733333333,0.4,1,1,13.5,3,1,"0"
1,2,0,3,2,0,1,2,1,2,8,0,0,1,1,1,3,7,0,0,"0"
6,1,0,10,13,0,6,4,6,0,225,1,1,0,0.416666667,0,0,36.16666667,1,0.6667,"0"
3,1,0,6,16,3,1,5,3,2,168,0,0,0,0.666666667,0,0,55,1,0.6667,"0"
4,1,0,12,10,0,7,5,4,0,151,1,1,0,0.75,0,0,36.25,1,0.75,"0"
4,1,0,4,4,6,3,1,4,2,4,0,0,0,0.666666667,0,0,0,1,1,"0"
1,2,0,3,2,0,1,2,1,2,8,0,0,1,1,1,3,7,0,0,"0"
2,3,0,5,3,0,5,0,1,0,16,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,"0"
7,1,0,18,14,21,6,12,6,2,34,0,0,0,0.142857143,0,0,3.857142857,1,0.8571,"0"
1,1,0,2,2,0,2,0,1,2,40,0,0,0,1,0,0,30,0,0,"0"
6,2,0,7,9,7,7,0,4,0.857142857,116,0.285714286,6,0.733333333,0.4,1,1,17.16666667,3,1,"0"
6,1,0,10,13,0,6,4,6,0,225,1,1,0,0.416666667,0,0,36.16666667,1,0.6667,"0"
4,1,0,4,4,6,3,1,4,2,4,0,0,0,0.666666667,0,0,0,1,1,"0"
2,1,0,4,20,1,1,3,2,2,72,0,0,0,1,0,0,35,2,1,"0"
1,1,0,3,1,0,3,0,1,2,1,0,0,0,1,0,0,0,1,1,"0"
2,3,0,10,3,0,10,0,1,0,16,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,"0"
4,1,0,4,4,6,3,1,4,2,4,0,0,0,0.666666667,0,0,0,1,1,"0"
6,2,0,7,9,7,7,0,4,0.857142857,116,0.285714286,6,0.733333333,0.4,1,1,17.16666667,3,1,"0"
5,1,0,11,9,0,10,3,4,0.5,88,0,1,0,0.8,0,0,14.8,3,1,"1"
8,6,0,9,52,24,4,9,3,0.6,509,1,1,0.985882353,0.291666667,0,0,60.75,2,0.875,"1"
5,1,0,5,26,10,1,4,5,2,430,0,0,0,0.6,0,0,85,2,1,"1"
7,6,0,6,51,11,3,6,1,0.635416667,590,1,2,0.985882353,0.333333333,0,0,81,8,1.8571,"1"
3,1,0,7,25,3,1,6,3,2,172,0,0,0,0.555555556,0,0,56.33333333,2,1,"1"
4,1,0,10,9,2,9,2,2,0.666666667,114,0,0,0,0.5,0,0,25.75,1,0.25,"1"
7,6,0,9,50,9,3,9,2,0.608333333,693,0.95,2,0.985882353,0.333333333,0,0,95.14285714,1,0.8571,"1"
3.25729790981859,1.87135104509071,0,7.51459581963718,7.25729790981859,0,2.15784059418365,5.61405313527212,3.12864895490929,0.0643244774546474,37.4616393847391,0,1,0.580900697017587,0.587003078253984,0.871351045090705,2.61405313527212,9.45571359040079,2.12864895490929,1,"1"
3,2,0,7,7,0,1,6,3,0,30,0,1,0.666666667,0.555555556,1,3,8.666666667,2,1,"1"
8,6,0,9,52,24,4,9,3,0.6,509,1,1,0.985882353,0.291666667,0,0,60.75,2,0.875,"1"
6.03395725693554,2.72326209489256,0,6.37860967591405,34.9609628934413,14.8251338656992,2.03395725693554,5.72326209489256,4.31069516204298,1.51748661343008,457.227541099302,0.344652418978512,0.344652418978512,0.339786737789678,0.493732170929843,0,0,76.6421788397711,2,0.956918447627686,"1"
7.24276418122463,6,0,6.72829254367389,51.2427641812246,14.1559343559202,3.24276418122463,6.72829254367389,1.48552836244926,0.62681876883404,570.336101320805,1,1.75723581877537,0.985882353,0.32321815894415,0,0,76.0840253302013,6.54341491265222,1.61868129761929,"1"
6.88548870198429,4.60686087748036,0,8.44274435099214,40.297631370835,17.3129322119057,4.83588347351179,6.49234957946464,2.72137217549607,0.603095864685752,382.502967675216,1,0.721372175496072,0.711188097766796,0.303276159501912,0,0,46.9579226870555,1.72137217549607,0.770514565811027,"1"
