"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
4,2,0,11,22,6,4,9,4,2,155,0,0,0.933333333,0.416666667,1,1,37.75,1,0.5,"1"
3,2,0,5,6,3,4,3,3,2,17,0,0,0.964285714,0.533333333,0,0,4.666666667,1,0.3333,"1"
2,1,0,1,10,1,0,1,2,2,42,0,0,0,0.75,0,0,20,4,2,"1"
5,1,0,8,31,2,5,4,3,1.083333333,161,0.333333333,2,0,0.36,0,0,28.8,9,2.4,"1"
1,4,0,3,2,0,2,1,1,2,5,0,0,1,1,0,0,4,0,0,"1"
8,1,5,20,9,16,14,7,8,0.761904762,40,1,1,0,0.3125,0,0,3.625,1,0.875,"1"
12,1,0,21,35,66,6,15,9,2,316,0,0,0,0.295454545,0,0,25.33333333,3,1.6667,"1"
7,1,0,16,12,0,11,6,7,0.5,140,1,3,0,0.326530612,0,0,18.57142857,5,2.4286,"1"
4,2,0,9,22,6,4,7,4,2,157,0,0,0.933333333,0.416666667,1,1,38.25,1,0.5,"1"
3,2,1,5,17,1,2,3,2,0.5,122,1,1,0.6,0.555555556,1,2,39,3,1.3333,"1"
3,2,0,3,6,3,0,3,3,2,17,0,0,0.964285714,0.533333333,0,0,4.666666667,1,0.3333,"1"
7,1,0,3,9,11,3,0,7,0.611111111,43,1,0,0,0.523809524,0,0,4.714285714,1,0.8571,"1"
8,1,5,19,9,16,12,8,8,0.761904762,40,1,1,0,0.3125,0,0,3.625,1,0.875,"1"
5,2,0,5,10,10,1,4,5,2,32,0,0,0.833333333,0.666666667,0,0,5.4,1,0.8,"1"
4,2,0,8,12,6,4,6,4,2,67,0,0,0.933333333,0.416666667,1,1,15.75,1,0.5,"1"
5,1,0,4,5,10,2,2,5,2,5,0,0,0,0.5,0,0,0,1,1,"1"
0,1,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,"1"
11,1,0,2,37,49,1,1,4,0.933333333,680,0.25,0,0,0.233766234,0,0,59.72727273,60,9.7273,"1"
2,1,0,3,2,1,2,2,2,2,2,0,0,0,1,0,0,0,1,1,"1"
5,2,0,8,12,8,4,6,5,0.75,38,1,0,0.9,0.4,0,0,6.4,1,0.6,"1"
18,1,0,3,37,133,2,3,18,0.882352941,302,0,1,0,0.333333333,0,0,15.66666667,4,1.3889,"1"
25,1,0,6,76,194,2,4,17,0.878787879,508,0.727272727,3,0,0.261904762,0,0,18.88,5,1.16,"1"
