"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
5,3,0,16,28,0,2,15,4,0.25,129,1,1,0.933333333,0.333333333,1,5,24.4,5,1.8,"0"
9,1,0,7,29,12,5,2,8,0.625,453,1,0,0,0.416666667,0,0,49,7,2.5556,"0"
2,3,0,4,4,1,1,3,2,2,13,0,0,0.976190476,0.75,1,1,5.5,1,0.5,"0"
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,"0"
2,1,0,2,3,0,2,0,2,0,29,0,0,0,0.875,0,0,12,0,0,"0"
3,4,0,1,4,1,0,1,2,0.5,1014,1,0,0.975,1,0,0,336.6666667,1,0.3333,"0"
7,1,0,12,45,1,0,12,4,0.75,499,0.5,0,0,0.571428571,0,0,69.71428571,7,1.7143,"0"
25,1,0,4,71,254,3,1,20,0.892857143,582,1,1,0,0.152727273,0,0,22,3,1.08,"0"
16,2,1,27,85,76,8,22,16,0.8,728,0.8,2,0.558823529,0.215909091,1,1,44.1875,25,4.0625,"0"
1,4,1,3,2,0,2,1,1,2,4,0,0,1,1,0,0,3,0,0,"0"
5,2,0,3,7,0,1,2,5,0.25,42,0,0,0.966666667,0.4,0,0,7.2,1,0.2,"0"
1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,"0"
2,3,0,3,6,0,0,3,2,0,28,1,1,0.952380952,0.666666667,1,2,12.5,3,1.5,"0"
12,1,0,1,26,0,1,0,0,0.681818182,365,0.5,2,0,0.409090909,0,0,28.58333333,10,2.5,"0"
3,3,0,1,4,3,0,1,3,2,10,0,0,0.98989899,1,2,4,2.333333333,1,0.6667,"0"
14,1,0,3,21,31,3,0,12,0.717948718,344,1,0,0,0.512820513,0,0,23.14285714,3,0.8571,"0"
3,4,0,5,5,1,1,4,3,1,25,1,0,0.975903614,0.466666667,0,0,6.666666667,1,0.6667,"0"
18,1,0,13,20,3,13,0,11,0.294117647,860,1,0,0,0.916666667,0,0,46.38888889,8,3.1111,"0"
2,1,0,6,2,1,6,1,2,2,2,0,0,0,1,0,0,0,1,1,"0"
11,2,0,4,21,23,1,4,11,0.64,135,1,2,0.565217391,0.363636364,1,6,10.81818182,4,1.3636,"0"
3,4,0,27,5,3,27,0,3,2,16,0,0,1,0.555555556,0,0,4.333333333,0,0,"0"
11,4,1,16,45,39,9,10,9,0.8,333,1,0,0.964285714,0.309090909,1,2,28.90909091,4,1.5455,"0"
5,4,0,19,22,4,1,19,5,0.5,225,1,0,0.96969697,0.4,2,4,43.8,13,3,"0"
2,4,0,7,6,1,0,7,2,2,13,0,0,0.989690722,0.625,2,4,5.5,1,0.5,"0"
3,3,0,6,7,3,1,5,3,2,19,0,0,0.952380952,0.555555556,1,1,5.333333333,1,0.6667,"0"
33,1,10,113,53,526,104,20,32,0.998046875,300,0,16,0,0.234375,0,0,7.606060606,2,1,"0"
5,3,0,9,17,8,1,8,5,0.5,92,1,0,0.904761905,0.4,1,6,17.2,8,2.4,"0"
5,3,0,7,23,8,3,5,2,0.875,198,0.5,1,0.904761905,0.44,0,0,38.2,2,1.2,"0"
7,3,0,89,13,0,88,2,7,0.083333333,98,0,2,0.85,0.371428571,1,2,12.71428571,3,0.7143,"0"
4,5,0,4,6,0,2,2,3,0.333333333,23,1,0,0.986486486,0.5,0,0,4.5,1,0.75,"0"
12,1,0,83,12,66,83,0,12,1.090909091,13,0,0,0,0.416666667,0,0,0,1,1,"0"
4,3,0,11,12,6,1,10,3,2,43,0,0,0.949152542,0.4,1,4,9.75,1,0.75,"0"
6,1,0,1,16,0,0,1,5,0.733333333,88,1,0,0,0.333333333,0,0,13.16666667,1,0.6667,"0"
5,4,3,17,21,0,3,14,5,0.25,149,1,2,0.96969697,0.366666667,3,14,28.4,4,1.2,"0"
3,3,0,6,7,3,1,5,3,2,40,0,0,0.953488372,0.555555556,2,2,12.33333333,1,0.6667,"0"
5,1,2,21,6,10,19,2,5,2,8,0,0,0,0.4,0,0,0.6,1,0.8,"0"
2,1,0,2,3,1,2,0,0,1,38,0,1,0,1,0,0,16,2,1,"0"
2,4,0,12,10,1,0,12,2,2,26,0,0,0.989690722,0.6,2,4,12,1,0.5,"0"
4,1,0,4,4,6,4,1,4,2,4,0,0,0,0.55,0,0,0,1,1,"0"
39,4,0,18,119,617,1,18,30,0.870813397,1667,0.545454545,1,0.712121212,0.142857143,2,17,41.46153846,42,4.6154,"0"
8,2,1,5,17,0,3,2,8,0,47,0,1,0.740740741,0.416666667,1,1,4.75,1,0.875,"0"
2,1,0,5,2,1,5,0,2,2,17,0,0,0,1,0,0,0,1,1,"0"
55,1,5,97,116,1101,74,43,10,0.912037037,1105,1,6,0,0.149691358,0,0,18.87272727,18,2.1818,"0"
